conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
CYCLOTRONS2013,,MO1PB00,Welcome and Opening Remarks,TRIUMF; Canada's National Laboratory for Particle and Nuclear Physics; Vancouver; Canada; N. Fukunishi; T. Dantsuka; M. Fujimaki; T. Fujinawa; H. Hasebe; Y. Higurashi; E. Ikezawa; H. Imao; T. Kageyama; O. Kamigaito; M. Kase; M. Kidera; M. Komiyama; H. Kuboki; K. Kumagai; T. Maie; M. Nagase; T. Nakagawa; M. Nakamura; J. Ohnishi; H. Okuno; K. Ozeki; N. Sakamoto; K. Suda; A. Uchiyama; T. Watanabe; Y. Watanabe; K. Yamada; H. Yamasawa; RIKEN Nishina Center; Wako; Japan; The RIBF cascaded-cyclotrons have obtained; as of December 2012; uranium ion beams with an intensity of as high as 15 pnA (1 kW of power). This was achieved owing to deployment of a 28 GHz ECRIS; a new injector linac; a gas stripper and a bending-power upgrade of RIKEN fixed-frequency Ring Cyclotron as well as improvement of transmission efficiencies through cyclotrons and stability; etc.; A. Stolz; G. Bollen; A. Lapierre; D. Leitner; D.J. Morrissey; S. Schwarz; C. Sumithrarachchi; W. Wittmer; NSCL; East Lansing; Michigan; USA; A brief overview of the Coupled Cyclotron Facility will be presented with a focus on the newly commissioned stopped beam and reaccelerated radioactive ion beam capabilities. Commissioning results and operations experience of the combined system of Coupled Cyclotron Facility; A1900 fragment separator; gas stopper; EBIT charge-breeder and ReA linac will be presented.; J. Debnath; A. Chakrabarti; M.K. Dey; VECC; Kolkata; India; The commissioning of Kolkata superconducting cyclotron with internal ion beam had been reported in the last cyclotron conference. At that time; there was gradual beam loss due to poor vacuum. After installing a higher capacity liquid helium plant the cryo-panels were made functional leading to a substantial increase in the beam intensity. It was hoped that higher beam intensity would help in extraction of a measurable fraction of the beam; but that did not happen. Detailed investigation of beam behavior with the help of three beam probes; installed temporarily at three sectors; revealed that the beam goes highly off-centered while passing through the resonance zone. A plastic scintillator based phase probe was mounted on the radial probe and beam phase was measured accurately. It was quite clear that large amount of field imperfection was prohibiting the beam to be extracted. So magnetic field measurement has been started again and considerable amount of harmonic and average field errors have been found. In this paper we report the important developments since 2010.,New Developments and Capabilities at the Coupled Cyclotron Facility at Michigan State University,Acceleration of Intense Heavy Ion Beams in RIBF Cascaded-Cyclotrons Slides MO1PB01 [12.793 MB] Slides MO1PB02 [42.670 MB] Current Status of the Superconducting Cyclotron Project at Kolkata Slides MO1PB03 [13.028 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo1pb00_talk.pdf,False,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo1pb00.pdf,False,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo1pb00_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO1PB00,1
CYCLOTRONS2013,,MO1PB01,Acceleration of Intense Heavy Ion Beams in RIBF Cascaded-Cyclotrons,N. Fukunishi; T. Dantsuka; M. Fujimaki; T. Fujinawa; H. Hasebe; Y. Higurashi; E. Ikezawa; H. Imao; T. Kageyama; O. Kamigaito; M. Kase; M. Kidera; M. Komiyama; H. Kuboki; K. Kumagai; T. Maie; M. Nagase; T. Nakagawa; M. Nakamura; J. Ohnishi; H. Okuno; K. Ozeki; N. Sakamoto; K. Suda; A. Uchiyama; T. Watanabe; Y. Watanabe; K. Yamada; H. Yamasawa; RIKEN Nishina Center; Wako; Japan; The RIBF cascaded-cyclotrons have obtained; as of December 2012; uranium ion beams with an intensity of as high as 15 pnA (1 kW of power). This was achieved owing to deployment of a 28 GHz ECRIS; a new injector linac; a gas stripper and a bending-power upgrade of RIKEN fixed-frequency Ring Cyclotron as well as improvement of transmission efficiencies through cyclotrons and stability; etc.; A. Stolz; G. Bollen; A. Lapierre; D. Leitner; D.J. Morrissey; S. Schwarz; C. Sumithrarachchi; W. Wittmer; NSCL; East Lansing; Michigan; USA; A brief overview of the Coupled Cyclotron Facility will be presented with a focus on the newly commissioned stopped beam and reaccelerated radioactive ion beam capabilities. Commissioning results and operations experience of the combined system of Coupled Cyclotron Facility; A1900 fragment separator; gas stopper; EBIT charge-breeder and ReA linac will be presented.; J. Debnath; A. Chakrabarti; M.K. Dey; VECC; Kolkata; India; The commissioning of Kolkata superconducting cyclotron with internal ion beam had been reported in the last cyclotron conference. At that time; there was gradual beam loss due to poor vacuum. After installing a higher capacity liquid helium plant the cryo-panels were made functional leading to a substantial increase in the beam intensity. It was hoped that higher beam intensity would help in extraction of a measurable fraction of the beam; but that did not happen. Detailed investigation of beam behavior with the help of three beam probes; installed temporarily at three sectors; revealed that the beam goes highly off-centered while passing through the resonance zone. A plastic scintillator based phase probe was mounted on the radial probe and beam phase was measured accurately. It was quite clear that large amount of field imperfection was prohibiting the beam to be extracted. So magnetic field measurement has been started again and considerable amount of harmonic and average field errors have been found. In this paper we report the important developments since 2010.,New Developments and Capabilities at the Coupled Cyclotron Facility at Michigan State University,Slides MO1PB01 [12.793 MB] Slides MO1PB02 [42.670 MB] Current Status of the Superconducting Cyclotron Project at Kolkata Slides MO1PB03 [13.028 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo1pb01_talk.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo1pb01.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo1pb01_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO1PB01,1
CYCLOTRONS2013,,MO1PB02,New Developments and Capabilities at the Coupled Cyclotron Facility at Michigan State University,A. Stolz; G. Bollen; A. Lapierre; D. Leitner; D.J. Morrissey; S. Schwarz; C. Sumithrarachchi; W. Wittmer; NSCL; East Lansing; Michigan; USA; A brief overview of the Coupled Cyclotron Facility will be presented with a focus on the newly commissioned stopped beam and reaccelerated radioactive ion beam capabilities. Commissioning results and operations experience of the combined system of Coupled Cyclotron Facility; A1900 fragment separator; gas stopper; EBIT charge-breeder and ReA linac will be presented.; J. Debnath; A. Chakrabarti; M.K. Dey; VECC; Kolkata; India; The commissioning of Kolkata superconducting cyclotron with internal ion beam had been reported in the last cyclotron conference. At that time; there was gradual beam loss due to poor vacuum. After installing a higher capacity liquid helium plant the cryo-panels were made functional leading to a substantial increase in the beam intensity. It was hoped that higher beam intensity would help in extraction of a measurable fraction of the beam; but that did not happen. Detailed investigation of beam behavior with the help of three beam probes; installed temporarily at three sectors; revealed that the beam goes highly off-centered while passing through the resonance zone. A plastic scintillator based phase probe was mounted on the radial probe and beam phase was measured accurately. It was quite clear that large amount of field imperfection was prohibiting the beam to be extracted. So magnetic field measurement has been started again and considerable amount of harmonic and average field errors have been found. In this paper we report the important developments since 2010.,,Slides MO1PB02 [42.670 MB] Current Status of the Superconducting Cyclotron Project at Kolkata Slides MO1PB03 [13.028 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo1pb02_talk.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo1pb02.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo1pb02_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO1PB02,7
CYCLOTRONS2013,,MO1PB03,Current Status of the Superconducting Cyclotron Project at Kolkata,J. Debnath; A. Chakrabarti; M.K. Dey; VECC; Kolkata; India; The commissioning of Kolkata superconducting cyclotron with internal ion beam had been reported in the last cyclotron conference. At that time; there was gradual beam loss due to poor vacuum. After installing a higher capacity liquid helium plant the cryo-panels were made functional leading to a substantial increase in the beam intensity. It was hoped that higher beam intensity would help in extraction of a measurable fraction of the beam; but that did not happen. Detailed investigation of beam behavior with the help of three beam probes; installed temporarily at three sectors; revealed that the beam goes highly off-centered while passing through the resonance zone. A plastic scintillator based phase probe was mounted on the radial probe and beam phase was measured accurately. It was quite clear that large amount of field imperfection was prohibiting the beam to be extracted. So magnetic field measurement has been started again and considerable amount of harmonic and average field errors have been found. In this paper we report the important developments since 2010.,,Slides MO1PB03 [13.028 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo1pb03_talk.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo1pb03.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo1pb03_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO1PB03,11
CYCLOTRONS2013,,MO2PB01,What We Learned from EMMA,"STFC/RAL/ASTeC; Chilton; Didcot; Oxon; United Kingdom; Since the demonstration of acceleration in 2011; the study of EMMA aims for more detailed and quantitative understanding of a linear non-scaling FFAG. The talk will summarise the beam study for the last couple of years which includes effects of resonance crossing; a novel idea of COD correction; etc.; D.S. Todd; J.Y. Benitez; K.Y. Franzen; M. Kireeff Covo; C.M. Lyneis; L. Phair; P. Pipersky; M.M. Strohmeier; LBNL; Berkeley; California; USA; The low energy beam transport system and the inflector of the 88-Inch Cyclotron have been improved to provide more intense heavy-ion beams; especially for experiments requiring 48Ca beams. In addition to a new spiral inflector* and increased injection voltage; the injection line beam transport and beam orbit dynamics in the cyclotron have been analyzed; new diagnostics have been developed; and extensive measurements have been performed to improve the transmission efficiency. By coupling diagnostics; such as emittance scanners in the injection line and a radially-adjustable beam viewing scintillator within the cyclotron; with computer simulation we have been able to identify loss mechanisms. The diagnostics used and their findings will be presented. We will discuss the solutions we have employed to address losses; such as changing our approach to tuning VENUS and running the cyclotron's central trim coil asymmetrically.; *Ken Yoshiki Franzen; et al. ""A center region upgrade of the LBNL 88-Inch Cyclotron""; these proceedings; D.P. May; B.T. Roeder; R.E. Tribble; Texas A&M University Cyclotron Institute; College Station; Texas; USA; F.P. Abegglen; G. Chubaryan; H.L. Clark; G.J. Kim; G. Tabacaru; Texas A&M University; Cyclotron Institute; College Station; Texas; USA; JYFL; Jyväskylä; Finland; The upgrade project at the Cyclotron Institute of Texas A&M University continues to make substantial progress toward the goal of providing radioactive beams accelerated to intermediate energies by the K500 Cyclotron. The K150; which will function as a driver; is now used extensively to deliver both light and heavy ion beams for experiments. The ion-guide cave for the production and charge-breeding of low-energy radioactive beams has been constructed; and the light-ion guide (LIG) has been commissioned with an internal radioactive source. The charge breeding electron-cyclotron-resonance ion source (CB-ECRIS) has been commissioned with a source of stable 1+ ions; while the injection line leading to the K500 has been commissioned with the injection and acceleration of charge-bred beams. Despite the lack of good field maps; both light and heavy ions beams have been developed for the K150. Progress and plans; including those for the heavy-ion guide (HIG); are presented.; Improving the Energy Efficiency; Reliability and Performance of AGOR; M.A. Hofstee; S. Brandenburg; H. Post; R.A. Schellekens; J.E. de Jong; KVI; Groningen; The Netherlands; Over the past few years the nature of the experiments performed with AGOR has changed from long experiments; to sequences of short experiments; often using different beams. In addition the total demand for beamtime has gone down. This has required a change in operating procedures and scheduling. In view of the changing demands; we are continuing our efforts to improve the energy efficiency and reliability of the cyclotron; while at the same time trying to improve performance. While some of the solutions might be unique to our facility; many will have broader applicability. Some case studies will be presented and areas for future improvements identified.",High Current Beam Extraction from the 88-Inch Cyclotron at LBNL; Progress Toward the Facility Upgrade for Accelerated Radioactive Beams at Texas A&M,Slides MO2PB01 [8.447 MB] Slides MO2PB02 [0.824 MB] Slides MO2PB03 [9.652 MB] Slides MO2PB04 [2.578 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo2pb01_talk.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo2pb01.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo2pb01_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO2PB01,14
CYCLOTRONS2013,,MO2PB02,High Current Beam Extraction from the 88-Inch Cyclotron at LBNL,"D.S. Todd; J.Y. Benitez; K.Y. Franzen; M. Kireeff Covo; C.M. Lyneis; L. Phair; P. Pipersky; M.M. Strohmeier; LBNL; Berkeley; California; USA; The low energy beam transport system and the inflector of the 88-Inch Cyclotron have been improved to provide more intense heavy-ion beams; especially for experiments requiring 48Ca beams. In addition to a new spiral inflector* and increased injection voltage; the injection line beam transport and beam orbit dynamics in the cyclotron have been analyzed; new diagnostics have been developed; and extensive measurements have been performed to improve the transmission efficiency. By coupling diagnostics; such as emittance scanners in the injection line and a radially-adjustable beam viewing scintillator within the cyclotron; with computer simulation we have been able to identify loss mechanisms. The diagnostics used and their findings will be presented. We will discuss the solutions we have employed to address losses; such as changing our approach to tuning VENUS and running the cyclotron's central trim coil asymmetrically.; *Ken Yoshiki Franzen; et al. ""A center region upgrade of the LBNL 88-Inch Cyclotron""; these proceedings; D.P. May; B.T. Roeder; R.E. Tribble; Texas A&M University Cyclotron Institute; College Station; Texas; USA; F.P. Abegglen; G. Chubaryan; H.L. Clark; G.J. Kim; G. Tabacaru; Texas A&M University; Cyclotron Institute; College Station; Texas; USA; JYFL; Jyväskylä; Finland; The upgrade project at the Cyclotron Institute of Texas A&M University continues to make substantial progress toward the goal of providing radioactive beams accelerated to intermediate energies by the K500 Cyclotron. The K150; which will function as a driver; is now used extensively to deliver both light and heavy ion beams for experiments. The ion-guide cave for the production and charge-breeding of low-energy radioactive beams has been constructed; and the light-ion guide (LIG) has been commissioned with an internal radioactive source. The charge breeding electron-cyclotron-resonance ion source (CB-ECRIS) has been commissioned with a source of stable 1+ ions; while the injection line leading to the K500 has been commissioned with the injection and acceleration of charge-bred beams. Despite the lack of good field maps; both light and heavy ions beams have been developed for the K150. Progress and plans; including those for the heavy-ion guide (HIG); are presented.; Improving the Energy Efficiency; Reliability and Performance of AGOR; M.A. Hofstee; S. Brandenburg; H. Post; R.A. Schellekens; J.E. de Jong; KVI; Groningen; The Netherlands; Over the past few years the nature of the experiments performed with AGOR has changed from long experiments; to sequences of short experiments; often using different beams. In addition the total demand for beamtime has gone down. This has required a change in operating procedures and scheduling. In view of the changing demands; we are continuing our efforts to improve the energy efficiency and reliability of the cyclotron; while at the same time trying to improve performance. While some of the solutions might be unique to our facility; many will have broader applicability. Some case studies will be presented and areas for future improvements identified.",Progress Toward the Facility Upgrade for Accelerated Radioactive Beams at Texas A&M,Slides MO2PB02 [0.824 MB] Slides MO2PB03 [9.652 MB] Slides MO2PB04 [2.578 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo2pb02_talk.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo2pb02.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo2pb02_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO2PB02,19
CYCLOTRONS2013,,MO2PB03,Progress Toward the Facility Upgrade for Accelerated Radioactive Beams at Texas A&M,D.P. May; B.T. Roeder; R.E. Tribble; Texas A&M University Cyclotron Institute; College Station; Texas; USA; F.P. Abegglen; G. Chubaryan; H.L. Clark; G.J. Kim; G. Tabacaru; Texas A&M University; Cyclotron Institute; College Station; Texas; USA; JYFL; Jyväskylä; Finland; The upgrade project at the Cyclotron Institute of Texas A&M University continues to make substantial progress toward the goal of providing radioactive beams accelerated to intermediate energies by the K500 Cyclotron. The K150; which will function as a driver; is now used extensively to deliver both light and heavy ion beams for experiments. The ion-guide cave for the production and charge-breeding of low-energy radioactive beams has been constructed; and the light-ion guide (LIG) has been commissioned with an internal radioactive source. The charge breeding electron-cyclotron-resonance ion source (CB-ECRIS) has been commissioned with a source of stable 1+ ions; while the injection line leading to the K500 has been commissioned with the injection and acceleration of charge-bred beams. Despite the lack of good field maps; both light and heavy ions beams have been developed for the K150. Progress and plans; including those for the heavy-ion guide (HIG); are presented.; Improving the Energy Efficiency; Reliability and Performance of AGOR; M.A. Hofstee; S. Brandenburg; H. Post; R.A. Schellekens; J.E. de Jong; KVI; Groningen; The Netherlands; Over the past few years the nature of the experiments performed with AGOR has changed from long experiments; to sequences of short experiments; often using different beams. In addition the total demand for beamtime has gone down. This has required a change in operating procedures and scheduling. In view of the changing demands; we are continuing our efforts to improve the energy efficiency and reliability of the cyclotron; while at the same time trying to improve performance. While some of the solutions might be unique to our facility; many will have broader applicability. Some case studies will be presented and areas for future improvements identified.,,Slides MO2PB03 [9.652 MB] Slides MO2PB04 [2.578 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo2pb03_talk.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo2pb03.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo2pb03_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO2PB03,22
CYCLOTRONS2013,,MO2PB04,"Improving the Energy Efficiency, Reliability and Performance of AGOR",M.A. Hofstee; S. Brandenburg; H. Post; R.A. Schellekens; J.E. de Jong; KVI; Groningen; The Netherlands; Over the past few years the nature of the experiments performed with AGOR has changed from long experiments; to sequences of short experiments; often using different beams. In addition the total demand for beamtime has gone down. This has required a change in operating procedures and scheduling. In view of the changing demands; we are continuing our efforts to improve the energy efficiency and reliability of the cyclotron; while at the same time trying to improve performance. While some of the solutions might be unique to our facility; many will have broader applicability. Some case studies will be presented and areas for future improvements identified.,,Slides MO2PB04 [2.578 MB],https://proceedings.jacow.org/CYCLOTRONS2013/talks/mo2pb04_talk.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/papers/mo2pb04.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/mo2pb04_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MO2PB04,25
CYCLOTRONS2013,,MOPPT001,"Status Report of the Cyclotrons C-30, CS-30 and RDS-111 at KFSHRC, Saudi Arabia",F.M. Alrumayan; M.S. Shawoo; M. Vora; King Faisal Specialist Hospital and Research Centre; Riyadh 11211; Kingdom of Saudi Arabia; Experience gained since the commissioning of the IBA C-30 Cyclotron at the King Faisal Specialist Hospital and Research Centre (KFSHRC) in 2010; has shown this facility to be viable entity. In addition to the C-30 Cyclotron; the facility includes two other Cyclotrons namely; the RDS-111 and the CS30 Cyclotrons. The latter has dual responsibilities; while is kept as a backup for the other Cyclotrons for radioisotopes production; it’s used for proton therapy researches and Bragg Peak measurements at that particular energy. During the commission of the C30 cyclotron; 700 uA dual beam were measured. Facility operating history; usage and radiopharmaceuticals productions are described.,,,https://proceedings.jacow.org/CYCLOTRONS2013/talks/moppt001_talk.pdf,False,https://proceedings.jacow.org/CYCLOTRONS2013/papers/moppt001.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/moppt001_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MOPPT001,28
CYCLOTRONS2013,,MOPPT002,Status of the HZB Cyclotron,A. Denker; J. Bundesmann; T. Damerow; T. Fanselow; W. Hahn; G. Heidenreich; D. Hildebrand; U. Hiller; U. Muller; C. Rethfeldt; J. Röhrich; HZB; Berlin; Germany; D. Cordini; J. Heufelder; R. Stark; A. Weber; Charite; Berlin; Germany; For 15 years; eye tumours are treated in collaboration with the Charité - Universitätsmedizin Berlin. In 2012 we celebrated the 2000th patient. Our cyclotron is again served by 2 different injectors: a 6 MV Van-de-Graaff and a 2 MV tandetron. The tandetron was optimized especially for the requirements of therapy. Its advantages are easier handling; lower service requirements and a shorter injection beam line. Development of the source resulted in safe operation of more than 600 h and extremely stable beam current. The tandetron is in operation for therapy since 2011. The Van-de-Graaff was considered to be a temporary backup. New requests for beams with a very specific time structure occurred; which can be provided only with the Van-de-Graaff-cyclotron beam line. Pulse structures of high variability; from single pulses of 1 ns at a max. repetition rate of 75 kHz to pulse packets with a length up to 100 μs were tested. The latter was used for the production of pulsed neutron radiation for comprehensive testing of dosimeters. Although major breakdowns have a huge impact on the up-time due to the small number of beam time hours; breakdowns over the past years amounted to less than 5%.,,,https://proceedings.jacow.org/CYCLOTRONS2013/talks/moppt002_talk.pdf,False,https://proceedings.jacow.org/CYCLOTRONS2013/papers/moppt002.pdf,True,https://proceedings.jacow.org/CYCLOTRONS2013/posters/moppt002_poster.pdf,False,https://doi.org/10.18429/JACoW-CYCLOTRONS2013-MOPPT002,31
