conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
HF2014,,THP1H2,A New Paradigm: Role of Electron-positron and Hadron Colliders,ITP-PKU; Beijing; People's Republic of China; In 2012; a light scalar boson (denoted as H(125) in this paper) was discovered at the LHC. We explore the possible correlation between the lightness of H(125) and the smallness of CP-violation based on the Lee model; namely the spontaneous CP-violation two-Higgs-doublet-model. It is a new way to understand why H(125) is light. Based on this we propose that it is the much heavier scalar bosons; instead of the H(125); which need to be understood. This opens a new paradigm that one tries to understand the electro-weak symmetry breaking and CP violation. For the new paradigm; similar to many other physics beyond the standard model; one need both electron-positron and higher energy hadron collider; as well as the low energy experiments; in order to pin down the whole picture.,,,https://proceedings.jacow.org/HF2014/talks/thp1h2_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/thp1h2.pdf,True,https://proceedings.jacow.org/HF2014/posters/thp1h2_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THP1H2,1
HF2014,,THP3H1,FCC-ee Overview,F. Zimmermann; M. Benedikt; H. Burkhardt; F. Cerutti; A. Ferrari; J. Gutleber; B. Härer; B.J. Holzer; E. Jensen; R. Kersevan; P. Lebrun; R. Martin; A. Mereghetti; J.A. Osborne; Y. Papaphilippou; D. Schulte; R. Tomás; J. Wenninger; CERN; Geneva; Switzerland; A.P. Blondel; M. Koratzinos; DPNC; Genève; Switzerland; A.V. Bogomyagkov; I. Koop; E.B. Levichev; N.Yu. Muchnoi; S.A. Nikitin; D.N. Shatilov; BINP SB RAS; Novosibirsk; Russia; INFN/LNF; Frascati (Roma); Italy; K. Furukawa; K. Ohmi; K. Oide; KEK; Ibaraki; Japan; Fermilab; Batavia; Illinois; USA; KIT; Karlsruhe; Germany; ESS; Lund; Sweden; UGTO; Leon; Mexico; ESRF; Grenoble; France; SLAC; Menlo Park; California; USA; The FCC-ee is a proposed circular e+e− collider installed in a new 100 km tunnel delivering high luminosity to four experiments at centre-of-mass energies ranging from 91 GeV (Z pole) over 160 GeV (W threshold) and 240 GeV (H production) to 350 GeV (t physics). The FCC-ee design is pursued as part of the global Future Circular Collider (FCC) study; which regards the FCC-ee as a potential intermediate step towards a 100-TeV hadron collider; called FCC-hh; sharing the same tunnel infrastructure. We here report the FCC-ee design status.; Q. Qin; S. Bai; J. Cheng; X. Cui; H. Dong; L. Dong; J. Gao; H. Geng; Y.Y. Guo; D.P. Jin; W. Kang; S.P. Li; X.P. Li; G.P. Lin; Z.C. Liu; X.C. Lou; Z.J. Ma; G. Pei; H. Qu; Y. Sun; D. Wang; J.L. Wang; N. Wang; Y.F. Wang; Y. Wang; M. Xiao; G. Xu; J.H. Yue; Y. Yue; J.Y. Zhai; C. Zhang; Y. Zhang; Z.S. Zhou; IHEP; Beijing; People's Republic of China; Fermilab; Batavia; Illinois; USA; A circular electron positron collider was proposed in IHEP when the Higgs boson was discovered at CERN two years ago. Studies on main parameters; collider related issues; such as lattice design; beam-beam simulation; collective effects; beamstrahlung; and injection scheme; are being carried on. Some preliminary results are given; and the whole project is described.,,Overview of the CEPC Accelerator,https://proceedings.jacow.org/HF2014/talks/thp3h1_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/thp3h1.pdf,True,https://proceedings.jacow.org/HF2014/posters/thp3h1_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THP3H1,6
HF2014,,THP3H2,Overview of the CEPC Accelerator,Q. Qin; S. Bai; J. Cheng; X. Cui; H. Dong; L. Dong; J. Gao; H. Geng; Y.Y. Guo; D.P. Jin; W. Kang; S.P. Li; X.P. Li; G.P. Lin; Z.C. Liu; X.C. Lou; Z.J. Ma; G. Pei; H. Qu; Y. Sun; D. Wang; J.L. Wang; N. Wang; Y.F. Wang; Y. Wang; M. Xiao; G. Xu; J.H. Yue; Y. Yue; J.Y. Zhai; C. Zhang; Y. Zhang; Z.S. Zhou; IHEP; Beijing; People's Republic of China; Fermilab; Batavia; Illinois; USA; A circular electron positron collider was proposed in IHEP when the Higgs boson was discovered at CERN two years ago. Studies on main parameters; collider related issues; such as lattice design; beam-beam simulation; collective effects; beamstrahlung; and injection scheme; are being carried on. Some preliminary results are given; and the whole project is described.,,,https://proceedings.jacow.org/HF2014/talks/thp3h2_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/thp3h2.pdf,True,https://proceedings.jacow.org/HF2014/posters/thp3h2_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THP3H2,16
HF2014,,THT4A2,CEPC Design Performance Considerations,CERN; Geneva; Switzerland; In this paper I will commend on the early CEPC design as of October 2014. In particular I will comment on the choice of circumference; minimum and maximum energy; number of collision points and target luminosity. I will finish with suggestions to increase performance with minimum incremental cost.; Cornell University (CLASSE); Cornell Laboratory for Accelerator-Based Sciences and Education; Ithaca; New York; USA; The natural next future circular collider is a circular e+e− Higgs Factory and; after that; a post-LHC p; p collider in the same tunnel. The main Higgs factory cost-driving parameter choices include: tunnel circumference \mathcal{C}; whether there is to be one ring or two; what is the installed power; and what is the ‘‘Physics'' for which the luminosity deserves to be maximized. This paper discusses some of the trade-offs among these choices; and attempts to show that the optimization goals for the Higgs factory and the later p; p collider are consistent.,,Ring Circumference and Two Rings vs One Ring,https://proceedings.jacow.org/HF2014/talks/tht4a2_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/tht4a2.pdf,True,https://proceedings.jacow.org/HF2014/posters/tht4a2_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THT4A2,22
HF2014,,THT4A3,Ring Circumference and Two Rings vs One Ring,Cornell University (CLASSE); Cornell Laboratory for Accelerator-Based Sciences and Education; Ithaca; New York; USA; The natural next future circular collider is a circular e+e− Higgs Factory and; after that; a post-LHC p; p collider in the same tunnel. The main Higgs factory cost-driving parameter choices include: tunnel circumference \mathcal{C}; whether there is to be one ring or two; what is the installed power; and what is the ‘‘Physics'' for which the luminosity deserves to be maximized. This paper discusses some of the trade-offs among these choices; and attempts to show that the optimization goals for the Higgs factory and the later p; p collider are consistent.,,,https://proceedings.jacow.org/HF2014/talks/tht4a3_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/tht4a3.pdf,True,https://proceedings.jacow.org/HF2014/posters/tht4a3_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THT4A3,27
HF2014,,THT4B2,Single Ring Multibunch Operation and Beam Separation,Cornell University (CLASSE); Cornell Laboratory for Accelerator-Based Sciences and Education; Ithaca; New York; USA; The counter-circulating electrons and positrons in a circular Higgs Factory have to be separated everywhere except at the N* intersection points (IP). The separation has to be electric and; to avoid unwanted increase of vertical emittance epsilony; the separation has to be horizontal. This paper considers only head-on collisions at N*=2 IP's; with the beams separated everywhere else (but with nodes at RF cavities) by closed electric bumps.; B. Härer; B.J. Holzer; CERN; Geneva; Switzerland; KIT; Karlsruhe; Germany; Following the recommendations of the European Strategy Group for High Energy Physics; CERN started the Future Circular Collider Study (FCC); a design study for possible future circular collider projects to investigate their feasibility for high energy physics research. One part of this study is FCC-ee; an e+/e− collider with a circumference of 100 km. Challenges for the lattice design result from operation at four different beam energies ranging from 45.5 GeV to 175 GeV. Very high beamstrahlung effects at high energies and the beam-beam limit at low energies request emittance parameters that rise with decreasing beam energy. This talk will present the status of the lattice design and the lattice modifications needed to achieve the requested emittance parameters.; H. Geng; S. Bai; X. Cui; Z. Duan; S. Fu; J. Gao; Y.Y. Guo; Y.M. Peng; Q. Qin; D. Wang; N. Wang; Y. Wang; M. Xiao; G. Xu; Y. Yue; Y. Zhang; IHEP; Beijing; People's Republic of China; Fermilab; Batavia; Illinois; USA; IHEP has proposed a circular electron and positron collider (CEPC) to study the properties of the Higgs boson. In the baseline design; the circumference of CEPC will be taken as 50km; and a sing ring scheme will be adopted; e.g.; the electron and positron beam will share the beam pipes. This paper will show the latest design of the CEPC lattice; including the design of the main ring lattice and the pretzel scheme. Some critical issues that we encountered when designing the lattice will also be discussed.,,Challenges and Status of the FCC-ee Lattice Design Status of CEPC Lattice Design,https://proceedings.jacow.org/HF2014/talks/tht4b2_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/tht4b2.pdf,True,https://proceedings.jacow.org/HF2014/posters/tht4b2_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THT4B2,33
HF2014,,THT4B3,Challenges and Status of the FCC-ee Lattice Design,B. Härer; B.J. Holzer; CERN; Geneva; Switzerland; KIT; Karlsruhe; Germany; Following the recommendations of the European Strategy Group for High Energy Physics; CERN started the Future Circular Collider Study (FCC); a design study for possible future circular collider projects to investigate their feasibility for high energy physics research. One part of this study is FCC-ee; an e+/e− collider with a circumference of 100 km. Challenges for the lattice design result from operation at four different beam energies ranging from 45.5 GeV to 175 GeV. Very high beamstrahlung effects at high energies and the beam-beam limit at low energies request emittance parameters that rise with decreasing beam energy. This talk will present the status of the lattice design and the lattice modifications needed to achieve the requested emittance parameters.; H. Geng; S. Bai; X. Cui; Z. Duan; S. Fu; J. Gao; Y.Y. Guo; Y.M. Peng; Q. Qin; D. Wang; N. Wang; Y. Wang; M. Xiao; G. Xu; Y. Yue; Y. Zhang; IHEP; Beijing; People's Republic of China; Fermilab; Batavia; Illinois; USA; IHEP has proposed a circular electron and positron collider (CEPC) to study the properties of the Higgs boson. In the baseline design; the circumference of CEPC will be taken as 50km; and a sing ring scheme will be adopted; e.g.; the electron and positron beam will share the beam pipes. This paper will show the latest design of the CEPC lattice; including the design of the main ring lattice and the pretzel scheme. Some critical issues that we encountered when designing the lattice will also be discussed.,,Status of CEPC Lattice Design,https://proceedings.jacow.org/HF2014/talks/tht4b3_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/tht4b3.pdf,True,https://proceedings.jacow.org/HF2014/posters/tht4b3_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THT4B3,40
HF2014,,THT4B4,Status of CEPC Lattice Design,H. Geng; S. Bai; X. Cui; Z. Duan; S. Fu; J. Gao; Y.Y. Guo; Y.M. Peng; Q. Qin; D. Wang; N. Wang; Y. Wang; M. Xiao; G. Xu; Y. Yue; Y. Zhang; IHEP; Beijing; People's Republic of China; Fermilab; Batavia; Illinois; USA; IHEP has proposed a circular electron and positron collider (CEPC) to study the properties of the Higgs boson. In the baseline design; the circumference of CEPC will be taken as 50km; and a sing ring scheme will be adopted; e.g.; the electron and positron beam will share the beam pipes. This paper will show the latest design of the CEPC lattice; including the design of the main ring lattice and the pretzel scheme. Some critical issues that we encountered when designing the lattice will also be discussed.,,,https://proceedings.jacow.org/HF2014/talks/tht4b4_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/tht4b4.pdf,True,https://proceedings.jacow.org/HF2014/posters/tht4b4_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THT4B4,45
HF2014,,THT5A1,Energy Consumption and Savings Potential of CLIC,CERN; Geneva; Switzerland; High-energy accelerators have developed into large machines consuming tens of MW electrical power; thus making the energy bill a major component of their operating costs and eventually of their acceptability by society. With several new projects under study beyond the Large Hadron Collider (LHC); and projections of rising electricity prices by energy agencies; this trend is expected to grow into a critical issue for future machines. Clearly identified in the conceptual design of the Compact Linear Collider (CLIC); the concern was addressed by studying power consumption and energy efficiency in the different accelerator systems and energy management in diverse operating scenarios compatible with the physics objectives *. The study triggered specific developments; in the laboratory and in industry; aiming at improving efficiency of technical components or subsystems; as well as first investigations of energy recovery potential. We present analytical estimates of CLIC power consumption and paths being explored to improve its energy efficiency along the four lines of sobriety; efficiency; energy management and waste heat recovery.; * Ph. Lebrun et al.; The CLIC programme: towards a staged e+e− linear collider exploring the Terascale; CERN-2012-005 (2012); Z.C. Liu; J. Gao; IHEP; Beijing; People's Republic of China; China is proposing to build an efficient Higgs factory; CEPC; a 52 km ring under the ground; to search the mysteries of the particle physics. This large circular collider would allow the Higgs boson to be studied with greater precision than at the much smaller Large Hadron Collider (LHC) at CERN. However; several hundreds of MW wall power is needed to run such a huge machine. With the development of China nuclear power; a huge amount of long-lived nuclear waste needs to be safe disposed. The nuclear waste can be safely disposed by Accelerator Driven Sub-critical System (ADS) and provide electric power at the same time. Both CEPC and ADS are based on the superconducting accelerator technology and the power of the CEPC can be fully covered by the ADS. A green CEPC running in China is possible in the future.; ESS; Lund; Sweden; IIIEE; Lund; Sweden; Throughout history; scientific advancement has been dependent upon advances in the technologies of research. Modern accelerator science also has massive (and increasing) energy needs; yet the very provision of secure; equitable; clean and cost effective energy is one of the greatest sustainability challenges facing society. Modern energy provision systems are fundamental to development; yet also constitute one of the greatest threats to sustainability via their contribution to environmental degradation and climate change. This discussion works from a premise that any new proposal for investment in an RI should credibly demonstrate that it will deliver more value than cost to society. As our understanding of the negative impacts of energy use grows; the demonstration of overall value creation has become more complex; it must now include consideration of an RI's 'energy system footprint'. Programs to reduce the energy footprint can help address this delicate balance. This paper uses experiences in the development of the European Spallation Source (ESS) in Sweden to demonstrate how credible programs to improve the energy performance of an RI can take form.,,A Green CEPC Using the Power of Nuclear Waste,https://proceedings.jacow.org/HF2014/talks/tht5a1_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/tht5a1.pdf,False,https://proceedings.jacow.org/HF2014/posters/tht5a1_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THT5A1,49
HF2014,,THT5A2,A Green CEPC Using the Power of Nuclear Waste,Z.C. Liu; J. Gao; IHEP; Beijing; People's Republic of China; China is proposing to build an efficient Higgs factory; CEPC; a 52 km ring under the ground; to search the mysteries of the particle physics. This large circular collider would allow the Higgs boson to be studied with greater precision than at the much smaller Large Hadron Collider (LHC) at CERN. However; several hundreds of MW wall power is needed to run such a huge machine. With the development of China nuclear power; a huge amount of long-lived nuclear waste needs to be safe disposed. The nuclear waste can be safely disposed by Accelerator Driven Sub-critical System (ADS) and provide electric power at the same time. Both CEPC and ADS are based on the superconducting accelerator technology and the power of the CEPC can be fully covered by the ADS. A green CEPC running in China is possible in the future.; ESS; Lund; Sweden; IIIEE; Lund; Sweden; Throughout history; scientific advancement has been dependent upon advances in the technologies of research. Modern accelerator science also has massive (and increasing) energy needs; yet the very provision of secure; equitable; clean and cost effective energy is one of the greatest sustainability challenges facing society. Modern energy provision systems are fundamental to development; yet also constitute one of the greatest threats to sustainability via their contribution to environmental degradation and climate change. This discussion works from a premise that any new proposal for investment in an RI should credibly demonstrate that it will deliver more value than cost to society. As our understanding of the negative impacts of energy use grows; the demonstration of overall value creation has become more complex; it must now include consideration of an RI's 'energy system footprint'. Programs to reduce the energy footprint can help address this delicate balance. This paper uses experiences in the development of the European Spallation Source (ESS) in Sweden to demonstrate how credible programs to improve the energy performance of an RI can take form.,,,https://proceedings.jacow.org/HF2014/talks/tht5a2_talk.pdf,False,https://proceedings.jacow.org/HF2014/papers/tht5a2.pdf,True,https://proceedings.jacow.org/HF2014/posters/tht5a2_poster.pdf,False,https://doi.org/10.18429/JACoW-HF2014-THT5A2,49
