conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
IBIC2013,,MOAL1,Welcome and Overview of Accelerators in the UK,Diamond; Oxfordshire; United Kingdom; A warm welcome will be given to participants of the second International Beam Instrumentation Conference (IBIC 2013); hosted by Diamond Light Source. An attempt will be made to make an overview of accelerators in the UK; from their early origins to the present day and what might lie ahead in the future.,,,https://proceedings.jacow.org/IBIC2013/talks/moal1_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/moal1.pdf,False,https://proceedings.jacow.org/IBIC2013/posters/moal1_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOAL1,
IBIC2013,,MOAL2,The First Demonstration of EOS 3D-BCD Monitor to Maximize 3D-Overlapping for HHG-Seeded FEL,H. Tomizawa; T. Ishikawa; K. Ogawa; H. Tanaka; M. Yabashi; RIKEN SPring-8 Center; Sayo-cho; Sayo-gun; Hyogo; Japan; S. Matsubara; Y. Okayasu; T. Togashi; JASRI/SPring-8; Hyogo; Japan; In FEL seeding as a full-coherent light source; a high hit rate of successfully seeded FEL pulses is required. Precise measurements of the electron bunch charge distribution (BCD) and its arrival timing are crucial keys to maximize and keep 3D overlapping between the high-order harmonics (HH) laser pulse and electron bunch. We constructed a relative timing drift monitor based on EOS; which measured the timing differences between the seeding HH-laser pulse and the electron bunch; using a common external laser source of both HH-driving and EO-probing pulses. The feedback system of timing drift was realized with real-time data processing of EO-signal spectra. Our system realized stable seeded FEL operation with a hit rate of 30%. The 3D-BCD monitor enables non-destructive measurements of the longitudinal and transverse BCD at the same time. The transverse detection can be used to control the relative pointing between HH-pulse and electron bunch. We also verified this transverse detection with multiple EO crystals at the EUV-FEL accelerator. Our next target for temporal resolution is 30 fs; with an octave-band EO-probing for DAST crystals; aiming FEL seeding in the soft X-ray region.,,,https://proceedings.jacow.org/IBIC2013/talks/moal2_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/moal2.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/moal2_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOAL2,1
IBIC2013,,MOAL3,Diagnostic for a High Repetition Rate Electron Photo-Gun and First Measurements,D. Filippetto; S. De Santis; L.R. Doolittle; G. Huang; W.E. Norum; G.J. Portmann; H.J. Qian; F. Sannibale; R.P. Wells; LBNL; Berkeley; California; USA; The APEX electron source at LBNL combines the high-repetition-rate with the high beam brigthness typical of photo-guns; delivering low emittance electron pulses at MHz frequency. Proving the high beam quality of the beam is an essential step for the success of the experiment; opening the doors of the high average power to brightness-hungry applications as X-Ray FELs; MHz ultrafast electron diffraction etc. As first step; a full 6D characterization of the beam is foreseen at the Gun beam energy of 750 keV. Diagnostics for low and high current measurements have been installed and tested; and measurements of cathode lifetime and thermal emittance in a RF environment are currently being commissioned. The recently installed double slit system will allow the measurements of beam emittance at full current (mA). Also a deflecting cavity and a high precision spectrometer are foreseen at low energy; allowing the exploration of the longitudinal phase space. Here we discuss the present layout of the machine and future upgrades; showing the latest results at low and high repetition rate; together with the tools and techniques used.,,,https://proceedings.jacow.org/IBIC2013/talks/moal3_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/moal3.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/moal3_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOAL3,4
IBIC2013,,MOAL4,First Results from the Bunch Arrival-Time Monitor at the SwissFEL Test Injector,V.R. Arsov; M.M. Dehler; S. Hunziker; M.G. Kaiser; V. Schlott; PSI; Villigen PSI; Switzerland; Non-destructive electron bunch arrival-time monitors (BAMs) with resolution <10 fs; sensitivity down to 10 pC and high intrinsic bandwidth for double bunch detection are required for reliable operation of SwissFEL. To achieve this ultimate goal; such a monitor based on a Mach-Zehnder electro-optical intensity modulator has been under development at the SwissFEL Test Injector. The high timing precision is derived by a stable pulsed optical reference system. The first BAM is located before the bunch compressor where the bunch energy is 230 MeV and the pulse length is approximately 3 ps. At this position; the bunch arrival time is sensitive to the laser- and gun timing. In this paper; we report on the commissioning of the RF- and optical front ends; the first arrival-time jitter and drift measurements with the entire system; as well as correlation of the arrival-time with different machine and environmental parameters. We achieve a resolution of 20 fs down to 60 pC.,,,https://proceedings.jacow.org/IBIC2013/talks/moal4_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/moal4.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/moal4_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOAL4,8
IBIC2013,,MOBL1,Instrumentation and Results from the SwissFEL Injector Test Facility,R. Ischebeck; V.R. Arsov; S. Bettoni; B. Beutner; M.M. Dehler; A. Falone; F. Frei; I. Gorgisyan; Ye. Ivanisenko; P.N. Juranic; B. Keil; F. Löhl; G.L. Orlandi; M. Pedrozzi; P. Pollet; E. Prat; T. Schietinger; V. Schlott; B. Smit; PSI; Villigen PSI; Switzerland; DESY; Hamburg; Germany; The SwissFEL Injector Test Facility (SITF) has been equipped with numerous prototype diagnostics (BPMs; screen monitors; wire scanners; optical synchrotron radiation monitor; compression (THz) monitor; bunch arrival time monitor; EO spectral decoding monitor; charge and loss monitor) specifically designed for the low charge SwissFEL operation modes. The design of the diagnostics systems and recent measurement results will be presented.,,,https://proceedings.jacow.org/IBIC2013/talks/mobl1_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/mobl1.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/mobl1_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOBL1,12
IBIC2013,,MOBL2,Thermalized and Reaccelerated Beams at the National Superconducting Cyclotron Laboratory,S.J. Williams; T. Baumann; K. Cooper; A. Lapierre; D. Leitner; D.J. Morrissey; G. Perdikakis; J.A. Rodriguez; S. Schwarz; A. Spyrou; M. Steiner; C. Sumithrarachchi; NSCL; East Lansing; Michigan; USA; FRIB; East Lansing; Michigan; USA; The National Superconducting Cyclotron Laboratory at Michigan State University is a Radioactive Ion Beam (RIB) facility providing beams of exotic nuclear species through projectile fragmentation. The Coupled Cyclotron Facility accelerates stable ion beams to ~100 MeV/A which are then fragmented and selected with the A1900 separator. A recent addition to NSCL is the gas stopping facility which thermalizes the high energy beam. The RIBs are extracted at <60keV and selected by A/Q for further transport to the low energy areas; currently consisting of the BECOLA beam cooling and laser spectroscopy system; and LEBIT Penning trap. RIBs up to 6 MeV/A will be provided by the ReA post-accelerator; currently consisting of an EBIT; RFQ and superconducting RF cavities. Energies up to 1.5 MeV/A are presently available; and energy increases will be phased in with the addition of further cryomodules. In a campaign of commissioning experiments; RIBs from a fragmentation facility were thermalized and post-accelerated for the first time. Preliminary results will be presented; focussing on the diagnostic challenges of detecting and characterizing beams over a wide range of energy and rate.,Funding: This work is supported by the National Science Foundation under contract number RC100609.,,https://proceedings.jacow.org/IBIC2013/talks/mobl2_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/mobl2.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/mobl2_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOBL2,19
IBIC2013,,MOBL3,Electron Bunch Diagnostic at the Upgraded ELBE Accelerator: Status and Challenges,M. Kuntzsch; S. Findeisen; M. Gensch; B.W. Green; J. Hauser; S. Kovalev; U. Lehnert; P. Michel; F. Röser; Ch. Schneider; R. Schurig; HZDR; Dresden; Germany; A. Al-Shemmary; M. Bousonville; M.K. Czwalinna; T. Golz; H. Schlarb; B. Schmidt; S. Schulz; N. Stojanovic; S. Vilcins; DESY; Hamburg; Germany; Uni HH; Hamburg; Germany; Within the ELBE upgrade towards a Center for High Power Radiation Sources (HSQ); a mono energetic positron; a liquid lead photo neutron source and two new THz sources have been installed at the superconducting electron linac at ELBE. A variety of established as well as newly developed electron beam diagnostics were installed and tested. In this paper we want to present first results achieved with the currently existing prototype beam arrival time and bunch compression monitors (BAM; BCM) as well as one versatile EOS set-up. Based on these future developements and upgrades are discussed.,,,https://proceedings.jacow.org/IBIC2013/talks/mobl3_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/mobl3.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/mobl3_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOBL3,23
IBIC2013,,MOCL1,Beam Instrumentation at the Accelerator Test Facility 2,JAI; Egham; Surrey; United Kingdom; Royal Holloway; University of London; Surrey; United Kingdom; The Accelerator Test Facility 2 (ATF2) is a scaled demonstrator system for final focus beam lines of linear high energy colliders. Four OTR (Optical Transition Radiation) monitors have been installed at the ATF2. Major characteristics is the fast measurement of projected (2D) and intrinsic (4D) emittances and the coupling corrections with skew quadrupole magnets at the upstream. The high resolution cavity beam position monitor (BPM) system is a part of the ATF2 diagnostics. Two types of cavity BPMs are used; C-band operating at 6.426 GHz; and S-band at 2.888 GHz with an increased beam aperture. The resolution of the C-band system with attenuators was determined to be approximately 250 nm and 1 μm for the S-band system. Without attenuation the best recorded C-band cavity resolution was 27 nm. A laser-wire transverse electron beam size measurement system has been constructed and operated at the ATF2 beam line at KEK. A special set of electron beam optics was developed to generate an approximately 1μm vertical focus at the laser-wire location. Systematic measurements of a micron beam size have been successfully executed.,,,https://proceedings.jacow.org/IBIC2013/talks/mocl1_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/mocl1.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/mocl1_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOCL1,26
IBIC2013,,MOCL2,Design of a Novel Cherenkov Detector System for Machine Induced Background Monitoring in the CMS Cavern,S. Orfanelli; A.E. Dabrowski; M. Giunta; CERN; Geneva; Switzerland; M.J. Ambrose; A. Finkel; R. Rusack; University of Minnesota; Minneapolis; Minnesota; USA; PU; Princeton; New Jersey; USA; A novel detector system has been designed for an efficient online measurement of the machine induced background in the CMS experimental cavern. The suppression of the CMS cavern background originating from pp collision products and the 25 ns bunch spacing have set the requirements for the detector design. Each detector unit will be a radiation hard; cylindrical Cherenkov radiator optically coupled to an ultra-fast UV-sensitive photomultiplier tube; providing a prompt; directionally sensitive measurement. Simulation and test beam measurements have shown the achievability of the goals that have driven the baseline design. The system will consist of 20 azimuthally distributed detectors per end; installed at a radius of r ~ 180 cm and a distance 20.6 m away from the CMS interaction region. The detector units will enable a measurement of the transverse distribution of the bunch-by-bunch machine induced background flux. This will provide important feedback from the CMS on the beam conditions during the LHC machine setup and comparisons to expectations based on FLUKA simulations.,,,https://proceedings.jacow.org/IBIC2013/talks/mocl2_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/mocl2.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/mocl2_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOCL2,33
IBIC2013,,MOCL3,Emittance and Momentum Diagnostics for Beams with Large Momentum Spread,M. Olvegård; V.G. Ziemann; Uppsala University; Uppsala; Sweden; In the drive beam complex of CLIC; but also in plasma wakefield accelerators; the momentum spread can be on the order of tens of percent while conventional diagnostic methods often assume a very small momentum spread. This leads to systematic misinterpretations of the measurements. Spectrometry and emittance measurements based on quadrupole scan rely on measuring the beam size; which depends on the beam envelope. This; in turn; depends on the momentum distribution. We have studied the systematic errors that arise and developed novel algorithms to correctly analyze these measurements for arbitrary momentum distributions. As an application we consider the CLIC drive beam decelerator; where extraction of up to 90% of the kinetic energy leads to a very large momentum spread. We study a measurement of the time-resolved momentum distribution; based on sweeping the beam in a circular pattern and recording the beam size on a screen using optical transition radiation. We present the algorithm to extract the time-resolved momentum distribution; together with simulation results to prove its applicability.,,,https://proceedings.jacow.org/IBIC2013/talks/mocl3_talk.pdf,True,https://proceedings.jacow.org/IBIC2013/papers/mocl3.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/mocl3_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOCL3,37
IBIC2013,,MOPC02,Status of Beam Diagnostics for NSLS-II Booster,V.V. Smaluk; E.A. Bekhtenev; S.E. Karnaev; G.V. Karpov; O.I. Meshkov; BINP SB RAS; Novosibirsk; Russia; D. Padrazo; O. Singh; V.V. Smaluk; K. Vetter; G.M. Wang; BNL; Upton; Long Island; New York; USA; For the NSLS II third generation light source; a full-energy Booster ring has been designed and produced by Budker Institute of Nuclear Physics. For the Booster commissioning and operation; following beam diagnostic instruments have been designed and manufactured: 6 beam flags; 36 electrostatic pickups with BPM receivers; 2 synchrotron light monitors (SLMs); 1 DC current transformer; 1 fast current transformer; Tune Measurement System (TMS) including 2 strip-line assemblies. All the equipment has been installed in the Booster ring and Injector Service Area. Control software of the beam diagnostic devices has been developed and incorporated into the NSLS-II control system using the EPICS environment. A number of high-level applications has been developed using Control System Studio and Python. The Integrated Testing and the System Level Testing have been performed. Current status of the Booster beam diagnostic instrumentation is reviewed.,,,https://proceedings.jacow.org/IBIC2013/talks/mopc02_talk.pdf,False,https://proceedings.jacow.org/IBIC2013/papers/mopc02.pdf,True,https://proceedings.jacow.org/IBIC2013/posters/mopc02_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2013-MOPC02,41
