conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
ICALEPCS2013,,MOOAB01,Opening Remarks and Welcome Address,C.D. Marshall; P.A. Folta; LLNL; Livermore; California; USA,,Opening Remarks and Welcome Address will be presented,https://proceedings.jacow.org/ICALEPCS2013/talks/mooab01_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mooab01.pdf,False,https://proceedings.jacow.org/ICALEPCS2013/posters/mooab01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOOAB01,
ICALEPCS2013,,MOKAB01,Scientific Software Development as a Social Process,The Open University; Milton Keynes; United Kingdom; Software development is often understood as an engineering process. However; the factors that affect the success of a software development project are often human and social. The social context of software design and development is important: it provides social reinforcement for good practice. Study of high-performing software development teams makes it clear that the interplay between designers plays a crucial part both in nurturing creativity and innovation; and in embedding systematic practice and rigor. This talk will present key observations from empirical studies of expert software development that can be applied usefully to scientific software development. It will discuss why matching development practices to the context and purpose of scientific software can improve both software and scientific outcomes. It will draw on research in order to discuss how communication and collaboration can be fostered; and to identify what works (and what doesn’t work) in building collaboration in software development teams; whether co-located or distributed.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mokab01_talk.pdf,False,https://proceedings.jacow.org/ICALEPCS2013/papers/mokab01.pdf,False,https://proceedings.jacow.org/ICALEPCS2013/posters/mokab01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOKAB01,
ICALEPCS2013,,MOCOAAB01,The First Running Period of the CMS Detector Controls System - A Success Story,F. Glege; A. Aymeric; O. Chaze; S. Cittolin; J.A. Coarasa; C. Deldicque; M. Dobson; D. Gigi; R. Gomez-Reino; C. Hartl; L. Masetti; F. Meijers; E. Meschi; S. Morovic; C. Nunez-Barranco-Fernandez; L. Orsini; W. Ozga; CERN; Geneva; Switzerland; MIT; Cambridge; Massachusetts; USA; DESY; Hamburg; Germany; J. Branson; A. Holzner; UCSD; La Jolla; California; USA; UCLA; Los Angeles; California; USA; R.K. Mommsen; V. O'Dell; Fermilab; Batavia; USA; After only three months of commissioning; the CMS detector controls system (DCS) was running at close to 100% efficiency. Despite millions of parameters to control and the HEP typical distributed development structure; only minor problems were encountered. The system can be operated by a single person and the required maintenance effort is low. A well factorized system structure and development are keys to success as well as a centralized; service like deployment approach. The underlying controls software PVSS has proven to work in a DCS environment. Converting the DCS to full redundancy will further reduce the need for interventions to a minimum.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mocoaab01_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocoaab01.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocoaab01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOAAB01,1
ICALEPCS2013,,MOCOAAB02,Design and Status of the SuperKEKB Accelerator Control System,M. Iwasaki; A. Akiyama; K. Furukawa; H. Kaji; T. Naito; T.T. Nakamura; J.-I. Odagiri; S. Sasaki; KEK; Ibaraki; Japan; T. Aoyama; M. Fujita; T. Nakamura; N. Tanaka; K. Yoshii; Mitsubishi Electric System & Service Co.; Ltd; Tsukuba; Japan; M. Hirose; K. Iwase; KIS; Ibaraki; Japan; T. Okazaki; N. Yoshifuji; EJIT; Hitachi; Ibaraki; Japan; SuperKEKB is the upgrade of the KEKB asymmetric energy e+e− collider; for the B-factory experiment in Japan; designed to achieve a 40-times higher luminosity than the world record by KEKB. The KEKB control system was based on EPICS at the equipment layer and scripting languages at the operation layer. The SuperKEKB control system continues to employ those features; while we implement additional technologies for the successful operation at such a high luminosity. In the accelerator control network system; we introduce 10GbE for the wider bandwidth data transfer; and redundant configurations for reliability. The network security is also enhanced. For the SuperKEKB construction; the wireless network is installed into the beamline tunnel. In the timing system; the new configuration for positron beams is required. We have developed the faster response beam abort system; interface modules to control thousands magnet power supplies; and the monitoring system for the final focusing superconducting magnets to assure stable operations. We introduce the EPICS embedded PLC; where EPICS runs on a CPU module. The design and status of the SuperKEKB accelerator control system will be presented.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mocoaab02_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocoaab02.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocoaab02_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOAAB02,4
ICALEPCS2013,,MOCOAAB03,The Spiral2 Control System Progress Towards the Commission Phase,E. Lécorché; P. Gillette; C.H. Haquin; E. Lemaître; G. Normand; C.H. Patard; L. Philippe; D.T. Touchard; GANIL; Caen; France; J.F. Denis; F. Gougnaud; J.-F. Gournay; Y. Lussignol; CEA/DSM/IRFU; France; P.G. Graehling; J.H. Hosselet; C. Maazouzi; IPHC; Strasbourg Cedex 2; France; The commissioning of the Spiral2 Radioactive Ion Beams facility at Ganil will soon start; so requiring the control system components to be delivered in time. Yet; parts of the system were validated during preliminary tests performed with ions and deuterons beams at low energy. The control system development results from the collaboration between Ganil; CEA/IRFU; CNRS/IPHC laboratories; using appropriate tools and approach. Based on Epics; the control system follows a classical architecture. At the lowest level; Modbus/TCP protocol is considered as a field bus. Then; equipment are handled by IOCs (soft or VME/VxWorks) with a software standardized interface between IOCs and clients applications on top. This last upper layer consists of Epics standard tools; CSS/BOY user interfaces within the so-called CSSop Spiral2 context suited for operation and; for machine tunings; high level applications implemented by Java programs developed within a Spiral2 framework derived from the open-Xal one. Databases are used for equipment data and alarms archiving; to configure equipment and to manage the machine lattice and beam settings. A global overview of the system is therefore here proposed.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mocoaab03_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocoaab03.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocoaab03_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOAAB03,8
ICALEPCS2013,,MOCOAAB04,The Integrated Control System at ESS,ESS; Lund; Sweden; Cosylab; Ljubljana; Slovenia; The European Spallation Source (ESS) is a high current proton LINAC to be built in Lund; Sweden. The LINAC delivers 5 MW of power to the target at 2500 MeV; with a nominal current of 50 mA. The project entered Construction phase on January 1st 2013. In order to design; develop and deliver a reliable; well-performing and standardized control system for the ESS facility; the Integrated Control System (ICS) project has been established. The ICS project also entered Construction phase on January 1st. ICS consists of four distinct Core components (Physics; Software Services; Hardware and Protection) that make up the essence of the control system. Integration Support activities support the stakeholders and users; and the Control System Infrastructure provides the required underlying infrastructure for operating the control system and the facility. The current state of the control system project and key decisions are presented as well as immediate challenges and proposed solutions.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mocoaab04_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocoaab04.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocoaab04_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOAAB04,12
ICALEPCS2013,,MOCOAAB05,Keck Telescope Control System Upgrade Project Status,J.M. Johnson; J.A. Mader; K.T. Tsubota; W.M. Keck Observatory; Kamuela; USA; The Keck telescopes; located at one of the world’s premier sites for astronomy; were the first of a new generation of very large ground-based optical/infrared telescopes with the first Keck telescope beginning science operations in May of 1993; and the second in October of 1996. The components of the telescopes and control systems are more than 15 years old. The upgrade to the control systems of the telescopes consists of mechanical; electrical; software and network components with the overall goals of improving performance; increasing reliability; addressing serious obsolescence issues and providing a knowledge refresh. The telescope encoder systems will be replaced to fully meet demanding science requirements and electronics will be upgraded to meet the needs of modern instrumentation. The upgrade will remain backwards compatible with remaining Observatory subsystems to allow for a phased migration to the new system. This paper describes where Keck is in the development processes; key decisions that have been made; covers successes and challenges to date and presents an overview of future plans.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mocoaab05_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocoaab05.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocoaab05_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOAAB05,15
ICALEPCS2013,,MOCOAAB06,MeerKAT Control and Monitoring - Design Concepts and Status,SKA South Africa; National Research Foundation of South Africa; Cape Town; South Africa,Funding: National Research Foundation of South Africa,"This presentation gives a status update of the MeerKAT Control & Monitoring subsystem focusing on the development philosophy, design concepts, technologies and key design decisions. The presentation will be supplemented by a poster (if accepted) with **live demonstation** of the current KAT-7 Control&Monitoring system. The vision for MeerKAT includes to a) use Offset Gregorian antennas in a radio telescope array combined with optimized receiver technology in order to achieve superior imaging and maximum sensitivity, b) be the most sensitive instrument in the world in L-band, c) be an instrument that will be considered the benchmark for performance and reliability by the scientific community at large, and d) be a true precursor for the SKA that will be integrated into the SKA-mid dish array. The 7-dish engineering prototype (KAT-7) for MeerKAT is already producing exciting science and is being operated 24x7. The first MeerKAT antenna will be on site by the end of this year and the first two Receptors will be fully integrated and ready for testing by April 2014. By December 2016 hardware for all 64 receptors will be installed and accepted and 32 antennas will be fully commissioned.",https://proceedings.jacow.org/ICALEPCS2013/talks/mocoaab06_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocoaab06.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocoaab06_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOAAB06,19
ICALEPCS2013,,MOCOAAB07,"Real Time Control for KAGAR, 3km Cryogenic Gravitational Wave Detector in Japan",ICRR; Chiba; Japan; KAGRA is a 3km cryogenic interferometer for gravitational wave detection located underground Kamioka-mine in Japan. The next generation large scale interferometric gravitational wave detectors require very complicated control topologies for the optical path length between mirrors; and very low noise feedback controls in order to detect an extremely tiny motion between mirrors excited by gravitational waves. The interferometer consists of a Michelson interferometer with Fabry-Perot cavities on its arms; and other two mirrors as; so called; a power recycling and a resonant sideband extraction technique. In total; 5 degrees of freedom for length between 7 mirrors should be controlled at a time; and the control must be continuously kept during the observation of gravitational waves. We are currently developing a real time controls system using computers for KAGRA. In this talk; we report how the control system works.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mocoaab07_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocoaab07.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocoaab07_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOAAB07,23
ICALEPCS2013,,MOPLAB01,Measurement Technology Trends in Instrumentation and Control,National Instruments; Austin; USA; Measurement and instrumentation are prime movers in nearly every scientific discipline. To a large extent; new measurement capabilities such as higher speed; better sensitivity; and higher density; have enabled new scientific advancements. The concept of heterogeneous computing with FPGAs; multi-core processors; and GPUs; has further impacted instrumentation and control. As these different systems come together; tools and platform vendors have to work together to reduce the barrier to entry to these latest technologies. Abstraction at the appropriate level; combined with a platform-based system approach; enables domain experts such as particle physicists and fusion scientists to focus on innovation and discovery while leveraging the latest available technologies. This plenary talk will focus on industry trends and advances that improve instrumentation and control and offer insights on what lies ahead.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/moplab01_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/moplab01.pdf,False,https://proceedings.jacow.org/ICALEPCS2013/posters/moplab01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOPLAB01,
ICALEPCS2013,,MOCOBAB01,"New Electrical Network Supervision for CERN: Simpler, Safer, Faster, and Including New Modern Features",J-C. Tournier; G. Burdet; M. Gonzalez-Berges; S. Infante; A. Kiourkos; P. Kozlowski; F. Varela; CERN; Geneva; Switzerland; Since 2012; an effort started to replace the ageing electrical supervision system (managing more than 200; 000 tags) currently in operation with a WinCC OA-based supervision system in order to unify the monitoring systems used by CERN operators and to leverage the internal knowledge and development of the products (JCOP; UNICOS; etc.). Along with the classical functionalities of a typical SCADA system (alarms; event; trending; archiving; access control; etc.); the supervision of the CERN electrical network requires a set of domain specific applications gathered under the name of EMS (Energy Management System). Such applications include network coloring; state estimation; power flow calculations; contingency analysis; optimal power flow; etc. Additionally; as electrical power is a critical service for CERN; a high availability of its infrastructure; including its supervision system; is required. The supervision system is therefore redundant along with a disaster recovery system which is itself redundant. In this paper; we will present the overall architecture of the future supervision system with an emphasis on the parts specific to the supervision of electrical network.,,,https://proceedings.jacow.org/ICALEPCS2013/talks/mocobab01_talk.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/papers/mocobab01.pdf,True,https://proceedings.jacow.org/ICALEPCS2013/posters/mocobab01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2013-MOCOBAB01,27
