conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
PAC2013,,MOXAP1,Review of the Possible Projects towards a Higgs Factory,Fermilab; Batavia; USA; Following Higgs discovery at CERN; several accelerator technologies from linear to circular colliders using various kinds of particles from leptons (electron; positrons; muons) or gammas or hadrons in LHC. The speaker should review the varios proposals outlining the pros&cons of each technology as well as the corresponding challenges and issues to be addressed by specific R&D before a proposal can be realistically be proposed. The talk should also dicsuss Snowmass-2013 recommendations.,,,https://proceedings.jacow.org/PAC2013/talks/moxap1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/moxap1.pdf,False,https://proceedings.jacow.org/PAC2013/posters/moxap1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOXAP1,
PAC2013,,MOXBP1,Demands and Perspectives of Hadron Therapy,University of Pennsylvania School of Medicine; Perelman Center for Advanced Medicine; Philadelphia; USA,,This presentation should cover the clinical and biophysical aspects of hadron therapy and according technological perspectives. A comparison should be made of the benefits for hadrons in treating various tumor sites as compared with x-rays. Benefits as defined by survival rate and side effects will be given.,https://proceedings.jacow.org/PAC2013/talks/moxbp1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/moxbp1.pdf,False,https://proceedings.jacow.org/PAC2013/posters/moxbp1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOXBP1,
PAC2013,,MOYAA1,LHC Operation at Higher Energy and Luminosity,CERN; Geneva; Switzerland; The Large Hadron Collider at CERN (Geneva) was commissioned and operated in the years 2009-2013 up to a beam energy of 4 TeV. A peak luminosity of 0.77 1034 cm-2s−1 was reached and an integrated luminosity of around 29 fb-1 was delivered to both ATLAS and CMS. This performance allowed the discovery of a scalar boson. The LHC is presently in a shutdown phase dedicated to consolidation and maintenance that will allow the restart of beam operation in early 2015 at an increased beam energy of 6.5 to 7 TeV. Maximum acceptable pile-up; effectiveness of electron-cloud scrubbing; and fast loss events are some of the issues that will shape the choice of operational parameters; cycle setup; and the commissioning strategy. The baseline choices and options for the restart after the shutdown are presented. In addition the roadmap for future performance upgrades is sketched.,,,https://proceedings.jacow.org/PAC2013/talks/moyaa1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/moyaa1.pdf,True,https://proceedings.jacow.org/PAC2013/posters/moyaa1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOYAA1,1
PAC2013,,MOYAA2,The R&D Program for a Future Muon Collider,Fermilab; Batavia; USA,,The U.S. Muon Accelerator Program is conducting a multi-year R&D program to evaluate the feasibility of the technologies required for a Neutrino Factory and Muon Collider. The design concepts for a Higgs Factory and multi-TeV Muon Collider are described and the status of the major R&D activities for these machines are summarized. The potential for a high energy physics facility based on muon accelerator technology is discussed.,https://proceedings.jacow.org/PAC2013/talks/moyaa2_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/moyaa2.pdf,False,https://proceedings.jacow.org/PAC2013/posters/moyaa2_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOYAA2,
PAC2013,,MOYBA1,The CLIC Project - Status and Prospects,University of Oslo; Oslo; Norway; CERN; Geneva; Switzerland; SLAC; Menlo Park; California; USA; Following the feasibility demonstration of the novel CLIC technology and the publication in 2012 of a CLIC Conceptual Design Report for a Multi-TeV Linear Collider to be built in stages; a new phase towards a technical design is being launched by a global collaboration of volunteer institutes. This paper reviews the status and plans of the CLIC study outlining the developments planned for the next project phase.,,,https://proceedings.jacow.org/PAC2013/talks/moyba1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/moyba1.pdf,True,https://proceedings.jacow.org/PAC2013/posters/moyba1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOYBA1,6
PAC2013,,MOOAA1,"Colliders - ""Quo Vadis?"": Past 20 Years, Next 20 Years, and Beyond",Fermilab; Batavia; USA; Particle colliders for high-energy physics have been in the forefront of scientific discoveries for more than half a century. The accelerator technology of the colliders has progressed immensely; while the beam energy; luminosity; facility size; and cost have grown by several orders of magnitude. The method of colliding beams has not fully exhausted its potential but has slowed down considerably in its progress. This paper briefly reviews the colliding beam method and the history of colliders; discusses the development of the method over the last two decades in detail; and examines near-term collider projects that are currently under development. The paper concludes with an attempt to look beyond the current horizon and to find what paradigm changes are necessary for breakthroughs in the field.,,,https://proceedings.jacow.org/PAC2013/talks/mooaa1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/mooaa1.pdf,True,https://proceedings.jacow.org/PAC2013/posters/mooaa1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOOAA1,11
PAC2013,,MOOAA2,Status of the Electron-Positron Collider VEPP-2000,A.L. Romanov; D.E. Berkaev; A.S. Kasaev; I. Koop; A.N. Kyrpotin; A.P. Lysenko; E. Perevedentsev; V.P. Prosvetov; Yu. A. Rogovsky; A.I. Senchenko; P.Yu. Shatunov; Y.M. Shatunov; D.B. Shwartz; A.N. Skrinsky; I.M. Zemlyansky; Yu.M. Zharinov; BINP SB RAS; Novosibirsk; Russia,,VEPP-2000 began high energy physics experiments in the end of 2010 and finished its third experimental season in July of 2013. The last season was dedicated to the energy range of 160-510 MeV per beam. Compton back-scattering based energy measurements were used for the regular energy calibration of the VEPP-2000 together with resonance depolarization and NMR based methods. The concept of the round colliding beams lattice along with the precise orbit and lattice correction yielded the high peak luminosity of 1.2×1031 cm-2s-1 at 505 MeV with average luminosity of 0.9×1031 cm-2s-1 per run. The total beam-beam tune shift up to 0.174 was achieved in the runs at 392.5 MeV. This corresponds to beam-beam parameter ξ=0.125 per one interaction point. The injection system is currently being upgraded to allow for the injection of particles at the top energy of VEPP-2000 collider and to eliminate the present lack of positrons.,https://proceedings.jacow.org/PAC2013/talks/mooaa2_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/mooaa2.pdf,True,https://proceedings.jacow.org/PAC2013/posters/mooaa2_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOOAA2,14
PAC2013,,MOYAB1,Perspectives and Challenges for Diffraction-Limited Storage Ring Light Sources,SLAC; Menlo Park; California; USA; ANL; Argonne; USA; This presentation provides an overview of the scientific motivation for developing diffraction limited storage ring (DLSR) light sources; reviews the main R&D challenges associated with DLSR implementation and summarizes the worldwide effort presently in progress to build a new generation of very low emittance rings.,,,https://proceedings.jacow.org/PAC2013/talks/moyab1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/moyab1.pdf,True,https://proceedings.jacow.org/PAC2013/posters/moyab1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOYAB1,19
PAC2013,,MOOAB1,Initial Design of the MaRIE 1.0 X-FEL Linac,J.W. Lewellen; B.E. Carlsten; L.D. Duffy; Q.R. Marksteiner; S.J. Russell; N.A. Yampolsky; LANL; Los Alamos; New Mexico; USA; The MaRIE 1.0 X-FEL requires an electron beam at 12 GeV with 100pC bunch charge; 0.2 μm RMS normalized transverse emittance; and 0.15% RMS slice energy spread. These requirements place significant constraints upon the use of techniques; such as laser heaters; which have enabled other X-FELs to reach their design goals. In this paper; we present the current baseline design and performance of the MaRIE 1.0 linac; highlight current and anticipated challenges and describe potential alternate approaches for meeting our design performance goals.,,,https://proceedings.jacow.org/PAC2013/talks/mooab1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/mooab1.pdf,False,https://proceedings.jacow.org/PAC2013/posters/mooab1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOOAB1,
PAC2013,,MOOAB2,Ultra-low Emittance Upgrade Options for the Diamond Light Source,R. Bartolini; N.P. Hammond; J. Kay; R.P. Walker; Diamond; Oxfordshire; United Kingdom; JAI; Oxford; United Kingdom; Many synchrotron radiation facilities are studying lattice upgrades in order to lower the natural emittance and hence increase the radiation brightness. While large circumference rings are favoured in reaching ultra small emittance; recent advances in design and optimisation tools allow also medium size ring to reach emittances down to the 100s pm region with workeable lattices. Diamond is investigating a novel design whereby low emittance is conjugated with doubling of the capacity of the ring; based on a double double bend achromat (DDBA) cell. Plans for the installation of two low emittance cells will be presented. These will serve as prototype for a full phased upgrade of the storage ring.,,,https://proceedings.jacow.org/PAC2013/talks/mooab2_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/mooab2.pdf,True,https://proceedings.jacow.org/PAC2013/posters/mooab2_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOOAB2,24
PAC2013,,MOYBB1,Analysis of Transverse Instabilities Observed at J-PARC MR and their Suppression using Feedback Systems,KEK; Ibaraki; Japan,,This talk should present an analysis of transverse instabilities observed at the J-PARC MR (Main Ring) and their suppression using feedback systems. Instabilities were mainly observed at low energies. About 30% of particles are lost due to the instabilities if the feedback system is turned off at the beam power of 120kW. Both horizontal and vertical instabilities were observed. An analysis unveils that a dipole mode has a temporal appearance of higher-order head-tail modes if the chromaticity is suffisiently large. The development of instabilities in the presence of a large chromaticity should be considered for conditions beyond the Sacherer's text book case.,https://proceedings.jacow.org/PAC2013/talks/moybb1_talk.pdf,False,https://proceedings.jacow.org/PAC2013/papers/moybb1.pdf,True,https://proceedings.jacow.org/PAC2013/posters/moybb1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOYBB1,27
PAC2013,,MOYBB2,Transverse Impedance and Transverse Instabilities in the Fermilab Booster,Fermilab; Batavia; USA,,Impedances of the Fermilab Booster are strongly amplified by direct beam interaction with laminations of its bending dipoles. It results in a fast transverse instability. Interference of effects of large space charge and large impedance does not allow building an analytical theory of the instability leaving numerical simulations as only reliable way to describe the instability. The paper should present a comparison of computer simulations with experimental measurements for the Fermilab Booster.,https://proceedings.jacow.org/PAC2013/talks/moybb2_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/moybb2.pdf,True,https://proceedings.jacow.org/PAC2013/posters/moybb2_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOYBB2,32
PAC2013,,MOZAA1,The JLAB 12 GeV Energy Upgrade of CEBAF,JLAB; Newport News; Virginia; USA; This presentation should describe the progress of the 12GeV Upgrade of CEBAF at Jefferson Lab. The status of the upgrade should be presented as well as details on the construction; procurement; installation and commissioning of the magnet and SRF components of the upgrade.,,,https://proceedings.jacow.org/PAC2013/talks/mozaa1_talk.pdf,True,https://proceedings.jacow.org/PAC2013/papers/mozaa1.pdf,True,https://proceedings.jacow.org/PAC2013/posters/mozaa1_poster.pdf,False,https://doi.org/10.18429/JACoW-PAC2013-MOZAA1,36
