conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
cool2019,,TUPS01,Simulation of Electron Cooling and IBS at EICC,IMP/CAS; Lanzhou; People’s Republic of China; Electron Cooling will be considered in the future project EICC. In this high energy region; electron cooling is very different from the traditional low energy case. For get high luminosity; the high intensity and long lifetime of ion beam was required with the help of electron cooling. Electron cooling and IBS were simulated in the cases of high energy and high intensity for typical ion; proton and Uranium. Some initial parameters were obtained from the simulation. It will be helpful for the understanding of high energy electron cooling.,,,https://proceedings.jacow.org/cool2019/talks/tups01_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups01.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups01_poster.pdf,True,https://doi.org/10.18429/JACoW-COOL2019-TUPS01,77
cool2019,,TUPS02,Two-Energy Storage-Ring Electron Cooler,F. Lin; Y.S. Derbenev; G.A. Krafft; V.S. Morozov; Y. Zhang; JLab; Newport News; Virginia; USA; J.R. Delayen; B. Dhital; ODU; Norfolk; Virginia; USA; Cooling of ion beams to achieve a significant reduction of beam emittances is crucial to deliver high luminosities over a broad center of mass energy range in a collider. An electron-beam-based cooling system is one of the most potential approaches. It allows a small transverse beam size at the interaction point; and a small beta-star and crab crossing with a longitudinally short bunch length. Cooling also extends the luminosity lifetime by counteracting the intra-beam scattering (IBS) induced emittance degradation. In this paper; we propose a development of a storage-ring-based electron cooler consisting of two sections with significantly different energies: the cooling and damping sections. The electron energy and other parameters in the cooling section are adjusted for optimum cooling of a stored ion beam. The beam parameters in the damping section are adjusted for optimum damping of the electron beam. The necessary energy difference is provided by an energy-recovering-superconducting RF structure. Analytical calculations and numerical simulations have been performed to demonstrate a stable longitudinal motion with acceleration and deceleration of electron beams in this two-energy cooling system.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/cool2019/talks/tups02_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups02.pdf,False,https://proceedings.jacow.org/cool2019/posters/tups02_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS02,
cool2019,,TUPS03,Vacuum Systems for the Coolers of the NICA Project,A.V. Bubley; A. Bainazarova; M.I. Bryzgunov; N.S. Kremnev; V.V. Parkhomchuk; A.A. Putmakov; V.B. Reva; BINP SB RAS; Novosibirsk; Russia; The NICA accelerator complex contains two electron coolers; one sits at booster and another at NICA collider. They have requirements for the vacuum of 10-11 mbar. Despite the coolers have different design the problems of getting vacuum are similar; lack of space along vacuum chambers; presence of the electron beam and oxide cathode usage. The solutions for achieving such a strict requirements are discussed in the article.,,reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/cool2019/talks/tups03_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups03.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups03_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS03,80
cool2019,,TUPS04,Preliminary Studies of Bem-Induced Fluorescence and Status of the Beam-Current Upgrade of the Electron-Cooler Test-Bench at HIM,Th. Beiser; K. Aulenbacher; M.W. Bruker; J. Dietrich; HIM; Mainz; Germany; GSI; Darmstadt; Germany; JLab; Newport News; Virginia; USA; First wavelength-resolved studies of the beam-induced fluorescence have been made at the cooler teststand. Its upgrade to 30 kV has been completed; which will allow operation at 1 Ampere beam current. Operation with the upgraded parameters is imminent and options for further experiemnts will be discussed.,,reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/cool2019/talks/tups04_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups04.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups04_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS04,83
cool2019,,TUPS05,The High Voltage Power Supply System for Electron Cooler for CSRe,D.N. Skorobogatov; M.I. Bryzgunov; M.N. Kondaurov; A.A. Putmakov; V.V. Repkov; V.B. Reva; BINP SB RAS; Novosibirsk; Russia; The high-voltage power supply system for upgrade of the electron cooling system of CSRE ring in the IMP; was developed at the BINP in 2014 - 2019. The main features are - maximum voltage is 300 kV; stability - 10ppm; with the ability of quick changing of voltage in range ±10% of nominal voltage for a time not more than 500 us. The key points of this design are presented in this article.,,reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/cool2019/talks/tups05_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups05.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups05_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS05,86
cool2019,,TUPS06,Electron Cooling Simulation Benchmarking,B. Veglia; J. Resta-López; C.P. Welsch; Cockcroft Institute; Warrington; Cheshire; United Kingdom; N. Biancacci; D. Gamba; A. Latina; Á. Saá Hernández; CERN; Meyrin; Switzerland; J. Resta-López; C.P. Welsch; The University of Liverpool; Liverpool; United Kingdom; Electron coolers are commonly used in storage rings to reduce the phase space volume of heavy particles such as protons; antiprotons and ions. Their effect depends on the Coulomb interactions between the circulating beam and the cold electrons at small relative velocities. The cooling process can be modelled through different approaches and the behaviour of the cooling force; can be described by various formulas; which include different parameters. The aim of the present study is to compare the accuracy of the cooling simulations performed by two distinct beam-tracking codes: Betacool and RF-Track. Being based on different models and formulas; the two simulation tools require different parameters in order to realistically describe electron cooling. In this contribution; the impact of these parameters is discussed; and simulation predictions are compared with experimental data from LEIR (Low Energy Ion Ring) at CERN and ESR (Experimentier-Speicher-Ring) at GSI. Fur-thermore; the friction force is calculated for the new antimatter storage ring ELENA (Extra Low Energy Anti-proton) at CERN.,,reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/cool2019/talks/tups06_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups06.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups06_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS06,89
cool2019,,TUPS07,WinSAM and WinMAG - New Program Packages for Simulation of Electron-Optical Systems,BINP SB RAS; Novosibirsk; Russia; In BINP new program packages WinSAM and WinMAG have been developed. The main goal of WinSAM program is the simulation of axially symmetric electron optical systems with space charge consideration. This program is the further development of SAM code with greatly improved interface and enhanced scope of considered tasks. WinMAG is developed to solve 3D non-linear magnetostatic tasks; direct integral method is used in this code. Several types of coils including user-defined coils can be entered; magnetic volumes can be described by several basic volumes.,,reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/cool2019/talks/tups07_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups07.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups07_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS07,93
cool2019,,TUPS08,Beam Position Monitor System for High Voltage Electron Cooler for NICA Collider,G.V. Karpov; E.A. Bekhtenevpresenter; V.B. Reva; BINP SB RAS; Novosibirsk; Russia; E.A. Bekhtenevpresenter; V.B. Reva; NSU; Novosibirsk; Russia; The high voltage (2.5 MV) electron cooler for NICA collider is now designing in BINP. Beam position monitor (BPM) system for orbit measurements has been developed at BINP. The system contains 16 BPMs inside the cooling sections; 4 BPMs inside the high voltage vessels and 22 BPMs in transport channels. Continuous electron beam is modulated with 10 MHz sinusoidal signal for capability to get signals from pickup electrodes. The beam current modulation can be varied in the range of 0.3 - 5 mA. The modulation signal may be supplied to each sector of the control electrode. So; the position of one quadrant sector of the electron beam can be measured by BPM system. Comparing the positions of each sectors from BPM to BPM it is possible to analyse the shape of the electron beam in the transport channel and cooling section. The BPMs inside the cooling section can measure both electron and ion beams. It is achieved by means of switching the reference signals inside the BPM electronics. The prototypes of new BPM electronics have been fabricated and tested. The BPM electronics provides highly precise beam position measurements. Position measurement error doesn’t exceed a few micron. Design features of the BPM system; its parameters and testing results are presented in this paper.,,reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/cool2019/talks/tups08_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups08.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups08_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS08,96
cool2019,,TUPS09,Electron Cooler Introduced Perturbations on Ion Beam,Y.J. Yuan; P. Li; IMP/CAS; Lanzhou; People’s Republic of China; The influence of electron cooler on stored ion beams in heavy ion synchrotron has been studied for many years. Usually; only the influence on lattice from the magnetic field of solenoid and toroids were considered; in addition to the cooling effect from Coulomb Scatter-ing. However; electron cooling experiments show that there exist limits on intensity of electron beam and the stored ion beams. Meanwhile; experiments of cooling with pulsed e-beam show structure instability that should be explained. The influence of electron beam induced electromagnetic field on ion beams was studied in this paper by means of Lie Algebraic method. The combined transport matrix of solenoid and e-beam field focusing is given. Application of the matrix may help to understand the above phenomena.,,,https://proceedings.jacow.org/cool2019/talks/tups09_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups09.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups09_poster.pdf,True,https://doi.org/10.18429/JACoW-COOL2019-TUPS09,99
cool2019,,TUPS10,Power Supplies for Correctors of the 2.5 MeV Electron Cooling System for the NICA Collider,O.V. Belikov; M.I. Bryzgunov; V.R. Kozak; V.V. Parkhomchuk; V.B. Reva; D.S. Vinnik; BINP SB RAS; Novosibirsk; Russia,,Power supply system for corrector magnets of NICA electron cooling system includes different power supply sources. 112 bipolar power supply sources provide a maximal current 6 A and maximal voltage from 24 V to 140 V. 32 bipolar power supply sources provide maximal current 20 A and maximal voltage 50 V. Additionally the system includes 16 power supply sources with a maximal current 20 A for active correction of current in the main magnets by connecting power supplies to the magnet windings in parallel. The paper will present the description and parameters of power supply system. reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/cool2019/talks/tups10_talk.pdf,False,https://proceedings.jacow.org/cool2019/papers/tups10.pdf,True,https://proceedings.jacow.org/cool2019/posters/tups10_poster.pdf,False,https://doi.org/10.18429/JACoW-COOL2019-TUPS10,102
