conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
ecris2020,,MOWZO01,FECR Ion Source Development and Challenges,L.T. Sun; Y. Chen; M.Z. Guan; J.W. Guo; J.B. Li; L.B. Li; L.X. Li; W. Lu; E.M. Mei; X.J. Ou; Z. Shen; X.D. Wang; B.M. Wu; W. Wu; C.J. Xin; X.Z. Zhang; H.W. Zhao; S.J. Zheng; L. Zhu; IMP/CAS; Lanzhou; People’s Republic of China; Z. Shen; L.T. Sun; UCAS; Beijing; People’s Republic of China; FECR or the First 4th generation ECR ion source is under development at Institute of Modern Physics (IMP) since 2015. This ion source is aiming to extract intense highly charged heavy ion beams in the order of emA from the dense plasma heated with 45 GHz microwave power. To provide effective magnetic confinement to the 45 GHz ECR plasma; a state of the art Nb3Sn magnet with min-B configuration is a straightforward technical path. As there is no much precedent references; it has to be designed; prototyped at IMP through in-house development. Meanwhile; other physics and technical challenges to a 4th generation ECR ion source are also tackled at IMP to find feasible solutions. This paper will give a brief review of the critical issues in the development of FECR ion source. A detailed report on the status of FECR prototype magnet development will be presented.,,,https://proceedings.jacow.org/ecris2020/talks/mowzo01_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/mowzo01.pdf,True,https://proceedings.jacow.org/ecris2020/posters/mowzo01_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOWZO01,1
ecris2020,,MOWZO02,,,,,https://proceedings.jacow.org/ecris2020/talks/mowzo02_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/mowzo02.pdf,True,https://proceedings.jacow.org/ecris2020/posters/mowzo02_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOWZO02,
ecris2020,,MOWZO03,Status of the AISHa Ion Source at INFN-LNS,L. Celona; G. Calabrese; G. Castro; F. Chines; S. Gammino; O. Leonardi; G. Manno; D. Mascali; A. Massara; S. Passarello; D. Siliato; G. Torrisi; INFN/LNS; Catania; Italy; INFN-Pavia; Pavia; Italy; C. Maugeri; F. Russo; CNAO Foundation; Pavia; Italy; The AISHa ion source is an Electron Cyclotron Resonance Ion Source designed to generate high brightness multiply charged ion beams with high reliability; easy operations and maintenance for hadrontheraphy applications. The R&D performed by the INFN-LNS team during the 2019/2020 has allowed the improvement of the AISHa performances up to 20% for some of the extracted beams: both injection and extraction flanges has been improved and a movable electrode has been installed. The low energy beam transport has been equipped of an Emittance Measurement Unit (EMU); working through the beam wire scanners principle; for the measurement of the vertical and horizontal emittance of the beams of interest for hadrontherapy applications. Beam emittance has been characterized as a function of q/m and of the beam intensity to highlight space charge effects. If necessary; the beam wire scanners can be used for the characterization of the beam shape. The perspectives for further developments and plasma diagnostics will be also highlighted.,,,https://proceedings.jacow.org/ecris2020/talks/mowzo03_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/mowzo03.pdf,True,https://proceedings.jacow.org/ecris2020/posters/mowzo03_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOWZO03,10
ecris2020,,MOWZO04,GISMO Gasdynamic ECR Ion Source Status: Towards High-Intensity Ion Beams of Superior Quality,I. Izotov; A. Bokhanov; E.M. Kiseleva; R.L. Lapin; V. Skalyga; S.S. Vybin; IAP/RAS; Nizhny Novgorod; Russia; GISMO; a CW high-current quasi-gasdynamic ECR ion source; is under development at the IAP RAS. The quasi-gasdynamic confinement regime; featuring high plasma density (up to 1014 cm-3) and moderate electron temperature (~100 eV); allowed to extract pulsed beams of H+ and D+ ions with current of 450 mA and RMS emittance <0.07 pi mm mrad*. It has been already demonstrated that major benefits of quasi-gasdynamic confinement; previously tested in pulsed mode; are scalable to the CW operational mode. In first experiments at GISMO facility; the ion beams were extracted in pulsed mode from the CW plasma of ECR discharge due to technical limitations of cooling circuits. Proton beams with current up to 70 mA were achieved at extraction voltage of 40 kV. A new unique extraction system especially effective for the formation of high current density ion beams was developed.,,"* V. Skalyga, I. Izotov, S. Razin, A. Sidorov, S. Golubev, T. Kalvas, H. Koivisto, and O. Tarvainen. Review of Scientific Instruments 85, 02A702 (2014); https://doi.org/10.1063/1.4825074",https://proceedings.jacow.org/ecris2020/talks/mowzo04_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/mowzo04.pdf,True,https://proceedings.jacow.org/ecris2020/posters/mowzo04_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOWZO04,13
ecris2020,,MOXZO01,Status of the 45 GHz MARS-D ECRIS,D.Z. Xie; J.Y. Benitez; M.K. Covo; A. Hodgkinson; M. Juchno; L. Phair; D.S. Todd; L. Wang; LBNL; Berkeley; California; USA,"Development of the MARS-D ECR ion source, a 45 GHz next generation ECRIS using a NbTi MARS-magnet, has been continuously moving forward at LBNL. Recent stress analyses and other key components of the MARS-D ion source have been essentially finalized. This article presents and discusses the status of this new 45 GHz ECR ion source, such as the latest design features and the fabrication plan with funding available in the very near future.",,https://proceedings.jacow.org/ecris2020/talks/moxzo01_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/moxzo01.pdf,True,https://proceedings.jacow.org/ecris2020/posters/moxzo01_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOXZO01,17
ecris2020,,MOXZO02,Conceptual Design of Heavy Ion ToF-ERDA Facility Based on Permanent Magnet ECRIS and Variable Frequency RFQ Accelerator,O.A. Tarvainen; D.C. Faircloth; A.P. Letchford; STFC/RAL/ISIS; Chilton; Didcot; Oxon; United Kingdom; J. Julin; T. Kalvas; JYFL; Jyväskylä; Finland; Ion beam analysis is typically based on tandem accelerators and negative ions. The required 5-20 MeV energies for heavy ion time-of-flight elastic recoil detection analysis* (ToF-ERDA) can be achieved with a high charge state ion source and RFQ accelerator. We present a conceptual design of a ToF-ERDA facility based on a permanent magnet ECRIS and variable frequency RFQ accelerating 1-10 pnA of 40Ar8+; 84Kr17+ and 129Xe24+ ions to 4-7; 10-15 and 13-20 MeV. We present the PM ECRIS requirements focusing on the CUBE-ECRIS** with a quadrupole min-B field topology. Beam dynamics studies demonstrating good transmission of the heavy ion beams from the ion source to the RFQ entrance through the electrostatic low energy beam transport (LEBT) and a permanent magnet dipole are presented. The predicted LEBT transmissions of the CUBE-ECRIS (rectangular extraction slit) and a conventional ECRIS (circular extraction aperture) are compared. The conceptual design of the RFQ is described and the implications of the energy spread on the high energy beam transport are discussed. It is demonstrated that an energy spread below 0.2 % is necessary for appropriate resolution of the heavy ion ToF-ERDA.; * J. Julin and T. Sajavaara; Nucl. Instrum. Methods Phys. Res. B 406; Part A; (2017); pp 61-65. ** T. Kalvas; O. Tarvainen; V. Toivanen and H. Koivisto; 2020 JINST 15 P06016.,,,https://proceedings.jacow.org/ecris2020/talks/moxzo02_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/moxzo02.pdf,True,https://proceedings.jacow.org/ecris2020/posters/moxzo02_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOXZO02,21
ecris2020,,MOXZO03,FRIB 28 GHz ECR Ion Source Development and Status,H.T. Ren; N.K. Bultman; G. Machicoane; P. Morrison; W.R. O’Brien; M. Omelayenko; X. Rao; FRIB; East Lansing; Michigan; USA; H. Felice; R.R. Hafalia; P. Pan; S. Prestemon; LBNL; Berkeley; California; USA; To satisfy ultimate performance requirements for heavy ions; a 28 GHz superconducting ECR ion source is under development at the Facility for Rare Isotope Beams (FRIB) in collaboration with Berkeley National Laboratory. The construction and testing of the superconducting magnet was completed at Berkeley and delivered to FRIB in January 2018. The magnet and cryostat have been assembled on the high voltage platform. Magnet cooldown and field mapping are planned by the end of 2020. The source commissioning shall start in early 2021. Details of the ion source design; current status of assembly; and commissioning plan will be presented in this paper.,,,https://proceedings.jacow.org/ecris2020/talks/moxzo03_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/moxzo03.pdf,False,https://proceedings.jacow.org/ecris2020/posters/moxzo03_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOXZO03,
ecris2020,,MOYZO01,Imaging in X-ray Ranges to Locally Investigate the Effect of the Two-Close-Frequency Heating in ECRIS Plasmas,R. Rácz; S. Biri; Z. Perduk; Atomki; Debrecen; Hungary; G. Castro; L. Celona; S. Gammino; D. Mascali; M. Mazzaglia; E. Naselli; G. Torrisi; INFN/LNS; Catania; Italy; INFN/LNL; Legnaro (PD); Italy; Catania University; Catania; Italy; University Debrecen; Debrecen; Hungary; Plasma instabilities limit the ECR Ion Sources performances in terms of flux of the extracted highly charged ions by causing beam ripple and unstable operation conditions. In a 14 GHz ECRIS (Atomki; Debrecen); the effect on the plasma instabilities in an Argon plasma at Two Close Frequencies heating scheme (the frequency gap is smaller than 1 GHz) has been explored. A special multi-diagnostic setup [1; 2] has been designed and implemented consisting of detectors for the simultaneous collection of plasma radio-self-emission and of high spatial resolution X-ray images in the 500 eV - 20 keV energy domain (using an X-ray pin-hole camera setup). We present the comparison of plasma structural changes as observed from X-ray images in single and double-frequency operations. The latter has been particularly correlated to the confinement and velocity anisotropy; also by considering results coming from numerical simulations.,,[1] S. Biri et al. Journal of Instrumentation 13(11):C11016 DOI: 10.1088/1748-0221/13/11/C11016  [2] E. Naselli et. al. Journal of Instrumentation 14(10):C10008 DOI: 10.1088/1748-0221/14/10/C10008,https://proceedings.jacow.org/ecris2020/talks/moyzo01_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/moyzo01.pdf,True,https://proceedings.jacow.org/ecris2020/posters/moyzo01_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOYZO01,27
ecris2020,,MOYZO02,High Resolution X-ray Imaging as a Powerful Diagnostics Tool to Investigate ECRIS Plasma Structure and Confinement Dynamics,E. Naselli; G. Castro; L. Celona; S. Gammino; D. Mascali; M. Mazzaglia; G. Torrisi; INFN/LNS; Catania; Italy; S. Biri; Z. Perduk; R. Rácz; Atomki; Debrecen; Hungary; INFN/LNL; Legnaro (PD); Italy; Catania University; Catania; Italy; DU; Debrecen; Hungary; High resolution spatially-resolved X-ray spectroscopy; by means of a X-ray pin-hole camera setup* ** operating in the 0.5-20 keV energy domain; is a very powerful method for ECRIS plasma structure evaluation. We present the setup installed at a 14 GHz ECRIS (ATOMKI; Debrecen); including a multi-layered collimator enabling measurements up to several hundreds of watts of RF pumping power and the achieved spatial and energy resolution (0.5 mm and 300 eV). Results coming by a new algorithm for analyzing Integrated (multi-events detection) and Photon-Counted images (single-event detection) to perform energy-resolved investigation will be described. The analysis permits to investigate High-Dynamic-Range (HDR) and spectrally resolved images; to study the effect of the axial and radial confinement (even separately); the plasma radius; the fluxes of deconfined electrons distinguishing fluorescence lines of the materials of the plasma chamber (Ti; Ta) from plasma (Ar) fluorescence lines. This method allows a detailed characterization of warm electrons; important for ionization; and to quantitatively estimate local plasma density and spectral temperature pixel-by-pixel.,,"*S. Biri et al., JINST 13(11):C11016-C11016, DOI:10.1088/1748-0221/13/11/C11016 **E. Naselli et al., JINST 14(10):C10008-C10008, DOI:10.1088/1748-0221/14/10/C10008",https://proceedings.jacow.org/ecris2020/talks/moyzo02_talk.pdf,True,https://proceedings.jacow.org/ecris2020/papers/moyzo02.pdf,True,https://proceedings.jacow.org/ecris2020/posters/moyzo02_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOYZO02,32
ecris2020,,MOYZO03,"The Relationship Between the Diffusion of Hot Electrons, Plasma Stability, and ECR Ion Source Performance",MSU; East Lansing; Michigan; USA; NSCL; East Lansing; Michigan; USA; FRIB; East Lansing; Michigan; USA,Funding: This research was made possible by the National Science Foundation under NSF Grant 1632761 and the U.S. Department of Energy Award Number DE-SC0018362.,"Plasma instabilities complicate the operation of electron cyclotron resonance ion sources. In particular, quasi-periodic losses of electrons from confinement due to kinetic cyclotron instabilities hinder ion source performance. Empirical scaling laws help guide the development of sources away from the most unstable operating points but are poorly understood. Further advancement of ECR ion source technologies requires a deeper understanding of instabilities, scaling laws, and internal processes of the ion source plasma itself. We present here results of an experimental study into these instabilities and scaling laws, and measurements of hot electron diffusion (E > 10 keV) from the 18 GHz SUSI ECRIS at the NSCL. Measurements of the average argon current and the standard deviation of their variations across multiple unstable operating points are shown. These measurements are compared to measurements of electrons that diffuse axially from the plasma chamber. In doing so it will be shown how controlling the diffusion of electrons control the stability of the plasma and optimize the ion source’s performance. reference for this paper ※ https://doi.org/10.18429/JACoW-",https://proceedings.jacow.org/ecris2020/talks/moyzo03_talk.pdf,False,https://proceedings.jacow.org/ecris2020/papers/moyzo03.pdf,True,https://proceedings.jacow.org/ecris2020/posters/moyzo03_poster.pdf,False,https://doi.org/10.18429/JACoW-ECRIS2020-MOYZO03,38
