conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
eefact2018,,MOXAA02,Highlights from SuperKEKB Commissioning,KEK; Ibaraki; Japan; SuperKEKB is an electron-positron double-ring asymmetric-energy collider to search new physics phenomena appeared in B-boson decays. In order to accomplish this purpose; the huge statics; it is necessary for 40 times the luminosity as high as the predecessor KEKB collider. The strategy is that the vertical beta function at the IP is squeezed down to 1/20 and the beam currents doubles those of KEKB while keeping the same beam-beam parameter. The vertical beta function at the IP will be much smaller than the bunch length; however; the hourglass effect which degrades the luminosity will be reduced by adopting a novel ‘‘nano-beam’ scheme. First of all; the Phase 2 commissioning was focused on the verification of nano-beam scheme. Secondary; beam related background at the Belle II detector was also studied for the preparation of the pixel vertex detector installed before the Phase 3 operation. The preliminary results and accomplishments of the commissioning in Phase 2 will be reported in this article.,,reference for this paper ※ https://doi.org/10.18429/JACoW-ee,https://proceedings.jacow.org/eefact2018/talks/moxaa02_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moxaa02.pdf,True,https://proceedings.jacow.org/eefact2018/posters/moxaa02_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOXAA02,1
eefact2018,,MOXBA01,Challenges for Circular e+e− Colliders,CERN; Meyrin; Switzerland; This paper sketches the glorious past and the tantalizing future of circular e+e− colliders; highlighting some of the key issues.,,reference for this paper ※ https://doi.org/10.18429/JACoW-ee,https://proceedings.jacow.org/eefact2018/talks/moxba01_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moxba01.pdf,True,https://proceedings.jacow.org/eefact2018/posters/moxba01_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOXBA01,7
eefact2018,,MOXBA02,Physics at Future Colliders,INFN-Bologna; Bologna; Italy; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,The physics program at the Future Circular Colliders is summarised. The synergy and complementarity between the leptonic FCC-ee collider and the hadronic FCC-hh collider are discussed. The foreseen improvements on Higgs measurements are presented using the data from both the leptonic and the hadronic FCC machines . The improvements obtainable on several searches for physics beyond SM are discussed. The possibilities presented by the FCC-eh machine are also briefly shown. reference for this paper using,https://proceedings.jacow.org/eefact2018/talks/moxba02_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moxba02.pdf,False,https://proceedings.jacow.org/eefact2018/posters/moxba02_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOXBA02,
eefact2018,,MOYAA01,Several Topics on Beam Dynamics in FCC-ee,KEK; Ibaraki; Japan; S. Aumon; T.K. Charles; D. El Khechen; T. Tydecks; CERN; Meyrin; Switzerland; BINP SB RAS; Novosibirsk; Russia; Several studies on the beam dynamics at FCC-ee: low emittance tuning; dynamic aperture; beam blowup with/without beam beam; will be introduced.,,reference for this paper ※ https://doi.org/10.18429/JACoW-ee,https://proceedings.jacow.org/eefact2018/talks/moyaa01_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moyaa01.pdf,True,https://proceedings.jacow.org/eefact2018/posters/moyaa01_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOYAA01,18
eefact2018,,MOYAA02,Status of DAΦNE: from KLOE-2 to SIDDHARTA-2 Experiment with Crab-Waist,C. Milardi; D. Alesini; S. Bini; O.R. Blanco-García; M. Boscolo; B. Buonomo; S. Cantarella; S. Caschera; A. D’Uffizi; A. De Santis; G.O. Delle Monache; D.G.C. Di Giulio; G. Di Pirro; A. Drago; L.G. Foggetta; A. Gallo; R. Gargana; A. Ghigo; S. Guiducci; S. Incremona; F. Iungo; C. Ligi; M. Maestri; A. Michelotti; L. Pellegrino; R. Ricci; U. Rotundo; L. Sabbatini; C. Sanelli; G. Sensolini; A. Stecchi; A. Stella; A. Vannozzi; M. Zobov; INFN/LNF; Frascati; Italy; INFN-Roma1; Rome; Italy; J. Chavanne; G. Le Bec; P. Raimondi; ESRF; Grenoble; France; Dafne; the Italian lepton collider; is running since more than a decade thanks to a radical revision of the approach used to deal with the beam-beam interaction: the Crab-Waist collision scheme. In this context; the collider has recently completed a long term activity program aimed at providing an unprecedented sample of data to the KLOE-2 detector; a large experimental apparatus including a high intensity solenoidal field strongly perturbing ring optics and beam dynamics. The KLOE-2 run has been undertaken with the twofold intend of collecting data for rare decay flavor physics studies; and testing the effectiveness of the new collision scheme in the presence of a strongly perturbing experimental apparatus. The performances of the collider are reviewed and the limiting factors discussed along with the preparatory phase activities planned to secure a new collider run to the SIDDHARTA-2 experiment.,,reference for this paper ※ https://doi.org/10.18429/JACoW-ee,https://proceedings.jacow.org/eefact2018/talks/moyaa02_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moyaa02.pdf,True,https://proceedings.jacow.org/eefact2018/posters/moyaa02_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOYAA02,23
eefact2018,,MOYAA05,The Status of CEPC,C.H. Yu; S. Bai; T.J. Bian; X. Cui; J. Gao; H. Geng; D.J. Gong; D. Ji; Y.D. Liu; C. Meng; Q. Qin; D. Wang; N. Wang; Y. Wang; Y. Wei; J.Y. Zhai; Y. Zhang; H.J. Zheng; Y.S. Zhu; IHEP; Beijing; People’s Republic of China; Circular electron-positron collider (CEPC) is a dedi-cated project proposed by China to research the Higgs boson. The collider ring provides e+ e− collision at two interaction points (IP). The luminosity for the Higgs mode at the beam energy of 120GeV is 3*1034 cm-2s-1 at each IP while the synchrotron radiation (SR) power per beam is 30MW. Furthermore; CEPC is compatible with W and Z experiments; for which the beam ener-gies are 80 GeV and 45.5 GeV respectively. The lumi-nosity at the Z mode is higher than 1.7*1035 cm-2s-1 per IP. Top-up operation is available during the data taking of high energy physics. The status of CEPC will be introduced in detail in this paper.,,reference for this paper ※ https://doi.org/10.18429/JACoW-ee,https://proceedings.jacow.org/eefact2018/talks/moyaa05_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moyaa05.pdf,True,https://proceedings.jacow.org/eefact2018/posters/moyaa05_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOYAA05,30
eefact2018,,MOYBA01,Round Colliding Beams at Vepp-2000 with Extreme Tuneshifts,D.B. Shwartz; V.V. Anashin; O.V. Belikov; D.E. Berkaev; K. Gorchakov; A.S. Kasaev; A.N. Kirpotin; I. Koop; A.A. Krasnov; G.Y. Kurkin; A.P. Lysenko; S.V. Motygin; E. Perevedentsev; V.P. Prosvetov; D.V. Rabusov; Yu. A. Rogovsky; A.M. Semenov; A.I. Senchenko; D.N. Shatilov; P.Yu. Shatunov; Y.M. Shatunov; O.S. Shubina; M.V. Timoshenko; I.M. Zemlyansky; Yu.M. Zharinov; BINP SB RAS; Novosibirsk; Russia; I. Koop; E. Perevedentsev; Yu. A. Rogovsky; A.I. Senchenko; Y.M. Shatunov; D.B. Shwartz; NSU; Novosibirsk; Russia; VEPP-2000 is the only electron-positron collider operating with round beams that allow to enhance beam-beam limit. VEPP-2000 with SND and CMD-3 detectors carried out two successful data-taking runs after new BINP injection complex was commissioned. The 2016/2017 run was dedicated to high energy range (640-1000 MeV per beam) while the 2017/2018 run was focused at 275-600 MeV/beam energies. With sufficient positron production rate and upgraded full-energy booster the collider luminosity was limited by beam-beam effects; namely flip-flop effect. Thorough machine tuning together with new ideas introduced to suppress flip-flop allowed to achieve high beam-beam tuneshift and bunch-by-bunch luminosity values at specific beam energies. The achieved luminosity increased 2-5 times in a whole energy range in comparison to phase-1 operation (2010-2013).,,reference for this paper ※ https://doi.org/10.18429/JACoW-ee,https://proceedings.jacow.org/eefact2018/talks/moyba01_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moyba01.pdf,True,https://proceedings.jacow.org/eefact2018/posters/moyba01_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOYBA01,34
eefact2018,,MOYBA02,Low Energy Inverse Crossing e+e−  Collider for (Mu+Mu-) Bound State Production and Study,A.V. Bogomyagkov; V.P. Druzhinin; E.B. Levichev; A.I. Milstein; S.V. Sinyatkin; BINP SB RAS; Novosibirsk; Russia; From six leptonic atoms (e+e−); (μ+e-); (μ+μ-); (τ+e-); (τ+μ-); (τ+τ-) only positronium (e+e−) and muonium (μ+e-) were observed. Observation and study of dimuonium (μ+μ-) will test QED and quantum mechanics computations in the new regime. Dimuonium radius is 200 times smaller than positronium; therefore; it has a higher new-physics reach potential in comparison with other exotic atoms. We propose a low energy e+e− collider for production of the not yet observed (μ+μ-) bound system. Low beam energy E(beam)=400 MeV and small circumference Π=30 m of the machine make it inexpensive to manufacture and operate. Large crossing angle (75 degrees)of e+e− beams produces dimuonium with non-zero momentum shifting decay point from beams collision area and providing effective suppression of the main source of background – elastic e+e− scattering. The peak luminosity at μ+μ- production threshold is 8×1031 cm-2s-1. Reversing one of the beams direction allows to study π± and η mesons with high luminosity.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/eefact2018/talks/moyba02_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moyba02.pdf,False,https://proceedings.jacow.org/eefact2018/posters/moyba02_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOYBA02,
eefact2018,,MOYBA03,A Project of Super Charm-Tau Factory in Novosibirsk,BINP SB RAS; Novosibirsk; Russia; The paper concerns the status of the e+e− collider Super Charm-Tau Factory at Budker INP; Novosibirsk; Russia. In particularly the issues related to the lattice design; collider performance; accelerator systems; CDR preparation; etc. are discussed. The project aims at realization a variable energy flavor factory between 2 GeV and 6 GeV in the center of mass with unprecedented luminosity of 1035 cm-2s−1 provided by a Crab Waist collision technology.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/eefact2018/talks/moyba03_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moyba03.pdf,False,https://proceedings.jacow.org/eefact2018/posters/moyba03_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOYBA03,
eefact2018,,MOYBA04,Report from ARIES Muon Collider Workshop in Padua,CERN; Meyrin; Switzerland; INFN- Sez. di Padova; Padova; Italy; Several novel concepts could help the muon collider become a reality. These concepts include parametric ionization cooling; low-emittance muon production by positron annihilation (LEMMA scheme); production of low-emittance muon or positron beams using the Gamma Factory concept; and strategies to upgrade large accelerator complexes; like the LHC or the FCC; into a highest-energy muon collider. The muon collider workshop organized by ARIES APEC at Padua in July 2018 gathered the international community in order to review the recent progress and to formulate a common R\&D strategy. Several important conclusions and recommendations were drawn.,,reference for this paper ※ https://doi.org/10.18429/JACoW-ee,https://proceedings.jacow.org/eefact2018/talks/moyba04_talk.pdf,False,https://proceedings.jacow.org/eefact2018/papers/moyba04.pdf,True,https://proceedings.jacow.org/eefact2018/posters/moyba04_poster.pdf,False,https://doi.org/10.18429/JACoW-EEFACT2018-MOYBA04,41
