conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
fls2018,,MOA1PL01,Latest Developments in X-Ray FELs and Future Perspectives,DESY; Hamburg; Germany; The successful commissioning of the PAL-XFEL; SwissFEL and European XFEL in the last year has increased the number of operating hard X-Ray FELs together with SACLA and LCLS to five. This talk will try to summarize the status of the facilities; compare similarities and differences and give an outlook of what is to be expected in the coming years.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; PSI; Villigen PSI; Switzerland; X-ray free-electron-lasers (FEL) are cutting-edge research instruments that produce transversely coherent radiation with peak powers of 10-100 gigawatts and pulse durations of the order of 10 femtoseconds or shorter. Standard FEL facilities based on the SASE mechanism have certain limitations concerning the properties of the produced radiation; namely the longitudinal coherence or bandwidth; the peak power and the pulse duration. In this talk a review of different schemes to enhance the peak power and the longitudinal coherence of FELs will be presented. The talk will cover well-established methods; such as tapering or seeding; as well as other promising but not yet demonstrated techniques; like the high-brightness SASE and some methods based on superradiance to generate terawatt-attosecond radiation. The progress of such schemes will be reviewed and; based on present limitations and challenges; areas for future development will be pointed out. Moreover; we will present how most of these schemes can be accommodated in the design of the next generation of FEL facilities.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Slides MOA1PL01 [10.455 MB] reference for this paper using Review of Schemes for Improved Peak Power and Coherence in X-Ray FELs Slides MOA1PL02 [2.838 MB] reference for this paper using,https://proceedings.jacow.org/fls2018/talks/moa1pl01_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/moa1pl01.pdf,False,https://proceedings.jacow.org/fls2018/posters/moa1pl01_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOA1PL01,
fls2018,,MOA1PL02,Review of Schemes for Improved Peak Power and Coherence in X-Ray FELs,PSI; Villigen PSI; Switzerland; X-ray free-electron-lasers (FEL) are cutting-edge research instruments that produce transversely coherent radiation with peak powers of 10-100 gigawatts and pulse durations of the order of 10 femtoseconds or shorter. Standard FEL facilities based on the SASE mechanism have certain limitations concerning the properties of the produced radiation; namely the longitudinal coherence or bandwidth; the peak power and the pulse duration. In this talk a review of different schemes to enhance the peak power and the longitudinal coherence of FELs will be presented. The talk will cover well-established methods; such as tapering or seeding; as well as other promising but not yet demonstrated techniques; like the high-brightness SASE and some methods based on superradiance to generate terawatt-attosecond radiation. The progress of such schemes will be reviewed and; based on present limitations and challenges; areas for future development will be pointed out. Moreover; we will present how most of these schemes can be accommodated in the design of the next generation of FEL facilities.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Slides MOA1PL02 [2.838 MB] reference for this paper using,https://proceedings.jacow.org/fls2018/talks/moa1pl02_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/moa1pl02.pdf,False,https://proceedings.jacow.org/fls2018/posters/moa1pl02_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOA1PL02,
fls2018,,MOA2PL01,Trends and Challenges in the Future Storage Ring Light Sources,RIKEN SPring-8 Center; Sayo-cho; Sayo-gun; Hyogo; Japan; Recent innovative design concepts have greatly improved ring-based SR source performance beyond the limitations experienced in the past few decades [1; 2] and this movement activates upgrades of operational SR facilities and new facility constructions. This talk gives a landscape of ring-based light source development and then; presents expected challenges in each development branch; beyond the current performance limit.; [1] L. Farvacque et al.; Proceedings of,,,https://proceedings.jacow.org/fls2018/talks/moa2pl01_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/moa2pl01.pdf,False,https://proceedings.jacow.org/fls2018/posters/moa2pl01_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOA2PL01,
fls2018,,MOA2PL02,Round Beam Related Challenges in Storage Ring Light Sources,HZB; Berlin; Germany; In future low emittance storage ring based light sources round beams are desired for reducing Touschek scattering losses; mitigating emittance growth from IBS; and; last but not least; round beams offer more suitable and better photon beam parameters at the end of beam lines and finally at the user's samples. Various schemes have been proposed to make the naturally flat electron beam in storage rings round. These schemes are more or less challenging and their pros and cons will be presented in this contribution.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; J.D. Fuerst; E. Gluskin; Q.B. Hasse; Y. Ivanyushenkov; M. Kasa; I. Kesgin; Y. Shiroyanagi; ANL; Argonne; Illinois; USA; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Slides MOA2PL02 [4.103 MB] reference for this paper using Review of New Developments in Superconducting Undulator Technology at the APS Superconducting undulator (SCU) technology offers the possibility of enhancing the magnetic field of undulators compared to other undulator technologies. It also allows for the fabrication of circular polarizing devices in addition to the planar undulators. Work on SCUs therefore continues in the light source community. Recent developments in SCU technology will be presented. Slides MOA2PL03 [1.669 MB] reference for this paper ※ https://doi.org/10.18429/JACoW-FLS2018-MOA2PL03 reference for this paper using,https://proceedings.jacow.org/fls2018/talks/moa2pl02_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/moa2pl02.pdf,False,https://proceedings.jacow.org/fls2018/posters/moa2pl02_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOA2PL02,1
fls2018,,MOA2PL03,Review of New Developments in Superconducting Undulator Technology at the APS,J.D. Fuerst; E. Gluskin; Q.B. Hasse; Y. Ivanyushenkov; M. Kasa; I. Kesgin; Y. Shiroyanagi; ANL; Argonne; Illinois; USA; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Superconducting undulator (SCU) technology offers the possibility of enhancing the magnetic field of undulators compared to other undulator technologies. It also allows for the fabrication of circular polarizing devices in addition to the planar undulators. Work on SCUs therefore continues in the light source community. Recent developments in SCU technology will be presented. Slides MOA2PL03 [1.669 MB] reference for this paper ※ https://doi.org/10.18429/JACoW-FLS2018-MOA2PL03 reference for this paper using,https://proceedings.jacow.org/fls2018/talks/moa2pl03_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/moa2pl03.pdf,True,https://proceedings.jacow.org/fls2018/posters/moa2pl03_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOA2PL03,1
fls2018,,MOP1WA01,The Shanghai Hard X-ray Free Electron Laser Project,SINAP; Shanghai; People's Republic of China; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; The LCLS-II-HE; A High Energy Upgrade of the LCLS-II; SLAC; Menlo Park; California; USA; The LCLS-II XFEL will be based on a 4 GeV CW SRF linac and will produce x-ray pulses at 1 MHz over the spectral range of 200 to 5; 00 eV. The rf gun will be installed and tested in early 2018; cryomodules are being produced at Fermilab and Jefferson lab and shipped to SLAC; undulator segments are being fabricated at LBNL and measured at SLAC. In parallel; a High Energy upgrade will be described which would extend the linac to 8 GeV and increase the spectral range to 12.8 keV.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; C.-K. Min; I. Eom; J. Hu; S.H. Jung; H.-S. Kang; S.H. Kim; H.-S. Lee; S.S. Park; PAL; Pohang; Kyungbuk; Republic of Korea; A tunable femtosecond X-ray laser; PAL-XFEL have sub-20- fs timing jitter between XFEL pulses and optical laser pulses; which make this machine extremely useful for time-resolved experiments with high time resolution. We describe the effort made to minimize timing jitter of XFEL machine and to synchronize optical laser system to our low phase noise RF reference. Passively stabilized RF timing distribution system and phase-locked oscillators provide 1 fs level jitter; and carefully designed LLRF and modulator system provide 10-4 level energy stability of electron bunches. The electron bunch arrival jitter is measured less than 20 fs with a phase cavity. Cross correlation between XFEL and optical laser also showed less than 20 fs timing jitter.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,This talk is about the Shanghai Hard X-ray Free Electron Laser Project. reference for this paper using Slides MOP1WA02 [5.000 MB] reference for this paper ※ https://doi.org/10.18429/JACoW-FLS2018-MOP1WA02 reference for this paper using PAL-XFEL and Its Time-Resolved Experiment with sub-20-fs Timing Jitter Slides MOP1WA03 [14.919 MB] reference for this paper using,https://proceedings.jacow.org/fls2018/talks/mop1wa01_talk.pdf,False,https://proceedings.jacow.org/fls2018/papers/mop1wa01.pdf,False,https://proceedings.jacow.org/fls2018/posters/mop1wa01_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOP1WA01,6
fls2018,,MOP1WA02,"The LCLS-II-HE, A High Energy Upgrade of the LCLS-II",SLAC; Menlo Park; California; USA; The LCLS-II XFEL will be based on a 4 GeV CW SRF linac and will produce x-ray pulses at 1 MHz over the spectral range of 200 to 5; 00 eV. The rf gun will be installed and tested in early 2018; cryomodules are being produced at Fermilab and Jefferson lab and shipped to SLAC; undulator segments are being fabricated at LBNL and measured at SLAC. In parallel; a High Energy upgrade will be described which would extend the linac to 8 GeV and increase the spectral range to 12.8 keV.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; C.-K. Min; I. Eom; J. Hu; S.H. Jung; H.-S. Kang; S.H. Kim; H.-S. Lee; S.S. Park; PAL; Pohang; Kyungbuk; Republic of Korea; A tunable femtosecond X-ray laser; PAL-XFEL have sub-20- fs timing jitter between XFEL pulses and optical laser pulses; which make this machine extremely useful for time-resolved experiments with high time resolution. We describe the effort made to minimize timing jitter of XFEL machine and to synchronize optical laser system to our low phase noise RF reference. Passively stabilized RF timing distribution system and phase-locked oscillators provide 1 fs level jitter; and carefully designed LLRF and modulator system provide 10-4 level energy stability of electron bunches. The electron bunch arrival jitter is measured less than 20 fs with a phase cavity. Cross correlation between XFEL and optical laser also showed less than 20 fs timing jitter.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Slides MOP1WA02 [5.000 MB] reference for this paper ※ https://doi.org/10.18429/JACoW-FLS2018-MOP1WA02 reference for this paper using PAL-XFEL and Its Time-Resolved Experiment with sub-20-fs Timing Jitter Slides MOP1WA03 [14.919 MB] reference for this paper using,https://proceedings.jacow.org/fls2018/talks/mop1wa02_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/mop1wa02.pdf,True,https://proceedings.jacow.org/fls2018/posters/mop1wa02_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOP1WA02,6
fls2018,,MOP1WA03,PAL-XFEL and Its Time-Resolved Experiment with sub-20-fs Timing Jitter,C.-K. Min; I. Eom; J. Hu; S.H. Jung; H.-S. Kang; S.H. Kim; H.-S. Lee; S.S. Park; PAL; Pohang; Kyungbuk; Republic of Korea; A tunable femtosecond X-ray laser; PAL-XFEL have sub-20- fs timing jitter between XFEL pulses and optical laser pulses; which make this machine extremely useful for time-resolved experiments with high time resolution. We describe the effort made to minimize timing jitter of XFEL machine and to synchronize optical laser system to our low phase noise RF reference. Passively stabilized RF timing distribution system and phase-locked oscillators provide 1 fs level jitter; and carefully designed LLRF and modulator system provide 10-4 level energy stability of electron bunches. The electron bunch arrival jitter is measured less than 20 fs with a phase cavity. Cross correlation between XFEL and optical laser also showed less than 20 fs timing jitter.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Slides MOP1WA03 [14.919 MB] reference for this paper using,https://proceedings.jacow.org/fls2018/talks/mop1wa03_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/mop1wa03.pdf,False,https://proceedings.jacow.org/fls2018/posters/mop1wa03_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOP1WA03,
fls2018,,MOP2WA01,Report on the First ICFA Mini-Workshop on Machine Learning for Particle Accelerators,D.F. Ratner; X. Huang; C.E. Mayes; T.O. Raubenheimer; SLAC; Menlo Park; California; USA; Machine learning techniques are playing a growing role in operation of particle accelerators around the world. To facilitate collaborations and discussions at this early stage; we have organized the first ICFA mini-workshop on machine learning applications at SLAC National Accelerator Laboratory: https://conf.slac.stanford.edu/icfa-ml-2018/. Here we report on the outcome of the meeting.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; XFEL. EU; Hamburg; Germany; L. Froehlichpresenter; M. Scholz; DESY; Hamburg; Germany; In today's single-pass free-electron lasers; a lot of time and effort is spent on the manual optimization of machine parameters with the goal of improving the photon beam. Identifying and automating these tuning procedures holds the promise of faster set-up times and higher machine efficiency. This talk gives an overview of various optimization routines used for this purpose at the European XFEL. Our first attempts at exploiting machine learning algorithms are also included.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; SINAP; Shanghai; People's Republic of China; Artificial neuron networks which inspired by biological neural networks have been widely used in various domains; including computer vision; machine translation; pattern/speech recognition; medical diagnosis and so on; due to its overwhelming superiorities. But it's not until recently that intelligent algorithms have been introduced in light source field. M.P. Ehrlichman; Yi Jiao; Juhao Wu and A. Sanchez-Gonzalez did some work in this respect and got commendable results. Considering Shanghai X-ray Free-Electron Laser (SXFEL) conditions; we are urgent to improve the FEL performance; and fundamental technique turns out to be beam-based alignment. But it's difficult to implement this means in SXFEL due to the low electron beam energy resulting in uncontrollable orbit disturbance. Thus; a new method which is suitable for SXFEL is an eager desire. Here; we discuss the feasibility of neuron network-based beam-based alignment; and try to take it into reality in SXFEL. In fact; Hornik have proved; as early as 1989; that a single hidden layer feedforward networks can approximate any measurable function arbitrarily well; which provides the theoretical evidence to our suggestion.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; H.-S. Kang; H. Yangpresenter; PAL; Pohang; Kyungbuk; Republic of Korea; The use of electron-beam-based alignment incorporating undulator radiation spectrum analysis has allowed reliable operation of PAL-XFEL with unprecedented stability in terms of orbit; energy; and timing. The hard XFEL operation procedure established using e-BBA and incorporating undulator radiation spectrum analysis proved to be highly reliable and robust; and essential for the variable-gap undulators. The undulator optics matching using the wire-scanner based emittance measurement is extensively used to maximize the FEL intensity even at higher photon energy up to 14.5 keV.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Slides MOP2WA01 [4.130 MB] reference for this paper using Automated Optimization of Machine Parameters at the European XFEL Slides MOP2WA02 [6.927 MB] reference for this paper using The Feasibility of Neuron Network-based Beam-based Alignment Slides MOP2WA03 [5.439 MB] reference for this paper using FEL Optimization Through BBA with Undulator Spectrum Analysis and Undulator Optics Matching Slides MOP2WA04 [17.465 MB] reference for this paper using,https://proceedings.jacow.org/fls2018/talks/mop2wa01_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/mop2wa01.pdf,False,https://proceedings.jacow.org/fls2018/posters/mop2wa01_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOP2WA01,
fls2018,,MOP2WA02,Automated Optimization of Machine Parameters at the European XFEL,XFEL. EU; Hamburg; Germany; L. Froehlichpresenter; M. Scholz; DESY; Hamburg; Germany; In today's single-pass free-electron lasers; a lot of time and effort is spent on the manual optimization of machine parameters with the goal of improving the photon beam. Identifying and automating these tuning procedures holds the promise of faster set-up times and higher machine efficiency. This talk gives an overview of various optimization routines used for this purpose at the European XFEL. Our first attempts at exploiting machine learning algorithms are also included.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; SINAP; Shanghai; People's Republic of China; Artificial neuron networks which inspired by biological neural networks have been widely used in various domains; including computer vision; machine translation; pattern/speech recognition; medical diagnosis and so on; due to its overwhelming superiorities. But it's not until recently that intelligent algorithms have been introduced in light source field. M.P. Ehrlichman; Yi Jiao; Juhao Wu and A. Sanchez-Gonzalez did some work in this respect and got commendable results. Considering Shanghai X-ray Free-Electron Laser (SXFEL) conditions; we are urgent to improve the FEL performance; and fundamental technique turns out to be beam-based alignment. But it's difficult to implement this means in SXFEL due to the low electron beam energy resulting in uncontrollable orbit disturbance. Thus; a new method which is suitable for SXFEL is an eager desire. Here; we discuss the feasibility of neuron network-based beam-based alignment; and try to take it into reality in SXFEL. In fact; Hornik have proved; as early as 1989; that a single hidden layer feedforward networks can approximate any measurable function arbitrarily well; which provides the theoretical evidence to our suggestion.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS; H.-S. Kang; H. Yangpresenter; PAL; Pohang; Kyungbuk; Republic of Korea; The use of electron-beam-based alignment incorporating undulator radiation spectrum analysis has allowed reliable operation of PAL-XFEL with unprecedented stability in terms of orbit; energy; and timing. The hard XFEL operation procedure established using e-BBA and incorporating undulator radiation spectrum analysis proved to be highly reliable and robust; and essential for the variable-gap undulators. The undulator optics matching using the wire-scanner based emittance measurement is extensively used to maximize the FEL intensity even at higher photon energy up to 14.5 keV.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Slides MOP2WA02 [6.927 MB] reference for this paper using The Feasibility of Neuron Network-based Beam-based Alignment Slides MOP2WA03 [5.439 MB] reference for this paper using FEL Optimization Through BBA with Undulator Spectrum Analysis and Undulator Optics Matching Slides MOP2WA04 [17.465 MB] reference for this paper using,https://proceedings.jacow.org/fls2018/talks/mop2wa02_talk.pdf,True,https://proceedings.jacow.org/fls2018/papers/mop2wa02.pdf,False,https://proceedings.jacow.org/fls2018/posters/mop2wa02_poster.pdf,False,https://doi.org/10.18429/JACoW-FLS2018-MOP2WA02,
