conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
hiat2018,,MOXAA01,Nuclear Physics Research at Heavy Ion Accelerators: Precision Studies with Stored and Cooled Exotic Nuclei,Yu.A. Litvinov; T. Stöhlker; GSI; Darmstadt; Germany; X. Ma; Y.H. Zhang; IMP/CAS; Lanzhou; People’s Republic of China; HIJ; Jena; Germany; Saitama University; Saitama; Japan; Nuclear physics is more than 100 years old and is still rapidly developing field of research driven by the progress in accelerator concepts and detector technologies. By now; scientists have created in laboratory about 3000 nuclides. However; about 7000 nuclides are expected to exist with majority of yet unknown nuclei belonging to neutron-rich systems; which have extremely small production cross sections and short lifetimes. Sophisticated experimental techniques are needed for precision studies of such nuclides. Here; heavy-ion storage rings coupled to radioactive ion beam facilities offer unique capabilities. There are presently three operational facilities; namely the Experimental Storage Ring (ESR) at GSI; the experimental Cooler-Storage Ring (CSRe) at IMP; and the Rare RI Ring (R3) Facility at RIKEN [*]. Furthermore; dedicated low-energy storage ring facilities are being constructed or planned at various laboratories [**]. In this contribution I will try to illustrate the power of heavy-ion storage rings for unique precision studies at the forefront nuclear structure and astrophysics research. And; I will give my biased outlook onto the future experimental activities.; [*] Y. H. Zhang et al.; Phys. Scripta 91 (2016) 073002 [**] M. Lestinsky et al.; Eur. Phys. J. Special Topics 225 (2016) 797,,,https://proceedings.jacow.org/hiat2018/talks/moxaa01_talk.pdf,True,https://proceedings.jacow.org/hiat2018/papers/moxaa01.pdf,True,https://proceedings.jacow.org/hiat2018/posters/moxaa01_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOXAA01,1
hiat2018,,MOXBA01,High Intensity heavy ion Accelerator Facility (HIAF) Project Overview,IMP/CAS; Lanzhou; People’s Republic of China,,given by Prof. Jiancheng Yang,https://proceedings.jacow.org/hiat2018/talks/moxba01_talk.pdf,True,https://proceedings.jacow.org/hiat2018/papers/moxba01.pdf,False,https://proceedings.jacow.org/hiat2018/posters/moxba01_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOXBA01,
hiat2018,,MOYAA01,Advances of the FRIB Project,J. Wei; H. Ao; S. Beher; N.K. Bultman; F. Casagrande; J. Chen; S. Cogan; C. Compton; J. Curtin; L.R. Dalesio; K.D. Davidson; A. Facco; V. Ganni; A. Ganshyn; P.E. Gibson; T. Glasmacher; Y. Hao; L. Hodges; K. Holland; H.-C. Hseuh; A. Hussain; M. Ikegami; S. Jones; T. Kanemura; P. Knudsen; R.E. Laxdal; J. LeTourneau; S.M. Lidia; G. Machicoane; I.M. Malloch; F. Marti; S.J. Miller; Y. Momozaki; D.G. Morris; P.N. Ostroumov; J.T. Popielarski; L. Popielarski; J. Priller; H.T. Ren; T. Russo; K. Saito; S. Stanley; T. Xu; Y. Yamazaki; FRIB; East Lansing; Michigan; USA; K. Dixon; M. Wiseman; JLab; Newport News; Virginia; USA; INFN/LNL; Legnaro (PD); Italy; KEK; Ibaraki; Japan; M.P. Kelly; Y. Momozaki; ANL; Lemont; Illinois; USA; TRIUMF; Vancouver; Canada; LBNL; Berkeley; California; USA; The Facility for Rare Isotope Beams (FRIB) Project has entered the phase of beam commissioning starting from the room-temperature front end and the superconducting linac segment of first three cryomodules. With the newly commissioned helium refrigeration system supplying 4.5 K liquid helium to the quarter-wave resonators and solenoids; the FRIB accelerator team achieved the sectional key performance parameters as designed ahead of schedule. We also validated machine protection and personnel protection systems that will be crucial to the next phase of commissioning. FRIB is on track towards a national user facility at the power frontier with a beam power two orders of magnitude higher than operating heavy-ion facilities. This paper summarizes the status of accelerator design; technology development; construction; commissioning; as well as path to operations and upgrades.,Funding: Work supported by the U.S. Department of Energy Office of Science under Cooperative Agreement DE-SC0000661 and the National Science Foundation under Cooperative Agreement PHY-1102511.,,https://proceedings.jacow.org/hiat2018/talks/moyaa01_talk.pdf,True,https://proceedings.jacow.org/hiat2018/papers/moyaa01.pdf,True,https://proceedings.jacow.org/hiat2018/posters/moyaa01_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOYAA01,7
hiat2018,,MOYAA02,Status of the SPES Exotic Beam Facility,"M. Comunian; A. Andrighetto; P. Antonini; C. Baltador; L. Bellan; D. Benini; J. Bermudez; G. Bisoffi; D. Bortolato; M. Calderolla; M. Cavenago; S. Corradetti; A. Facco; E. Fagotti; P. Favaron; L. Ferrari; A. Galatà; F. Galtarossa; M.G. Giacchini; F. Gramegna; A. Lombardi; M. Maggiore; M. Manzolaro; D. Marcato; T. Marchi; P. Mastinu; P. Modanese; M.F. Moisio; A. Monetti; M. Montis; A. Palmieri; S. Pavinato; D. Pedretti; A. Pisent; M. Poggi; G.P. Prete; C.R. Roncolato; M. Rossignoli; L. Sarchiapone; D. Scarpa; D. Zafiropoulos; L. de Ruvo; INFN/LNL; Legnaro (PD); Italy; INFN- Sez. di Padova; Padova; Italy; At Legnaro National Laboratories of INFN is under construction a Rare Isotope Facility called ""Selective Production of Exotic Species"" (SPES) based on a 35-70 MeV proton cyclotron; able to deliver two beams with a total current up to 0.75 mA; an ISOL fission target station and an existing ALPI superconducting accelerator as a post accelerator (up to 10 MeV/u for A/q=7). The paper will cover notably: the high-resolution mass separator; the CW RFQ (80 MHz; 727 keV/u; with internal bunching); the 1+ low energy transfer line and the injection line from Charge Breeder to ALPI under installation.",,,https://proceedings.jacow.org/hiat2018/talks/moyaa02_talk.pdf,True,https://proceedings.jacow.org/hiat2018/papers/moyaa02.pdf,True,https://proceedings.jacow.org/hiat2018/posters/moyaa02_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOYAA02,13
hiat2018,,MOZAA01,The Design and Experiment of Cw High Current Deuteron RFQ,K. Zhu; Q. Fu; P.P. Gan; S.L. Gao; H.P. Li; S. Liu; Y.R. Lu; Q.Y. Tan; Z. Wang; PKU; Beijing; People’s Republic of China; W.P. Dou; Y. He; C. Wang; Z.J. Wang; Q. Wu; IMP/CAS; Lanzhou; People’s Republic of China; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,A window-type RFQ is designed and fabricated by Peking University for the key technique research of Beijing Isotope-Separation-On-Line neutron-rich beam facility(BISOL) . It is planed to accelerate 50mA deuteron CW beam to 1MeV. The 60kV intervene voltage is designed to decrease the risk of high voltage discharge since the RFQ works in CW mode. High power test shows that the intervane voltage is over 60kV when the cavity power consumption is 48kW. The beam experiment was done and 1.8mA CW beam was obtained at the exit of RFQ with over 90% transmission efficiency. It is the first time that window-type RFQ is used to accelerate light ion with high frequency(>100MHz). The experiment result shows that the window-type structure have great advantages in CW working mode.,reference for this paper using,https://proceedings.jacow.org/hiat2018/talks/mozaa01_talk.pdf,False,https://proceedings.jacow.org/hiat2018/papers/mozaa01.pdf,False,https://proceedings.jacow.org/hiat2018/posters/mozaa01_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOZAA01,
hiat2018,,MOZBA01,Present Status of HIRFL Complex in Lanzhou,Y.J. Yuan; D.Q. Gao; L.Z. Ma; L.J. Mao; R.S. Mao; J. Meng; Y.W. Su; L.T. Sun; Y.Y. Wang; J.X. Wu; J.W. Xia; G.Q. Xiao; Z. Xu; J.C. Yang; W.Q. Yang; Q.G. Yao; X. Yin; B. Zhang; W. Zhang; H.W. Zhao; Z.Z. Zhou; IMP/CAS; Lanzhou; People’s Republic of China; Heavy Ion Research Facility in Lanzhou (HIRFL) is a cyclotron; synchrotron and storage ring accelerator complex; which accelerates ions of hydrogen to uranium from low to medium energy. Since the complete of HIRFL-CSR project in 2008; under the support from CAS; efforts have been put to improve the infrastructure for machine performance; including improvement of EMC environments; power distribution stations; PS stations; cooling water system; RF system of cyclotrons and adoption of EPICS control system; etc. New generation SC ECR source-,,,https://proceedings.jacow.org/hiat2018/talks/mozba01_talk.pdf,True,https://proceedings.jacow.org/hiat2018/papers/mozba01.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mozba01_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOZBA01,18
hiat2018,,MOOXA01,Status of JINR FLNR cyclotrons,I.V. Kalagin; S.L. Bogomolov; S.N. Dmitriev; B. Gikal; G.G. Gulbekyan; I.A. Ivanenko; G.N. Ivanov; N.Yu. Kazarinov; Y.T. Oganessian; N.F. Osipov; V.A. Semin; JINR; Dubna; Moscow Region; Russia; Status of JINR FLNR cyclotrons and plans of their modernization together with plans on creation of new facilities will be reported. At present; three cyclotrons: U400; U400M and IC100 and MT-25 microtron are under operation at the JINR FLNR. U400 and U400M are the basic FLNR facilities that both are under operation is about 12000 hours per year. The U400 (pole diameter of D=4 m) was designed to accelerate ions from B to Bi up to 19 MeV/u. U400 reconstruction is planned. The U400M cyclotron (D=4 m) is used to accelerate ions from Li to Xe up to 60 MeV/u. U400M modernization is planned. The IC100 accelerator (D=1m) is used for applied researches with Ar; Kr and Xe ions at energy of 1.2 MeV/u. Creation of the dedicated DC-130 cyclotron (D=2m) with ion energies of 4.5 and 2 MeV/u is planned on the base of U200 cyclotron. The Super Heavy Element Factory (SHE factory) is the new FLNR JINR project. The DC-280 cyclotron (D=4 m) is the basic facility of the SHE factory; which will accelerate ions with energies 4 - 8 MeV/u cyclotron at intensities up to 10 pmkA for ion masses over A=50. The main systems of the DC-280 were assembled and tested; the cyclotron is preparing for commissioning.,,,https://proceedings.jacow.org/hiat2018/talks/mooxa01_talk.pdf,True,https://proceedings.jacow.org/hiat2018/papers/mooxa01.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mooxa01_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOOXA01,23
hiat2018,,MOOYA01,High Voltage Performance Degradation of the 14UD Tandem Accelerator,P. Linardakis; S.T. Battisson; J.A. Bockwinkel; B.W. Graham; J.K. Heighway; N.R. Lobanov; D. Tsifakis; T. Tunningley; Research School of Physics and Engineering; Australian National University; Canberra; Australian Capitol Territory; Australia; The 14UD at the Australian National University’s Heavy Ion Accelerator Facility maintained a maximum operational voltage of 15.5 MV since the 1990s after the installation of tubes with a compressed geometry. In recent years; the performance of the accelerator has shown a gradual decline to a maximum operation voltage of ~14.5 MV. There are fundamental factors that limit the high voltage performance; such as the SF6 gas pressure; field enhancement due to triple junctions and total voltage effect. In addition; there are non-fundamental factors causing high voltage degradation. These are: operation with faulty ceramic gaps; operation at inappropriate voltage and SF6 pressure combinations; SF6 leaks into the vacuum space or use of SF6 and O2 as a stripper gases; poor electron suppression in the high energy stripper and frequent use of highly reactive ions such as Sulphur and Fluorine. In this paper we will discuss factors that limit the high voltage performance and an investigation of titanium (Ti) electrodes removed from accelerator after operation for few decades. This confirmed contamination of Ti electrodes with unstable films containing traces of oxides; sulphur and fluorine.,,,https://proceedings.jacow.org/hiat2018/talks/mooya01_talk.pdf,True,https://proceedings.jacow.org/hiat2018/papers/mooya01.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mooya01_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOOYA01,28
hiat2018,,MOPB02,Measurement Facility and Test Results for FRIB Superconducting Magnets at IMP,University of Chinese Academy of Sciences; Beijing; People’s Republic of China; L.Z. Ma; E.M. Mei; D.S. Ni; B.M. Wu; W. Wu; W.J. Yang; IMP/CAS; Lanzhou; People’s Republic of China,The Facility of Rare Isotope Beams (FRIB) superconducting magnets are used to focus and steer the heavy ion beams of the FRIB driver linac. All the magnets are designed as a solenoid with bucking coils to suppress the stray field and have superconducting dipole correctors to steer both horizontal and vertical field. Two types of magnets are manufactured in China and some of them have been tested at Institute of Modern Physic(IMP). This paper describes the measurement facilities and magnetic axis measurement method. We also present a summary of the measurement process and test results of the magnetic performance for the magnets.,,https://proceedings.jacow.org/hiat2018/talks/mopb02_talk.pdf,False,https://proceedings.jacow.org/hiat2018/papers/mopb02.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mopb02_poster.pdf,True,https://doi.org/10.18429/JACoW-HIAT2018-MOPB02,33
hiat2018,,MOPB03,The Superconducting Cyclotron RF System R&D,X.W. Wang; X.L. Jiang; Y. Qiao; Z. Xu; IMP/CAS; Lanzhou; People’s Republic of China; IMP is presently developing a 10MeV Superconducting Cyclotron for the nuclear pore membrane production and research purpose. The RF system comprises two separated resonators driven by independent amplifiers to allow for the phase and amplitude modulation technique to be applied for beam intensity modulation. The cyclotron works on 4th harmonic with Dee’s voltage 80kV frequency 37MHz. According to the physical requirements of the superconducting cyclotron; the cavity is designed to be vertical 1/2 wavelength line structure; the geometry structure of DEE is optimized repeatedly for the ideal voltage distribution .In order to compensation frequency drift caused by the thermal and mechanical deformation; the fine-tuning loop has been designed to meet the dynamically tuned requirements,,,https://proceedings.jacow.org/hiat2018/talks/mopb03_talk.pdf,False,https://proceedings.jacow.org/hiat2018/papers/mopb03.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mopb03_poster.pdf,True,https://doi.org/10.18429/JACoW-HIAT2018-MOPB03,37
hiat2018,,MOPB04,Design of Fast Pulse Generator for Kicker Power Supply in HIAF,Y. Liu; D.Q. Gao; J. Gao; J.B. Shangguan; J. Zhao; IMP/CAS; Lanzhou; People’s Republic of China; 【Abstract】-Kicker power Supply is one of the key components in the injection and extraction system of HIAF (High Intensity Heavy Ion Accelerator Facility; the 12th five-year national big science project). The PFN-Marx generator technology based on solid-state switch IGBT will be applied to HIAF-Kicker power supply. Hundreds of fast pulse signals are required for these IGBTs’ control. The PFN-Marx generator has many requirements for their control signals; such as adjustable pulse-widths and time-delay. The maximum value of adjustment accuracy of the pulse-widths and delay among multiple control signals need to be 10ns. In this paper; a fast pulse generator circuit with adjustable pulse-widths and time-delay is designed for HIAF-Kicker power supply. This design is based on an emerging ARM-embedded FPGA. And the test results shown that the design can meet the required performance.,,,https://proceedings.jacow.org/hiat2018/talks/mopb04_talk.pdf,False,https://proceedings.jacow.org/hiat2018/papers/mopb04.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mopb04_poster.pdf,True,https://doi.org/10.18429/JACoW-HIAT2018-MOPB04,40
hiat2018,,MOPB05,Commissioning Progress of LEAF at IMP,Y. Yang; W.P. Dou; X. Fang; Y.H. Guo; H. Jia; P. Jiang; L. Jing; X.J. Liu; L. Lu; W. Lu; W. Ma; L.T. Sun; L.P. Sun; Y. Wei; Y.H. Zhai; H.W. Zhao; IMP/CAS; Lanzhou; People’s Republic of China; A Low Energy intense-highly-charged ion Accelerator Facility (LEAF); which is mainly consist of an 45 GHz superconducting ECR ion source; LEBT and an 81.25 MHz 4-vane RFQ; was designed to produce and accelerate heavy ions; from helium to uranium with A/Q between 2 and 7; to the energy of 0.5 MeV/u. The typical beam intensity is designed up to 2 emA CW for the uranium beam. The project was launched in 2015 and has been successfully commissioned with He+ (A/Q=4); N2+ (A/Q=7) beam and accelerated the beams in the CW regime to the designed energy of 0.5 MeV/u. Beam commissioning results of He+ beam have been reported previously. This paper presents the details of N2+ commissioning and beam studies.,,reference for this paper ※ https://doi.org/10.18429/JACoW-,https://proceedings.jacow.org/hiat2018/talks/mopb05_talk.pdf,False,https://proceedings.jacow.org/hiat2018/papers/mopb05.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mopb05_poster.pdf,False,https://doi.org/10.18429/JACoW-HIAT2018-MOPB05,42
hiat2018,,MOPB07,The Digital Controller for Power Supplies in HIAF,Y.L. Tan; Y. Cui; D.Q. Gao; Y.Z. Huang; J.Q. Li; H. Zhang; S. Zhang; IMP/CAS; Lanzhou; People’s Republic of China; HIAF (High Intensity heavy ion Accelerator Facility) is a project proposed by IMP (Institute of Modern Physics; Chinese Academy of Sciences). This paper designs a digital controller for Bring in HIAF dipole power supplies system; which is several circuit boards consist of high precision ADC; optical fiber module; DDR3 SDRAM; Gigabit Ethernet module. It uses Cyclone V SX SoC FPGA; which integrated with dual-core ARM Cortex-A9 MP Core processor. This paper explains the hardware and software architecture of the controller and how can it improve power supplies performances. The FPGA finishes the PI regulating and PWM modulation. The ARM is responsible for data pre-setting; web service; database; and power supplies detection and protection management. At the end; this paper gives the output measurements when the controller is used in the prototype; which verifies the rationality and reliability of the design.,Funding: Huizhou Ion Science Research Center,,https://proceedings.jacow.org/hiat2018/talks/mopb07_talk.pdf,False,https://proceedings.jacow.org/hiat2018/papers/mopb07.pdf,True,https://proceedings.jacow.org/hiat2018/posters/mopb07_poster.pdf,True,https://doi.org/10.18429/JACoW-HIAT2018-MOPB07,46
