conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
ibic2020,,MOOP01,Opening & Welcome,A.J. Roque da Silva; H. Westfahl Jr.; LNLS; Campinas; Brazil; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,The CNPEM Director General Antonio José Roque da Silva and the LNLS Director Harry Westfahl Jr. welcome you to the 9th International Beam Instrumentation Conference. Watch a tour through CNPEM’s four national laboratories and take a look inside Sirius’s storage ring tunnel and beamlines under commissioning and under construction. Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted! reference for this paper using,https://proceedings.jacow.org/ibic2020/talks/moop01_talk.pdf,False,https://proceedings.jacow.org/ibic2020/papers/moop01.pdf,False,https://proceedings.jacow.org/ibic2020/posters/moop01_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-MOOP01,
ibic2020,,MOAO01,Beam Diagnostics in the Advanced Plasma Wakefield Experiment AWAKE,A.-M. Bachmann; P. Muggli; MPI; Muenchen; Germany; In AWAKE a self-modulated proton bunch drives wakefields in a plasma. Recent experiments successfully demonstrated many aspects of the self-modulation of the drive bunch as well as acceleration of test electrons [*; **; ***]. Next experiments will focus on producing a multi-GeV accelerated electron bunch with low emittance and low energy spread. The experiment requires a variety of advanced beam diagnostics to characterize the self-modulated proton bunch at the picosecond time scale. These include optical transition radiation and a streak camera for short and long time scale detailed imaging of self-modulation and hosing; coherent transition radiation for modulation frequency measurements in the 100-300 GHz frequency range and multiple fluorescent screens for core and halo measurements. An overview of these diagnostics will be given.; *E. Adli et al.; Phys. Rev. Lett.; Vol. 122; 054802 (2019).  **M. Turner et al.; Phys. Rev. Lett.; Vol. 122; 054801 (2019). ***E. Adli et al.; Nature 561; 363-367 (2018).,,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted!,https://proceedings.jacow.org/ibic2020/talks/moao01_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/moao01.pdf,True,https://proceedings.jacow.org/ibic2020/posters/moao01_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-MOAO01,1
ibic2020,,MOAO02,Initial Experiences With Beam Diagnostics During Sirius Commissioning,H.O.C. Duarte; S.R. Marques; D.O. Tavares; LNLS; Campinas; Brazil; This work will describe the first results for Sirius beam diagnostics; alongside with the interrelated experiences; studies; problems and their solutions during the first months of the machine commissioning.,,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted!,https://proceedings.jacow.org/ibic2020/talks/moao02_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/moao02.pdf,False,https://proceedings.jacow.org/ibic2020/posters/moao02_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-MOAO02,
ibic2020,,MOAO03,Commissioning of the Beam Instrumentation System of CSNS,J.L. Sun; W.L. Huang; F. Li; P. Li; R.Y. Qiu; Zh.H. Xu; T. Yang; IHEP CSNS; Guangdong Province; People’s Republic of China; M. Meng; J.M. Tian; T.G. Xu; L. Zeng; IHEP; Beijing; People’s Republic of China; China Spallation Neutron Source (CSNS) accelerator complex consists of a front end; an 80 MeV DTL LINAC; and a 1.6 GeV Rapid Cycling Synchrotron (RCS). It is designed with a beam power of 100 kW in the first phase and reserves upgrade capability to 500 kW in the second phase. CSNS has started user operation at 20 kW after the initial beam commissioning in 2018; the beam power is quickly up to 50 kW and 80 kW by two times beam commissioning in between the user beam time 2019; and finally reached 100kW; the design goal; in February 2020. This talk gives the experiences and most recent status of beam instrumentation system of CSNS during the beam power ramping; as well as future upgrade plan for CSNS-II.,,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted!,https://proceedings.jacow.org/ibic2020/talks/moao03_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/moao03.pdf,True,https://proceedings.jacow.org/ibic2020/posters/moao03_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-MOAO03,7
ibic2020,,MOAO04,Beam Instrumentation Performances through the ESRF-EBS Commissioning,ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain; N. Benoist; F. Ewald; E. Plouviez; J.L. Pons; B. Roche; K.B. Scheidt; F. Taoutaou; F. Uberto; ESRF; Grenoble; France,The upgrade of the European Synchrotron Radiation Facility (ESRF) storage ring has lead to the construction of a new machine called the Extremely Brilliant Source (EBS). EBS has been successfully commissioned in less than three month and reached the targeted parameters for user mode. The success of the EBS commissioning also depended on the performances and the reliability of the beam instrumentation used to monitor the beam. In this paper a summary of the EBS commissioning is presented with a special focus on the beam instrumentation performances.,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted!,https://proceedings.jacow.org/ibic2020/talks/moao04_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/moao04.pdf,True,https://proceedings.jacow.org/ibic2020/posters/moao04_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-MOAO04,11
ibic2020,,MOAO05,Beam Instrumentation System for Shanghai Soft X-ray FEL Test Facility,L.W. Lai; F.Z. Chen; J. Chen; J. Chen; W. Fang; C. Feng; B. Gao; R. Jiang; Y.B. Leng; Y.B. Yan; L.Y. Yu; R.X. Yuan; N. Zhang; W.M. Zhou; T. Shen; SSRF; Shanghai; People’s Republic of China; S.S. Cao; L.F. Hua; SINAP; Shanghai; People’s Republic of China; Shanghai Soft X-ray FEL (SXFEL) test facility was designed and built to demonstrate EEHG and HGHG schemes and verify key technologies for the future hard X-ray FEL facility (SHINE). After three years commissioning 8.8 nm FEL radiation with peak power of 1 MW had been achieved at the end of 2019. The design; fabrication; commissioning and operation of BI system including Stripline-BPM; Cavity-BPM; screen monitor; bunch length monitor; beam arrival monitor; bunch energy monitor; will be introduced in this paper. Several lessons learned during design stage and beam commissioning stage will be addressed as well.,,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted!,https://proceedings.jacow.org/ibic2020/talks/moao05_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/moao05.pdf,True,https://proceedings.jacow.org/ibic2020/posters/moao05_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-MOAO05,17
ibic2020,,TUAO01,Precise Bunch Charge Measurement Using BPM Pickup,J. Chen; S.S. Cao; F.Z. Chen; B. Gao; L.W. Lai; Y.B. Leng; T. Wu; X.Y. Xu; R.X. Yuan; Y.M. Zhou; SSRF; Shanghai; People’s Republic of China; Precise bunch charge measurement is the fundamental of charge feedback; beam lifetime measurement; beam loss monitor; as well as the basis of the related interlocking work. Beam position monitor (BPM) is often used for high-precision bunch charge measurement due to its superior performance. In this paper; the pros and cons of different types of BPM for measurement of bunch charge in storage ring and free electron laser (FEL) will be discussed. The related simulations; beam experiment and signal processing methods are also mentioned. The beam experiments results show that the relative bunch charge resolution of the Button BPM can reach 0.02％ in SSRF; 0.073％ and 0.021％ of the SBPM and CBPM in SXFEL; respectively. Besides; based on the method of beam experiments; we systematically studied the position dependence of BPM pickup and related compensation algorithms for high-precision bunch charge measurement.,,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted!,https://proceedings.jacow.org/ibic2020/talks/tuao01_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/tuao01.pdf,True,https://proceedings.jacow.org/ibic2020/posters/tuao01_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-TUAO01,21
ibic2020,,TUAO02,Diagnostics for Collimator Irradiation Studies in the Advanced Photon Source Storage Ring,J.C. Dooling; W. Berg; M. Borland; J.R. Calvey; G. Decker; L. Emery; K.C. Harkay; R.R. Lindberg; A.H. Lumpkin; G. Navrotski; V. Sajaev; J.B. Stevens; Y.P. Sun; K.P. Wootton; A. Xiao; ANL; Lemont; Illinois; USA; The Advanced Photon Source (APS) is building a fourth-generation storage ring (4GSR); replacing the present double-bend achromat lattice with a multibend achromat system thereby allowing the production of ultra-bright x-ray beams. The new lattice enables a two-order-of-magnitude reduction in horizontal beam emittance and a factor of two increase in beam current. The result is an electron beam of very high energy- and power-densities. Initial predictions suggest virtually any material struck by the undiluted electron beam will be damaged. Two experimental beam abort studies have been conducted on collimator test pieces in the present APS SR to inform the design of a fully-functional machine protection system for APS 4GSR operations at 200 mA. A comprehensive suite of diagnostics were employed during the studies The diagnostics used in these experiments are not new; but employed in different ways to obtain unique data sets. With these data sets now in hand; we are developing new numerical tools to guide collimator design.,,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted!,https://proceedings.jacow.org/ibic2020/talks/tuao02_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/tuao02.pdf,True,https://proceedings.jacow.org/ibic2020/posters/tuao02_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-TUAO02,26
ibic2020,,TUAO03,Ionization Chamber for Electron Beam Monitoring at Ultra High Dose Rate,C. Lahaye; S. Salvador; CNRS/IN2P3/LPC CAEN; Caen; France; J.-M. Fontbonne; J. Thariat; LPC; Caen; France; Ultra high dose rate (FLASH) electron beam therapy consists in treating tumors by delivering a dose above 1 Gy in pulse of 1 µs. Despite ionization chambers are reference detectors in dose monitoring; no real-time beam monitor based on ionization chambers exists for such ultra high dose rates. In this study; we present the response of an ionization chamber to ultra high dose rates. Simulations were performed to compute the current measured by a chamber using a 1D transport model. The transport equations included recombination*; electron capture [**; ***] and electric field change due to space charge****. Simulations were compared to measurements performed using a 800 µm gap; 1 cm2 active surface ionization chamber irradiated by 5 MeV electron pulses up to 4 Gy/µs; and varying high voltage from 400 V/mm up to 1200 V/mm. Despite high recombination rates; the signal produced by the electrons moving in the chamber was proportional to the dose rate up to ~100 ns. Preliminary results suggest that a real-time dose measurement can be done by considering only the signal induced by the electrons. This opens the development for a real-time dose rate monitor based on ionization chambers.; *J. W. Boag et al 1996 Phys. Med. Biol. 41 885  **F. Di Martino et al 2005 Med. Phys. Vol.32; No 7  ***K. Petersson et al 2017 Med. Phys. Vol.44; No 3 ****M. Gotz et al 2017 Phys. Med. Biol. 62 8634; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,Your browser cannot play the video. Consider download from Link Address. Right click on video forPicture-in-Picture modeor Full screen display.At start the sound is muted! reference for this paper using,https://proceedings.jacow.org/ibic2020/talks/tuao03_talk.pdf,False,https://proceedings.jacow.org/ibic2020/papers/tuao03.pdf,False,https://proceedings.jacow.org/ibic2020/posters/tuao03_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-TUAO03,
ibic2020,,TUAO04,Investigation of Novel Radiation Hard and Fast Scintillator for Heavy Ions Detection,M. Saifulin; P. Boutachkov; P. Simon; C. Trautmann; B. Walasek-Höhne; GSI; Darmstadt; Germany; GOI; St Petersburg; Russia; P. Rodnyi; I.D. Venevtsev; SPbPU; St. Petersburg; Russia; ZnO is a well known semiconductor material; that has found application in many fields of technology: phosphors; scintillators; varistors; gas sensors; etc*. Recently it was found that fast near-band-edge luminescence in ZnO ceramics can be significantly enhanced by introducing In3+ and Ga3+ impurities**. Due to this property; doped ZnO is of great interest for fast counting applications; in particular for beam diagnostics application at future FAIR facility***. In this contribution; we present the results of swift heavy ion induced luminescence measurements of ZnO(In) ceramics performed at GSI. Samples were irradiated with 4.8 MeV/u 48Ca and 197Au ions up to fluences of 5·10+12 and 2·10+11 ion/cm2 respectively. Iono-luminescence spectra were monitored on-line as a function of fluence. ZnO(In) and ZnO(Ga) ceramics demonstrate several orders of magnitude higher radiation hardness than plastic scintillators. This investigation is part of a larger research program for beam intensity; spill structure and beam profile measurements with ZnO fast scintillators.; * Klingshirn et al.; Phys. Stat. Solidi B; Vol.247; No.6; (2010); 1424-1447  ** Rodnyi et al.; IEEE T.Nucl. Sci. Vol.59; No.5; (2012); 2152-2155 *** Boutachkov et al.; Proceedings of,,,https://proceedings.jacow.org/ibic2020/talks/tuao04_talk.pdf,True,https://proceedings.jacow.org/ibic2020/papers/tuao04.pdf,False,https://proceedings.jacow.org/ibic2020/posters/tuao04_poster.pdf,False,https://doi.org/10.18429/JACoW-IBIC2020-TUAO04,
