conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
icalepcs2017,,MOOPL01,Welcome Address,ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain,,D. Fernández-Carreiras Welcome from the ICALEPCS 2017 Chair. Talk as video stream: https://youtu.be/VvG_o-ns-Gs,https://proceedings.jacow.org/icalepcs2017/talks/moopl01_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/moopl01.pdf,False,https://proceedings.jacow.org/icalepcs2017/posters/moopl01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOOPL01,
icalepcs2017,,MOOPL02,Welcome from the Director of ALBA Synchrotron,ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,Welcome from the ALBA Synchrotron Director.,Talk as video stream: https://youtu.be/ndO_rBUzUQY reference for this paper using,https://proceedings.jacow.org/icalepcs2017/talks/moopl02_talk.pdf,False,https://proceedings.jacow.org/icalepcs2017/papers/moopl02.pdf,False,https://proceedings.jacow.org/icalepcs2017/posters/moopl02_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOOPL02,
icalepcs2017,,MOKPL01,Evolution of Photon Sources,C. Biscari; S. Ferrer; ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain; The powerful matter probing capacities of photon beams has driven the development of electron accelerator based photon sources; starting from the parasitic usage of particle physics accelerators; to a wide variety of facilities all around the world; including synchrotrons and FELs. The main characteristics; the evolution of these sources and the expected developments will be presented; with a special highlight on the ALBA synchrotron.,,Talk as video stream: https://youtu.be/TtEcm,https://proceedings.jacow.org/icalepcs2017/talks/mokpl01_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/mokpl01.pdf,False,https://proceedings.jacow.org/icalepcs2017/posters/mokpl01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOKPL01,
icalepcs2017,,MOAPL01,The Control System for the Linear Accelerator at the European XFEL: Status and First Experiences,T. Wilksen; A. Aghababyan; R. Bacher; P.K. Bartkiewicz; C. Behrens; T. Delfs; P. Duval; L. Fröhlich; W. Gerhardt; C. Gindler; O. Hensler; K. Hinsch; J.M. Jäger; R. Kammering; S. Karstensen; H. Kay; H. Kay; V. Kocharyan; A. Labudda; T. Limberg; S.M. Meykopff; A. Petrosyan; G. Petrosyan; L.P. Petrosyan; V. Petrosyan; P. Pototzki; K.R. Rehlich; G. Schlesselmann; E. Sombrowski; M. Staack; J. Szczesny; M. Walla; J. Wilgen; H. Wu; DESY; Hamburg; Germany; The European XFEL (E-XFEL) is a 3.4 km long X-ray Free-Electron Laser facility and consists of a superconducting; linear accelerator with initially three undulator beam lines. The construction and installation of the E-XFEL is being completed this year and commissioning is well underway. First photon beams are expected to be available for early users in the second half of 2017. This paper will focus on the control system parts for the linear accelerator with its more than 7 million parameters and highlight briefly its design and implementation. Namely the hardware framework based on the MicroTCA.4 standard; testing software concepts and components at real and virtual accelerator facilities and a well-established method for integrating high-level controls into the middle layer through a shot-synchronized data acquisition allowed for a rapid deployment and commissioning of the accelerator. Status and experiences from a technical and an operational point-of-view will be presented.,,,https://proceedings.jacow.org/icalepcs2017/talks/moapl01_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/moapl01.pdf,True,https://proceedings.jacow.org/icalepcs2017/posters/moapl01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOAPL01,1
icalepcs2017,,MOAPL02,The First Operation of the MAX IV Laboratory Synchrotron Facilities,V.H. Hardion; A. Barsek; P.J. Bell; F. Bolmsten; Y. Cerenius; F. H. Hennies; J.J. Jamróz; K. Larsson; J. Lidón-Simon; M. Lindberg; Z. Matej; P. Sjöblom; M. Sjöström; D.P. Spruce; MAX IV Laboratory; Lund University; Lund; Sweden; On 21st of June 2016 the MAX IV Laboratory was inaugurated in the presence of the officials and has welcome the first external researchers to the new experimental stations. The MAX IV facility is the largest and most ambitious Swedish investment in research infrastructure and designed to be one of the brightest source of X-rays worldwide. The current achievements; progress; collaborations and vision of the facility will be described from the perspective of the control and IT systems.,,Talk as video stream: https://youtu.be/8wGn2pcDuVM,https://proceedings.jacow.org/icalepcs2017/talks/moapl02_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/moapl02.pdf,True,https://proceedings.jacow.org/icalepcs2017/posters/moapl02_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOAPL02,6
icalepcs2017,,MOAPL03,Status of the National Ignition Facility (NIF) Integrated Computer Control and Information Systems,G.K. Brunton; Y.W. Abed; M.A. Fedorov; B.T. Fishler; D.W. Larson; A.P. Ludwigsen; D.G. Mathisen; V.J. Miller Kamm; M. Paul; R.K. Reed; D.E. Speck; E.A. Stout; S.L. Townsend; B.M. Van Wonterghem; S. Weaver; E.F. Wilson; LLNL; Livermore; California; USA; The National Ignition Facility (NIF) is the world's largest and most energetic laser experimental facility with 192 beams capable of delivering 1.8 megajoules of 500-terawatt ultraviolet laser energy to a target. The energy; temperatures and pressures capable of being generated on the NIF allow scientists the ability to generate conditions similar to the center of the sun and explore the physics of planetary interiors; supernovae; black holes and thermonuclear burn. This year concludes a very successful multi-year plan of optimizations to the control & information systems and operational processes to increase the quantity of experimental target shots conducted in the facility. In addition; many new system control and diagnostic capabilities have been commissioned for operational use to maximize the scientific value produced. With NIF expecting to be operational for greater than 20 years focus has also been placed on optimizing the software processes to improve the sustainability of the control system. This talk will report on the current status of each of these areas in support of the wide variety of experiments being conducted in the facility.,Funding: This work performed under the auspices of the U.S. Department of Energy by Lawrence Livermore National Laboratory under Contract DE-AC52-07NA27344,Release No.: LLNL-ABS-727237-DRAFT Talk as video stream: https://youtu.be/u6HehUp9-Ms,https://proceedings.jacow.org/icalepcs2017/talks/moapl03_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/moapl03.pdf,True,https://proceedings.jacow.org/icalepcs2017/posters/moapl03_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOAPL03,14
icalepcs2017,,MOAPL04,"SwissFEL Control System - Overview, Status, and Lessons Learned",E. Zimoch; A.D. Alarcon; D. Anicic; A.G. Bertrand; R. Biffiger; K. Bitterli; M. Boccioli; H. Brands; P. Bucher; T. Celcer; P. Chevtsov; E.J. Divall; S.G. Ebner; M. Gasche; F. Haemmerli; C.E. Higgs; T. Humar; M. Janousch; G. Janser; G. Jud; B. Kalantari; R. Kapeller; R.A. Krempaská; D.J. Lauk; M.P. Laznovsky; H. Lutz; D. Maier-Manojlovic; F. Märki; V. Ovinnikov; T. Pal; W. Portmann; S.G. Rees; T. Zamofing; C. Zellweger; D. Zimoch; PSI; Villigen PSI; Switzerland; The SwissFEL is a new free electron laser facility at the Paul Scherrer Institute (PSI) in Switzerland. Commissioning started in 2016 and resulted in first lasing in December 2016 (albeit not on the design energy). In 2017; the commissioning continued and will result in the first pilot experiments at the end of the year. The close interaction of experiment and accelerator components as well as the pulsed electron beam required a well thought out integration of the control system including some new concepts and layouts. This paper presents the current status of the control system together with some lessons learned.,,Talk as video stream: https://youtu.be/oaGDyYYzKJ4,https://proceedings.jacow.org/icalepcs2017/talks/moapl04_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/moapl04.pdf,True,https://proceedings.jacow.org/icalepcs2017/posters/moapl04_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOAPL04,19
icalepcs2017,,MOBPL01,EPICS 7 Provides Major Enhancements to the EPICS Toolkit,L.R. Dalesio; M.A. Davidsaver; Osprey DCS LLC; Ocean City; USA; S.M. Hartman; K.-U. Kasemir; ORNL; Oak Ridge; Tennessee; USA; ANL; Argonne; Illinois; USA; FHI; Berlin; Germany; ESS; Lund; Sweden; Self Employment; Private address; USA; ITER Organization; St. Paul lez Durance; France; FRIB; East Lansing; USA; BNL; Upton; Long Island; New York; USA; The release of EPICS 7 marks a major enhancement to the EPICS toolkit. EPICS 7 combines the proven functionality; reliability and capability of EPICS V3 with the powerful EPICS V4 extensions enabling high-performance network transfers of structured data. The code bases have been merged and reorganized. EPICS 7 provides a new platform for control system development; suitable for data acquisition and high-level services. This paper presents the current state of the EPICS 7 release; including the pvAccess network protocol; normative data types; and language bindings; along with descriptions of new client and service applications.,,Talk as video stream: https://youtu.be/Er2uQitieWI,https://proceedings.jacow.org/icalepcs2017/talks/mobpl01_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/mobpl01.pdf,True,https://proceedings.jacow.org/icalepcs2017/posters/mobpl01_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOBPL01,22
icalepcs2017,,MOBPL02,TANGO Kernel Development Status,R. Bourtembourg; J.M. Chaize; T.M. Coutinho; A. Götz; V. Michel; J.L. Pons; E.T. Taurel; P.V. Verdier; ESRF; Grenoble; France; G. Abeillé; N. Leclercq; SOLEIL; Gif-sur-Yvette; France; NEXEYA Systems; La Couronne; France; 3controls; Kraków; Poland; HZG; Geesthacht; Germany; STFC/DL; Daresbury; Warrington; Cheshire; United Kingdom; ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain; ELI-BEAMS; Prague; Czech Republic; The TANGO Controls Framework continues to improve. This paper will describe how TANGO kernel development has evolved since the last ICALEPCS conference. TANGO kernel projects source code repositories have been transferred from subversion on Sourceforge.net to git on GitHub.com. Continuous integration with Travis CI and the GitHub pull request mechanism should foster external contributions. Thanks to the TANGO collaboration contract; parts of the kernel development and documentation have been sub-contracted to companies specialized in TANGO. The involvement of the TANGO community helped to define the roadmap which will be presented in this paper and also led to the introduction of Long Term Support versions. The paper will present how the kernel is evolving to support pluggable protocols - the main new feature of the next major version of TANGO.,,Talk as video stream: https://youtu.be/t6L6hj0rNDc,https://proceedings.jacow.org/icalepcs2017/talks/mobpl02_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/mobpl02.pdf,True,https://proceedings.jacow.org/icalepcs2017/posters/mobpl02_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOBPL02,27
icalepcs2017,,MOBPL03,The SKA Telescope Control System Guidelines and Architecture,SKA Organisation; Macclesfield; United Kingdom; ISSA; Msida; Malta; INAF-OACT; Catania; Italy; SKA South Africa; National Research Foundation of South Africa; Cape Town; South Africa; NRC-Herzberg; Penticton; BC; Canada; The Square Kilometre Array (SKA) project is an international collaboration aimed at building the world's largest radio telescope; with eventually over a square kilometre of collecting area; co-hosted by South Africa; for the mid-frequency arrays; and Australia for the low-frequency array. Since 2015 the SKA Consortia joined in a global effort to identify; investigate and select a single control system framework suitable for providing the functionalities required by the SKA telescope monitoring and control. The TANGO Controls framework has been selected and comprehensive work has started to provide telescope-wide detailed guidelines; design patterns and architectural views to build Element and Central monitoring and control systems exploiting the TANGO Controls framework capabilities.,,Talk as video stream: https://youtu.be/S-C9zPdmld0,https://proceedings.jacow.org/icalepcs2017/talks/mobpl03_talk.pdf,True,https://proceedings.jacow.org/icalepcs2017/papers/mobpl03.pdf,True,https://proceedings.jacow.org/icalepcs2017/posters/mobpl03_poster.pdf,False,https://doi.org/10.18429/JACoW-ICALEPCS2017-MOBPL03,34
