conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
linac2016,,SPWR001,Electron Linac Upgrade for Thomx Project,,,,https://proceedings.jacow.org/linac2016/talks/spwr001_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr001.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr001_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR001,
linac2016,,SPWR002,Development of 6 MeV European S-band Side-Coupled Industrial Electron Linear Accelerator at RTX & KAERI,,,,https://proceedings.jacow.org/linac2016/talks/spwr002_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr002.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr002_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR002,
linac2016,,SPWR003,Self-Consistent PIC Modeling of Near Source Transport of FRIB,,,,https://proceedings.jacow.org/linac2016/talks/spwr003_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr003.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr003_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR003,
linac2016,,SPWR004,Beam Dynamics Simulations of a High Charge S-Band Photoinjector for Electron Beam Imaging Experiments,,,,https://proceedings.jacow.org/linac2016/talks/spwr004_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr004.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr004_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR004,
linac2016,,SPWR005,Progress of a 162.5 MHz High-Current RFQ With Coupling Windows,,,,https://proceedings.jacow.org/linac2016/talks/spwr005_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr005.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr005_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR005,
linac2016,,SPWR006,Solenoid/Magnetic Shielding Test Results in FRIB-1&2 Cryomodules,,,,https://proceedings.jacow.org/linac2016/talks/spwr006_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr006.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr006_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR006,
linac2016,,SPWR007,Traveling Wave Accelerating Structure Power Input Calculation With Equivalent Circuit Method,,,,https://proceedings.jacow.org/linac2016/talks/spwr007_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr007.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr007_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR007,
linac2016,,SPWR008,Experiment of Plasma Discharge on HWR Cavity for In-Situ Surface Cleaning Study,,,,https://proceedings.jacow.org/linac2016/talks/spwr008_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr008.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr008_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR008,
linac2016,,SPWR009,Development of a Digital LLRF Control System at LNL,,,,https://proceedings.jacow.org/linac2016/talks/spwr009_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr009.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr009_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR009,
linac2016,,SPWR011,Advanced Design Optimizations of a Prototype for a Newly Revised 4-Rod CW RFQ for the HLI at GSI,,,,https://proceedings.jacow.org/linac2016/talks/spwr011_talk.pdf,False,https://proceedings.jacow.org/linac2016/papers/spwr011.pdf,False,https://proceedings.jacow.org/linac2016/posters/spwr011_poster.pdf,False,https://doi.org/10.18429/JACoW-LINAC2016-SPWR011,
