conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
medsi2016,,MOTB01,Advanced Computational Methods for Vacuum Technology With Application to Synchrotron Radiation Light Sources,CERN; Geneva; Switzerland; Following the progress in the design and improvement of their performances; the new generations of light sources have come to a point where diffraction-limited x-ray beams are a reality. This evolutionary trend has required a parallel evolution of the design of their vacuum systems; and the application of cross-disciplinary discoveries in the field of materials; surface treatments; thin-films; pumping technology; and more. This 2 ½ hour tutorial will follow the following program: ▪ Basics of gas dynamics: outgassing; conductance; pumping speed. ▪ Basics of synchrotron radiation (SR); with examples relevant to vacuum design. ▪ SR-induced desorption. ▪ Computational methods for vacuum: a review. ▪ Practical examples of analysis; simulation; and design of key components of light sources. ▪ Summary and conclusions.,,,https://proceedings.jacow.org/medsi2016/talks/motb01_talk.pdf,True,https://proceedings.jacow.org/medsi2016/papers/motb01.pdf,False,https://proceedings.jacow.org/medsi2016/posters/motb01_poster.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2016-MOTB01,
medsi2016,,MOTB02,"Finite Element Analysis in Design of Synchrotron Instrumentation - Issues, Good Practices and New Horizons",ANL; Argonne; Illinois; USA; Finite Element Analysis(FEA) is a design tool widely implemented in the design of synchrotron instrumentation to predict behavior of a particular design under the assumed real life conditions. Although FEA is a very popular and trusted design tool in use for several decades; it is of paramount importance to emphasize that it is only as accurate as the user’s input into the analysis and the interpretation of the results. In its introduction the tutorial will cover the importance of accurate inputs into the analysis and correct interpretation of the results as well as the best practices in how to improve said accuracies. Second part will cover the nature of the phenomena analyzed with thermal and structural simulations with the emphasis on the seemingly paradoxical fact that thermally loaded structures frequently fail only upon load removal. The third part will cover thermal and structural simulations with several examples. The tutorial will be concluded with alternate applications of FEA in the design of synchrotron instrumentation. Examples of multi-physic and vibration analysis; component weight optimization; and the analysis of the acoustic levitation supports will be presented.,,,https://proceedings.jacow.org/medsi2016/talks/motb02_talk.pdf,True,https://proceedings.jacow.org/medsi2016/papers/motb02.pdf,False,https://proceedings.jacow.org/medsi2016/posters/motb02_poster.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2016-MOTB02,
medsi2016,,MOTC01,Optics and Mechanics of Mirror Benders,J. Nicolás; C. Colldelram; C. Ruget; ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain; We will explain the basic concepts of optics regarding focusing with grazing incidence reflective surfaces. The concept of aberration and figure error; and the aberrations associated to the typical geometric surfaces found in mirrors will be described with some detail. We will describe how mirror benders can approximate these geometrical figures; how to compute the required mechanical characteristics; and the optical effect of the residual errors. Finally; we will describe; and illustrate with examples; the main aspects that have to be considered in the mechanical implementation; their characterization and their operation in the beam-line.,,,https://proceedings.jacow.org/medsi2016/talks/motc01_talk.pdf,True,https://proceedings.jacow.org/medsi2016/papers/motc01.pdf,False,https://proceedings.jacow.org/medsi2016/posters/motc01_poster.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2016-MOTC01,
medsi2016,,MOTC02,Accelerator Physics: An Introduction,ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain; This tutorial aims professionals working at accelerators facilities but have not been introduced to the motivations and details behind such complex machines. The underlying physical phenomena are explained and linked to typical devices in synchrotron light facilities like dipoles; quadrupoles or RF cavities. The content covers a friendly overview of the core of accelerator physics and its technologies.,,,https://proceedings.jacow.org/medsi2016/talks/motc02_talk.pdf,True,https://proceedings.jacow.org/medsi2016/papers/motc02.pdf,False,https://proceedings.jacow.org/medsi2016/posters/motc02_poster.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2016-MOTC02,
medsi2016,,MOPE01,Stabilization Methods for Force Actuators and Flexure Hinges,C. Colldelram; J. Nicolás; C. Ruget; ALBA-CELLS Synchrotron; Cerdanyola del Vallès; Spain; In the framework of the design of an adaptive optics for x-ray mirrors a stabilization system* for force actuators and flexure hinges have been conceived. This corrector allows to deform the mirror surface at nanometre level but for this purpose it requires resolutions better than 0.02; by using ultra-low constant springs; and to preserve the introduced deformation it is needed to be stable at the same level. The corrector needs to be insensitive when dismantling and remounting the mirror. In the other hand in order to support the corrector its structure is attached to the bender frame and the spring force is transmitted through a level arm by means a bearing articulation. This introduces a small friction but it is still preferably to eliminate it. A new method based -k spring-like constant principle is proposed. Based on this technique it is possible to stabilize the force exerted on the mirror below 0; 02N for an error range more than 1 mm. In addition applying the principle to a flexure it allows to compensate it in an angular range in within the torque variation tend to be null; below 0; 005 Nm; thus becoming a short range; frictionless and zero torque articulation.,,,https://proceedings.jacow.org/medsi2016/talks/mope01_talk.pdf,False,https://proceedings.jacow.org/medsi2016/papers/mope01.pdf,True,https://proceedings.jacow.org/medsi2016/posters/mope01_poster.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2016-MOPE01,1
medsi2016,,MOPE02,Studies on Flow-Induced Vibrations for the New High-Dynamics DCM for Sirius,R.M. Caliari; O.R. Bagnato; F.R. Francisco; R.R. Geraldes; R.L. Parise; M. Saveri Silvapresenter; D.O. Tavares; L.; Jr. de Souza; LNLS; Campinas; Brazil; MI-Partners; Eindhoven; The Netherlands; The monochromator is known to be one of the most critical optical elements of a synchrotron beamline; since it directly affects the beam quality with respect to energy and position. Naturally; the new 4th generation machines; with their small emittances; start to bring about higher stability performance requirements; in spite of factors as high power loads; power load variation; and vibration sources. A new high-dynamics DCM (Double Crystal Monochromator) is under development at the Brazilian Light Source for the Sirius EMA beamline (Extreme Condition X-ray Methods of Analysis). The disturbances induced by the coolant flows are known to be among the most detrimental influences to a DCM performance; however; quantitative force numbers involved in such disturbances are not commonly investigated. According to the novel dynamic concept; these forces should be predictably translated into stability performance. Therefore; experimental setups that allow the indirect measurement of such forces in conditions close to those of operation were designed. The results comparing different indirect cooling profiles and manufacturing processes (brazing and additive manufacturing) are shown.,,,https://proceedings.jacow.org/medsi2016/talks/mope02_talk.pdf,False,https://proceedings.jacow.org/medsi2016/papers/mope02.pdf,True,https://proceedings.jacow.org/medsi2016/posters/mope02_poster.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2016-MOPE02,8
medsi2016,,MOPE03,MFX - a New Macromolecular Beamline at LCLS,J.C. Castagna; S. Boutet; SLAC; Menlo Park; California; USA,,"MFX stands for Macromolecular-Femtosecond-Xtallography Motivation for a new beamline at LCLS: Biology experiments require pink beam in the Hard Xray regime. The existing and combined, CXI and XPP beamlines at LCLS cover >55% of the LCLS proposals, all sciences included. About half of these are biology proposals. Schedule constraints mean structural bi-ology beam time had plateaued and the gap between biology beam time and demand has been increas-ing steadily. MFX is a new beamline at LCLS optimized and dedicated to atmospheric pressure structural biology. MFX was created to allow more access to beam time and benefit from the LCLS multiplexing capabili-ties. First light came on January 12 2016, 21 months after initial funding. First user experiment took place in July 2016. End station is still in construction phase.",https://proceedings.jacow.org/medsi2016/talks/mope03_talk.pdf,False,https://proceedings.jacow.org/medsi2016/papers/mope03.pdf,False,https://proceedings.jacow.org/medsi2016/posters/mope03_poster.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2016-MOPE03,
medsi2016,,MOPE04,Dynamically Isotropic Hexapods for High-Performance 6-DOF Manipulation,MAX IV Laboratory; Lund University; Lund; Sweden; Recent advances in synchrotron facilities have led to a growing need for 6-DOF precise manipulation. Hexapods are the most widely used parallel robots which provide 6 DOFs. To obtain high precision and high dynamic performance in hexapods; it is necessary to design them in such a way that low eigen frequencies are avoided (while the eigenf requencies are also functions of the complex 3D geometry of hexapods). Theoretically; maximizing the lowest eigen frequency leads to a condition where multiple eigen frequencies become equal; which is known as (complete or partial) dynamic isotropy. Thus; one may consider a dynamically isotropic hexapod as the optimal design solution; where precision and dynamic performance is a goal. In this work; we analytically address this problem and establish a practical guideline in order to design generalized hexapods with complete dynamic isotropy. The findings are based on the recently defended PhD dissertation by Behrouz Afzali-Far.,,,https://proceedings.jacow.org/medsi2016/talks/mope04_talk.pdf,False,https://proceedings.jacow.org/medsi2016/papers/mope04.pdf,False,https://proceedings.jacow.org/medsi2016/posters/mope04_poster.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2016-MOPE04,
medsi2016,,MOPE05,Mechanical Design of Secondary Source Slits for Hard X-ray Beamlines at Taiwan Photon Source,H.Y. Yan; C.H. Chang; S.H. Chang; C.Y. Chen; C.Y. Huang; J.M. Lin; D.G. Liu; D.-J. Wang; NSRRC; Hsinchu; Taiwan; The secondary source slits have been developed for specific hard X-ray beam-lines at Taiwan Photon Source. Especially for Coherent X-ray Scattering and X-ray Nanoprobe beam-lines; severe specifications of the slits are more necessary to define proper beam sizes in horizontal and vertical directions at sample. The opening size of each pair of slits assembled orthogonally is usually needed to range within several microns; so the UHV-compatible piezo-driven stages with closed-loop system were adopted for the purposes of fine adjustment; precise positional accuracy and repeatability. To reduce X-ray scattering effect; the rectangular single-crystal film was bonded on the edge of the slit blade. The machined rotary weak-link structure and piezo-driven actuators were used to slightly adjust parallelism of each pair of the blades with the method of single-slit diffraction. To enhance structural and thermal stability; the granite plinths with specified shape were designed and the precise temperature controlling system will be set up recently. The overall design; mechanical specifications and procedure of testing for secondary source slits will be introduced in this paper.,,,https://proceedings.jacow.org/medsi2016/talks/mope05_talk.pdf,False,https://proceedings.jacow.org/medsi2016/papers/mope05.pdf,True,https://proceedings.jacow.org/medsi2016/posters/mope05_poster.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2016-MOPE05,12
medsi2016,,MOPE06,The Mechanical Stability and the Correlated Beam Performance at TPS,J.-R. Chen; M.L. Chen; W.Y. Lai; Z.-D. Tsai; Y.C. Yang; NSRRC; Hsinchu; Taiwan; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,The correlation between the mechanical stability and the beam performance at TPS was studied. Strong correlation was observed between the air temperature fluctuation and the fluctuations of the beam size and beam position. It was found that different temperature sources were responsible for the fluctuations of the beam position in different directions (vertical and horizontal). The sensitivity factors of the fluctuations of the beam performance to the temperature fluctuation were measured. reference for this paper using,https://proceedings.jacow.org/medsi2016/talks/mope06_talk.pdf,False,https://proceedings.jacow.org/medsi2016/papers/mope06.pdf,False,https://proceedings.jacow.org/medsi2016/posters/mope06_poster.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2016-MOPE06,
medsi2016,,MOPE07,Ground Motions Measurements for Synchrotron,CUT; Kraków; Poland; Solaris; Kraków; Poland; For more than two decades; ground vibration measurements were made by different teams for feasibility studies of linear accelerators. Recent measurements were performed in the SPS tunnel and at different CERN sites on the surface. The devices to measure vibrations of magnitude ranging in nanometres; the analysis techniques and the results are critically discussed and compared with the former measurements. The implication of the measured integrated R.M.S. displacements for the Crab cavities cavern is mentioned. The equipment used in this study consists of 2 state-of-the-art Guralp broadband triaxial seismometers. Models CMG-T60-0004 performed measurements in three directions V; N/S and E/W. The first analysis was to evaluate the power spectral density for each direction of sensors and event. The power spectral density is calculated from the auto power spectrum. The power spectral density shows a typical curve for the geophones with theμseismic peak between 0.2 and 0.4 [Hz]. It is import ant to point that ground vibrations should not be ignored in planning accelerator facility. Actually it is one of the limiting factor in the optimization of future accelerators.,,,https://proceedings.jacow.org/medsi2016/talks/mope07_talk.pdf,False,https://proceedings.jacow.org/medsi2016/papers/mope07.pdf,True,https://proceedings.jacow.org/medsi2016/posters/mope07_poster.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2016-MOPE07,15
