conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
pcapac2012,,WEKA01,The CSS Story,M.R. Clausen; J. Hatje; J. Penning; DESY; Hamburg; Germany; Control System Studio (CSS) is designed to serve as an integration platform for engineering and operation of todays process controls as well as machine controls systems. Therefore CSS is not yet another replacement of existing operator interfaces (OPI) but a complete environment for the control room covering alarm management; archived data displays diagnostic tools and last not least operator interfaces. In addition we decided to use CSS as the platform for the whole engineering chain configuring EPICS based process control databases; configuring and managing the I/O; editing state notation programs; configuring role based access rights and many more. Due to the ease of use of CSS as an Eclipse based product; we decided to use the CSS core also for all our stand alone processes. This helped us to reduce the diversity of running products/ processes and simplified the management. In this presentation we will describe our experience with CSS over the last two years. How we managed the transition from old displays to new ones; how we changed our alarm/ message philosophy and last not least which lessons we learned.,,,https://proceedings.jacow.org/pcapac2012/talks/weka01_talk.pdf,True,https://proceedings.jacow.org/pcapac2012/papers/weka01.pdf,True,https://proceedings.jacow.org/pcapac2012/posters/weka01_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WEKA01,1
pcapac2012,,WEKA02,Evolution of Control Systems for Large Telescopes and Accelerators : A retrospective,BARC; Mumbai; India; Particle accelerators and telescopes are big instruments of experimental physics. Even though markedly different in design & construction; particle accelerators and telescopes complement each other in answering man's most profound questions on the nature and origin of universe. Today's particle accelerators are mammoth microscopes peering in to the structure and properties of building blocks of matter with ever larger energies or particle intensities. On the other hand; telescopes look outside in to the cosmos to ever greater distances and time. As they become bigger and more powerful; both accelerators and telescopes have been continuously pushing the frontiers of technology in all spheres- detectors & front-end electronics; control; communication and computing. This has resulted in electronics which is smaller; consume less power; faster; more accurate; more reliable and support higher capacities. In this keynote address; the speaker traces over two decades of association in building control and information systems for world's big telescopes such as GMRT (Giant Metre-wave Radio Telescope; 90's) and MACE (Multiple Atmospheric Cerenkov Emission; today) in India and large particle accelerators such as LHC (90's) and FAIR (today). While tracking the evolution of related technology over the years; the talk analyses the choices made; lessons learnt; failures and successes; performance and life cycle management issues.,,,https://proceedings.jacow.org/pcapac2012/talks/weka02_talk.pdf,True,https://proceedings.jacow.org/pcapac2012/papers/weka02.pdf,False,https://proceedings.jacow.org/pcapac2012/posters/weka02_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WEKA02,
pcapac2012,,WEIB01,Implementation of Control Systems for Cyclotrons at VECC: A Status Report,VECC; Kolkata; India; The modernisations of the control of various subsystems of the Room Temperature Cyclotron (K130) and implementation of the subsystems control for Superconducting Cyclotron (K500) have been done at Variable Energy Cyclotron Centre (VECC); Kolkata. The architecture; realization and present status of the development of the control systems are elaborated in this presentation.,,,https://proceedings.jacow.org/pcapac2012/talks/weib01_talk.pdf,True,https://proceedings.jacow.org/pcapac2012/papers/weib01.pdf,False,https://proceedings.jacow.org/pcapac2012/posters/weib01_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WEIB01,
pcapac2012,,WEIB02,Review of Control Resources for J-PARC Accelerators,KEK; Ibaraki; Japan; J-PARC consists of three big accelerators : 181-MeV LINAC (now upgrading to 400-MeV); 3-GeV RCS (Rapid Cycle Synchrotron); and 30-GeV MR (Main Ring). Beam operation of LINAC started in November; 2006; followed by RCS in 2007; and by MR in 2008. Since 2009; J-PARC accelerators have been providing high-intensity proton beams to experimental facilities. In this report; we focused on three components; sever CPU for MR; control network; and disk system. Improvement; upgrade; and troublesduring 6-year operation will be reviewed.,,,https://proceedings.jacow.org/pcapac2012/talks/weib02_talk.pdf,True,https://proceedings.jacow.org/pcapac2012/papers/weib02.pdf,False,https://proceedings.jacow.org/pcapac2012/posters/weib02_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WEIB02,
pcapac2012,,WEIB03,Indus-2 Control System: A Closer Perspective,RRCAT; Indore; India; Indus-2; the 2.5 GeV Synchrotron Radiation Source (SRS) facility at RRCAT Indore is a national facility and being operated on round the clock basis to provide synchrotron radiation to users as well as carrying out machine studies. The accelerator as a whole is a widely distributed system and employs a distributed control system for its monitoring; control and operation. The control system has continuously evolved since the start-up and continues to do so. The talk will throw light upon various sub-systems; components of the control system; viz. hardware; software; databases; communication protocols; their evolution; various issues and approaches; current status and future possibilities. It will cover different aspects concerning Control system architecture; VME control hardware; SCADA software; Realtime software; Profibus protocol; Web based software tools; Machine parameter database and System diagnostics tools and techniques.,,,https://proceedings.jacow.org/pcapac2012/talks/weib03_talk.pdf,True,https://proceedings.jacow.org/pcapac2012/papers/weib03.pdf,False,https://proceedings.jacow.org/pcapac2012/posters/weib03_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WEIB03,
pcapac2012,,WEIC01,Web2cToGo: Bringing the Web2cToolkit to Mobile Devices,DESY; Hamburg; Germany; The Web2cToolkit is a collection of Web services. It enables scientists; operators and service technicians to supervise and operate accelerators and beam lines through the World Wide Web. The toolkit includes a synoptic display viewer and editor; an archive viewer; a messenger service; a logbook facility; an administration manager and an HTTP gateway to control systems. Recently; a novel view (Web2cToGo) has been added which is especially designed for mobile devices such as tablet computers or smartphones running iOS; Android or other mobile operation systems. Web2cToGo is a frame which embeds instances of all kinds of Web2c tools. It provides a single-sign-on user authentication and authorization procedure. Web2cToGo supports single- or multi-touch user gestures and is available as a platform-independent browser-based Web application or as a platform-dependent native app. This paper describes the conceptual design of Web2cToGo and the technologies used behind the scenes as well as the experiences gathered so far. It presents an outlook of ongoing developments including user-device interaction based on voice recognition.,,,https://proceedings.jacow.org/pcapac2012/talks/weic01_talk.pdf,True,https://proceedings.jacow.org/pcapac2012/papers/weic01.pdf,True,https://proceedings.jacow.org/pcapac2012/posters/weic01_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WEIC01,4
pcapac2012,,WECC02,EPICS Channel Access Using WebSocket,Sokendai; Ibaraki; Japan; KEK; Ibaraki; Japan; RIKEN Nishina Center; Wako; Japan; Web technology is useful as a means to widely inform of accelerators and beam status.　For this purpose; WebOPI[1] as to web-based system using Ajax (Asynchronous JavaScript and XML) with EPICS was implemented by SNS. On the other hand; it is often necessary to perform the accelerator control from various locations as well as central control room during the beam operation and the maintenance.　However; it is not realistic to replace GUI-based operator interface (OPI) with Web-based system using Ajax technology because of interactive performance.　Therefore; as a next-generation OPI over the web using EPICS Channel Access (CA); we developed a client system based on WebSocket; which is a new protocol provided by Internet Engineering Task Force for Web-based system.　WebSocket is a web technology providing bi-directional; full-duplex communication channels over a single TCP connection.　By utlizing Node.js and WebSocket access library named Socket. IO; a WebSocket server was implemented. As a result; Web-based client systems became available not only in the central control room but also with various types of equipment for accelerator operation.,,[1] http://sourceforge.net/apps/trac/cs-studio/wiki/webopi,https://proceedings.jacow.org/pcapac2012/talks/wecc02_talk.pdf,False,https://proceedings.jacow.org/pcapac2012/papers/wecc02.pdf,True,https://proceedings.jacow.org/pcapac2012/posters/wecc02_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WECC02,7
pcapac2012,,WECC03,Qt Based GUI System for EPICS Control Systems,A. Rhyder; R.N. Fernandes; A. C. Starritt; ASCo; Clayton; Victoria; Australia; The Qt based GUI system developed at the Australian Synchrotron for use on EPICS control systems has recently been enhanced to including support for imaging; plotting; user login; logging and configuration recipes. Plans are also being made to broaden its appeal within the wider EPICS community by expanding the range of development options and adding support for EPICS V4. Current development options include graphical and non graphical application development; 'code-rich' C++ development and simple 'code-free' GUI design. Additional development options will allow developers to manage the GUI framework's data needs themselves when required; as an alternative to letting the GUI objects manage their own data using the framework's Qt based EPICS data classes. Developers will be able to choose to manage the GUI data needs using the framework's Qt based EPICS data classes; or alternative data systems such as PSI's CAFE.,Funding: Australian Synchrotron,,https://proceedings.jacow.org/pcapac2012/talks/wecc03_talk.pdf,True,https://proceedings.jacow.org/pcapac2012/papers/wecc03.pdf,True,https://proceedings.jacow.org/pcapac2012/posters/wecc03_poster.pdf,False,https://doi.org/10.18429/JACoW-PCAPAC2012-WECC03,10
pcapac2012,,WEPD01,Data Logging System Upgrade for Indus Accelerator,R. Mishra; R.K. Agrawal; P. Fatnani; B.N. Merh; C.P. Navathe; RRCAT; Indore (M.P.); India; VECC; Kolkata; India; An accelerator has various subsystems like Magnet Power Supply; Beam Diagnostics and Vacuum etc. that are required to work in a stable manner to ensure required machine performance. Logging of system parameters at a faster rate plays a crucial role in analysing and understanding machine behaviour. Logging all the machine parameters consistently at the rate of typically more than 1 Hz has been the aim of a recent data logging system upgrade. Nearly ten thousand parameters are being logged at varying intervals of one second to one minute in Indus accelerator complex. The present logging scheme is augmented to log all these parameters at a rate equal to or more than 1 Hz. The database schema is designed according to data type of the parameter. The data is distributed into historical table and intermediate table comprising of recent data. Machine control applications read the parameter values from the control system and store them into the text-files of finite time duration for each sub-system. The logging application of each subsystem passes these text files to database for bulk insertion. The detail design of database; logging scheme and its architecture is presented in the paper.,,,https://proceedings.jacow.org/pcapac2012/talks/wepd01_talk.pdf,False,https://proceedings.jacow.org/pcapac2012/papers/wepd01.pdf,True,https://proceedings.jacow.org/pcapac2012/posters/wepd01_poster.pdf,True,https://doi.org/10.18429/JACoW-PCAPAC2012-WEPD01,12
pcapac2012,,WEPD03,Control System Studio Archiver with PostgreSQL Backend: Optimizing Performance and Reliability for a Production Environment,M. Konrad; C. Burandt; J. Enders; N. Pietralla; TU Darmstadt; Darmstadt; Germany; Archiving systems based on relational databases (RDB) provide a higher flexibility with regard to data retrieval and analysis than the traditional EPICS Channel Archiver. On the other hand they can suffer from poor performance compared to the Channel Archiver for simple linear data retrieval operations. However; careful tuning of the database management system's configuration can lead to major performance improvements. Special care must be taken to ensure data integrity following power outages or hardware failures. This contribution describes the hardware and software configuration of an archiving system used in the production environment at the S-DALINAC. It covers performance and reliability aspects of the hardware as well as tuning of the Linux operating system and PostgreSQL server optimizations.,,,https://proceedings.jacow.org/pcapac2012/talks/wepd03_talk.pdf,False,https://proceedings.jacow.org/pcapac2012/papers/wepd03.pdf,True,https://proceedings.jacow.org/pcapac2012/posters/wepd03_poster.pdf,True,https://doi.org/10.18429/JACoW-PCAPAC2012-WEPD03,15
