conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
rupac2016,,MOYMH01,Experimental Approach to the Synthesis of Exotic Nuclei Using Heavy Ion Accelerators,JINR/FLNR; Moscow region; Russia; Speaking of exotic nuclei; we have in mind nuclei with ratios of proton to neutron numbers significantly differing from those of nuclei lying at the beta-stability valley; nuclei existing only due to stabilizing effects of nuclear shells; nuclei having unusual form or nucleon density distribution. The study of exotic nuclei provides excellent possibilities for testing models of nuclear forces and structure; reaction mechanisms and astrophysical processes. For producing exotic nuclei; different types of reactions induced by heavy ions are used: direct reactions - Coulomb excitation; nucleon transfer and spallation reactions; fragmentation of target and projectile nuclei; heavy ion induced fission and complete fusion reactions. To induce reactions ions with energy from n*MeV up to n*GeV; in the full accessible range of atomic numbers and masses are used. Secondary beams of exotic nuclei employed for producing of even more exotic species. For isolation of reaction products from primary beam on-line electromagnetic fragment separators; electrostatic separators; velocity selectors and gas-filled set-ups equipped with sophisticated detection systems find application. For producing secondary beams; IGISOL technique is effective in several cases. Special attention is payed to synthesis of super heavy nuclei. Over the past decade; numerous isotopes of super heavy elements with Z=112-118 have been produced in complete fusion reactions of accelerated 48Ca ions with actinide targets.,,,https://proceedings.jacow.org/rupac2016/talks/moymh01_talk.pdf,True,https://proceedings.jacow.org/rupac2016/papers/moymh01.pdf,False,https://proceedings.jacow.org/rupac2016/posters/moymh01_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-MOYMH01,
rupac2016,,MOYMH02,Physics Basis for the AWAKE Experiment,BINP SB RAS; Novosibirsk; Russia; AWAKE; an Advanced Wakefield Experiment at CERN aims at the first experimental demonstration of plasma wakefield acceleration driven by a high-energy proton beam. The proton beam must be sliced into the train of short micro-bunches in the plasma by a controllable beam-plasma instability. The self-modulated proton beam then excites the plasma wave; by which a bunch of externally injected electrons is trapped and accelerated. The acceleration scenario relies on several key effects; which thus far were observed in numerical simulations only. Their experimental proof will be an important step toward using proton beams for generation of high-energy; accelerator-quality lepton beams.,,,https://proceedings.jacow.org/rupac2016/talks/moymh02_talk.pdf,True,https://proceedings.jacow.org/rupac2016/papers/moymh02.pdf,False,https://proceedings.jacow.org/rupac2016/posters/moymh02_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-MOYMH02,
rupac2016,,MOYMH03,The MICE Muon Ionisation Cooling Experiment: Progress and First Results,Imperial College of Science and Technology; Department of Physics; London; United Kingdom; The Muon Ionisation Cooling experiment (MICE) is designed to demonstrate the reduction of the phase-space volume occupied by a muon beam using the ionization-cooling technique; for the first time. This demonstration will be an important step in establishing the feasibility of muon accelerators for particle physics. The emittance of the beam is reduced through ionization as it passes through a cooling cell (or absorber) and is measured before and after the cooling cell using two high-precision scintillating-fibre tracking detectors (Trackers). Each Tracker is immersed in a uniform magnetic field produced by solenoidal spectrometers. The Trackers combined with a suite of other detectors perform the particle identification measurements. MICE is is now taking data at the Rutherford Appleton Laboratory in the UK. The design; hardware; status and first results from the MICE experiment are presented here.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/rupac2016/talks/moymh03_talk.pdf,False,https://proceedings.jacow.org/rupac2016/papers/moymh03.pdf,False,https://proceedings.jacow.org/rupac2016/posters/moymh03_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-MOYMH03,
rupac2016,,MOZMH01,CEPC-SppC Accelerator Status,IHEP; Beijing; People's Republic of China; In this talk we will give a bird view of the status Circular Electron Positron Collider (CEPC). The scientific goal and the collider design goal of CECP are described. The luminosity potentail of Super Proton-Proton Collider (SPPC) in the same tunnel of CEPC are also provided. The optimization of parameter designs for CEPC with different energies; machine lengthes; single ring and crab-waist collision partial double ring options; etc. have been given systimatically. The machine lattice design philosophy and conrete lattice design are given. The corresponding SC RF system designs corresponding to different machine options are presented. Key issues for technology R&D; possible time schedule and international collaboration are addressed.,,,https://proceedings.jacow.org/rupac2016/talks/mozmh01_talk.pdf,True,https://proceedings.jacow.org/rupac2016/papers/mozmh01.pdf,True,https://proceedings.jacow.org/rupac2016/posters/mozmh01_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-MOZMH01,1
rupac2016,,MOZMH02,Resent Advances with Crystal Deflectors at the U-70 Synchrotron - Status and Prospects,IHEP; Moscow Region; Russia; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,The report overviews recent results of activity in implementing crystal deflectors to extract proton and ion beams for the fixed-target experiments at the U-70 synchrotron of IHEP of NRC Kurchatov Institute. The results of experimental observation of characteristic X-ray radiation excited by extracted proton and ion beams are presented as well.,reference for this paper using,https://proceedings.jacow.org/rupac2016/talks/mozmh02_talk.pdf,False,https://proceedings.jacow.org/rupac2016/papers/mozmh02.pdf,False,https://proceedings.jacow.org/rupac2016/posters/mozmh02_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-MOZMH02,
rupac2016,,MOZMH03,Search for the Charged Particle Electric Dipole Moments in Storage Rings,FZJ; Jülich; Germany; The idea of searching for the electric dipole moment (EDM) of proton and deuteron using polarized beams in a storage ring was originally proposed at Brookhaven National Laboratory (BNL); USA. Currently; the Jülich Electric Dipole moment Investigations (JEDI) collaboration develops the conceptual design of such a ring specifically for the search of the deuteron electrical dipole moment (dEDM). The idea is that the oscillation of the spin due to a possible finite electric dipole moment is separated from the influence of the magnetic dipole moment (MDM); and the spin behavior indicates the existence of dEDM. In connection with this problem; two questions arise: (i) how to create conditions for maximum growth of the total EDM signal of all particles in the beam bunch; and (ii) how to differentiate the EDM signal from the induced MDM signal. For the design of such a ring; we need to address three major challenges: - the ring lattice should meet the conditions of beam stability; and it has to have incorporated straight sections to accommodate the accelerating station; equipment for injection and extraction of the beam; a polarimeter; and sextupoles; - the polarization lifetime of the beam must be around ~1000 seconds; - systematic errors have to be minimized to eliminate the induced fake EDM signal. In my contribution; I will present the current status of the project.,,,https://proceedings.jacow.org/rupac2016/talks/mozmh03_talk.pdf,True,https://proceedings.jacow.org/rupac2016/papers/mozmh03.pdf,True,https://proceedings.jacow.org/rupac2016/posters/mozmh03_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-MOZMH03,6
rupac2016,,TUXMH01,The European XFEL - Status and Commissioning,DESY; Hamburg; Germany; The European X-ray Free Electron Laser* in Hamburg; Germany; is being constructed by an international consortium. The facility is being built to offer photon beam of highest brilliance at wavelengths down to below 1 Angstrom. The accelerator complex with all its sections; the injector; the 17.5 GeV superconducting linac; bunch compressors; beam distribution systems etc. was built under the leadership of DESY. Seventeen European research institutes contributed to the accelerator complex and to the comprehensive infrastructure. DESY coordinates the European XFEL Accelerator Consortium but also contributes with many accelerator components; and the technical equipment of buildings; with its associated general infrastructure. With the finishing of the accelerator installation in autumn 2016; the first cool-down of the superconducting linac was started. Commissioning is next with the goal to demonstrate first lasing in spring 2017. Users are expected to use the first photon beams in 2017. A project overview and the status will be given illustrating the success of the collaborative work.,,,https://proceedings.jacow.org/rupac2016/talks/tuxmh01_talk.pdf,True,https://proceedings.jacow.org/rupac2016/papers/tuxmh01.pdf,True,https://proceedings.jacow.org/rupac2016/posters/tuxmh01_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-TUXMH01,11
rupac2016,,TUXMH02,Novosibirsk Free Electron Laser: Terahertz and Infrared Coherent Radiation Source,N.A. Vinokurov; V.S. Arbuzov; K.N. Chernov; I.V. Davidyuk; O.I. Deichuli; E.N. Dementyev; B.A. Dovzhenko; Ya.V. Getmanovpresenter; Ya.I. Gorbachev; B.A. Knyazev; E.I. Kolobanov; A.A. Kondakov; V.R. Kozak; E.V. Kozyrev; S.A. Krutikhin; V.V. Kubarev; G.N. Kulipanov; E.A. Kuper; I.V. Kuptsov; G.Y. Kurkin; L.E. Medvedev; S.V. Motygin; V.N. Osipov; V.K. Ovchar; V.M. Petrov; A.M. Pilan; V.M. Popik; V.V. Repkov; T.V. Salikova; M.A. Scheglov; I.K. Sedlyarov; S.S. Serednyakov; O.A. Shevchenko; A.N. Skrinsky; S.V. Tararyshkin; V.G. Tcheskidov; A.G. Tribendis; P. Vobly; V. Volkov; BINP SB RAS; Novosibirsk; Russia; I.V. Davidyuk; Ya.V. Getmanovpresenter; B.A. Knyazev; E.V. Kozyrev; S.S. Serednyakov; N.A. Vinokurov; NSU; Novosibirsk; Russia; NSTU; Novosibirsk; Russia; High-power free electron laser (FEL) facility NovoFEL has been created at Budker INP. Its wavelength can be tuned over a wide range in terahertz and infrared spectrum regions. As a source of electron bunches this FEL uses multi-turn energy recovery linac which has five straight sections. Three sections are used for three FELs which operate in different wavelength ranges (the first one - 90-240 microns; the second - 37-80 microns and the third - 5-20 microns). The first and the second FELs were commissioned in 2003 and 2009 respectively. They operate for users now. The third FEL is installed on forth accelerator track which is the last one and electron energy is maximal here. It comprises three undulator sections and 40 m optical cavity. The first lasing of this FEL was obtained in summer; 2015. The radiation wavelength was 9 microns and average power was about 100 watts. The designed power is 1 kilowatt at repetition rate 3.75 MHz. Radiation of third FEL has been delivered to user stations recently. The third FEL commissioning results as well as current status of the first and second FELs and future development prospects are presented.,,,https://proceedings.jacow.org/rupac2016/talks/tuxmh02_talk.pdf,True,https://proceedings.jacow.org/rupac2016/papers/tuxmh02.pdf,True,https://proceedings.jacow.org/rupac2016/posters/tuxmh02_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-TUXMH02,16
rupac2016,,TUXMH03,The Main Problems and Its Solutions in Modern SR Sources,NRC; Moscow; Russia; This report is an attempt to consider the basic accelerator problems arising in connection with the requirements of the SR experiment in modern synchrotron radiation sources based on electron storage rings; and the technological solutions available today.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/rupac2016/talks/tuxmh03_talk.pdf,False,https://proceedings.jacow.org/rupac2016/papers/tuxmh03.pdf,False,https://proceedings.jacow.org/rupac2016/posters/tuxmh03_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-TUXMH03,
rupac2016,,TUCAMH01,Planar Superconducting Undulator With Neutral Poles,N.A. Mezentsev; S.V. Khrushchev; V.A. Shkaruba; V.M. Syrovatin; V.M. Tsukanov; BINP SB RAS; Novosibirsk; Russia; Superconducting undulator with use of neutral poles was proposed in Budker INP. Period of the undulator is 15.6 mm. Pole gap and magnetic field are equal to 8 mm and 1.2 T correspondingly. A prototype of the undulator with 15 periods was fabricated and successfully tested. Calculations; design and test results of the prototype in the report are presented. The cryogenic and vacuum system of the undulator are discussed.,,,https://proceedings.jacow.org/rupac2016/talks/tucamh01_talk.pdf,True,https://proceedings.jacow.org/rupac2016/papers/tucamh01.pdf,True,https://proceedings.jacow.org/rupac2016/posters/tucamh01_poster.pdf,False,https://doi.org/10.18429/JACoW-RUPAC2016-TUCAMH01,21
