conference_code,session_name,paper_id,title,authors,institutions,abstract,presentation_url,presentation_available,paper_url,paper_available,poster_url,poster_available,doi,page_number
sap2017,,MOAH2,Generation of Strong Terahertz Radiation in Intense Laser-plasma Interactions,Institute of Physics; Chinese Academy of Sciences; Beijing; People's Republic of China; Recently Terahertz radiation from laser-produced plasmas has attracted much interest since plasmas can work at arbitrarily high laser intensity. However; only few experiments with relativistic laser pulses are reported. We have studied strong THz radiation from solid targets driven by relativistic laser pulses. THz radiation with pulse energy of hundreds mJ/sr has been observed. In this talk; we will concentrate on the THz generation due to coherent transition radiation of relativistic laser-driven electron beams when they pass the solid-vacuum boundary. Targets including mass-limited foils and layered metal-plastic targets are used to verify the radiation mechanism and characterize the radiation properties. Observations of THz emissions as a function of target parameters agree well with the formation-zone and diffraction model of transition radiation. Particle-in-cell simulations also well reproduce the observed characteristics of THz emissions. The present THz transition radiation enables not only a potential tabletop brilliant THz source; but also a novel noninvasive diagnostic for fast electron generation and transport in laser-plasma interactions.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/sap2017/talks/moah2_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/moah2.pdf,False,https://proceedings.jacow.org/sap2017/posters/moah2_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOAH2,
sap2017,,MOAH3,Recent Progress on Laser Plasma Physics and Advanced Accelerator Research at Tsinghua University,TUB; Beijing; People's Republic of China; The main research theme of L2PA at Tsinghua University; focuses on compact high-quality plasma accelerator and its derivative light sources. A 10-40MeV high-quality electron beam had been obtained by running the laser at 5TW peak power. Under certain conditions very low relative energy spread of <1% and extremely low absolute energy spread of 0.18MeV can be achieved. An ultrafast electron beam has been proposed and successfully used to take a snapshot of wakefield; and the dedicated beam diagnostics for high brightness electron beams has been developed in plasma-based accelerators. The experiments for a plasma dechirper and external injection acceleration have also been demonstrated in a laser-plasma accelerator using a RF photocathode gun-based linac. On theory and simulation part; several ideas on how to obtain high quality electron beams with extremely high brightness through wakefield acceleration will be discussed. A theoretical model on the phase space dynamics of ionization injection scheme has been derived; and phase space matching for staging accelerator components using longitudinally tailored plasma profiles is proposed.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/sap2017/talks/moah3_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/moah3.pdf,False,https://proceedings.jacow.org/sap2017/posters/moah3_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOAH3,
sap2017,,MOBH1,Experimental Study on the Electron Superconducting Linac and its Application,K.X. Liu; J.E. Chen; L.W. Feng; J.K. Hao; S. Huang; L. Lin; S.W. Quan; F. Wang; H.M. Xie; L. Yang; F. Zhu; PKU; Beijing; People's Republic of China,Experimental study on superconducting electron linac has been developed at Peking University. Stable operation of a DC-SRF photoinjector and a 2*9-cell SRF linac has been realized with an average beam current of mA scale in macro pulses of several ms with a repetition rate of 10 Hz. A compact high repetition rate THz radiation source has been developed based on DC-SRF photo-injector through velocity bunching. Superradiant THz radiation with a repetition rate of 16.25 MHz and a frequency that can be tuned from 0.24 to 0.42 THz was generated by varying the electron beam energy from 2.4 to 3.1 MeV. MeV UED at MHz repetition rate has been demonstrated experimentally using electron pulses from the DC-SRF photoinjector. THz undulator radiation of ~1THz central frequency with an average power of 1W has been achieved with 13MeV electron beam from SRF linac and applications are underway.,reference for this paper ※ https://doi.org/10.18429/JACoW-SAP2017-,https://proceedings.jacow.org/sap2017/talks/mobh1_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/mobh1.pdf,True,https://proceedings.jacow.org/sap2017/posters/mobh1_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOBH1,1
sap2017,,MOBH2,Status of HEPS Lattice Design and Physics Studies,Y. Jiao; X. Cui; Z. Duan; Y.Y. Guo; D. Ji; J.L. Li; X.Y. Li; Y.M. Peng; Q. Qin; S.K. Tian; J.Q. Wang; N. Wang; Y. Wei; G. Xu; S.Y. Xu; F. Yan; C.H. Yu; Y.L. Zhao; IHEP; Beijing; People's Republic of China; The High Energy Photon Source (HEPS) is a 6-GeV; kilometer-scale; ultralow-emittance storage ring light source to be built in Beijing; China. The HEPS is now under extensive design and study. In this report we will introduce the progress of the lattice design and related physics studies on HEPS; covering issues of storage ring design; booster design; injection design; collective effects; error study; insertion device effects; longitudinal dynamics; etc.,,reference for this paper ※ https://doi.org/10.18429/JACoW-SAP2017-,https://proceedings.jacow.org/sap2017/talks/mobh2_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/mobh2.pdf,True,https://proceedings.jacow.org/sap2017/posters/mobh2_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOBH2,7
sap2017,,MOBH3,CEPC Parameter Choice,D. Wang; T.J. Bian; X. Cui; J. Gao; H. Geng; B. Sha; N. Wang; Y. Wang; C.H. Yu; J.Y. Zhai; Y. Zhang; IHEP; Beijing; People's Republic of China; The 100km Double Ring configuration with shared super conducting RF systems has been defined as baseline by CEPC steering committee. CEPC is compatible with W and Z experiment. Requirement for energy acceptance of Higgs has been reduced to 1.1% by enlarging the ring to 100 km. For CDR; W and Z will use the same lattice as Higgs; and the luminosity for Z is at the level of 1034cm-2s-1.,,reference for this paper ※ https://doi.org/10.18429/JACoW-SAP2017-,https://proceedings.jacow.org/sap2017/talks/mobh3_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/mobh3.pdf,True,https://proceedings.jacow.org/sap2017/posters/mobh3_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOBH3,10
sap2017,,MOCH1,Phase Space Gymnastics,SLAC; Menlo Park; California; USA; Phase space gymnastics is a highly evolved accelerator physics technique based on the finest properties of the phase space. As modern accelerators become increasingly demanding; these techniques are finding a sharp increase in their applications. Here we intend only to introduce this topic to bring attention t,,reference for this paper ※ https://doi.org/10.18429/JACoW-SAP2017-,https://proceedings.jacow.org/sap2017/talks/moch1_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/moch1.pdf,True,https://proceedings.jacow.org/sap2017/posters/moch1_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOCH1,14
sap2017,,MOCH2,"Fabrication, Assembly and Test of the 2×4-cell Superconducting Linac Module for the CAEP FEL-THz facility",X. Luo; T.H. He; C.L. Lao; M. Li; S.F. Lin; L.J. Shan; X.M. Shen; H. Wang; J. Wang; D. Wu; D.X. Xiao; X. Yang; K. Zhou; CAEP/IAE; Mianyang; Sichuan; People's Republic of China; PKU; Beijing; People's Republic of China; A 2×4-cell superconducting linac module for the THz-FEL facility has been developed at the China Academy of Engineering Physics; which is expected to provide 6~8 MeV quasi-CW electron beams with an average current of 1~5 mA. The module consists of two 4-cell cavities; two power couplers; two tuners and the cyromodule. The main components are tested before the module assembly. The cavity test includes microwave measurement at room temperature and vertical test at 2 K. The conditioning and test of the couplers are also finished. The performances of the main components and the whole module are present-ed in this paper. The horizontal test indicated that the effective field gradients of both cavities have reached 10 MV/m; which have satisfied our designed goal.,,reference for this paper ※ https://doi.org/10.18429/JACoW-SAP2017-,https://proceedings.jacow.org/sap2017/talks/moch2_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/moch2.pdf,True,https://proceedings.jacow.org/sap2017/posters/moch2_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOCH2,19
sap2017,,MOCH3,The Progress with Debugging and Commissioning of BRIF,Y.L. Lv; S. An; L.C. Cao; T. Ge; S.G. Hou; B. Ji; X.L. Jia; F. Wang; S.M. Wei; L.P. Wen; Z.G. Yin; T.J. Zhang; CIAE; Beijing; People's Republic of China; We had mainly carried on the debugging and commissioning of CYCIAE-100 for Beijing Radioactive Ion-beam Facility (BRIF) in 2016. The installation and commissioning of south extraction system in the remaining works; the south proton beam lines and part of experimental target stations had been completed; meanwhile; the installation of partial shields for the fort section also had been finished in the large experimental hall; and they had been put into physical experiment for the first time. The debugging work of CYCIAE-100 went well; the maximum internal target beam was 1073uA; and the maximum external target beam had reached 45uA. It ws the first time that the CYCIAE-100 had provided proton beam 500 hours in 2016 for the physics experiment of single event effect; measurement of proton effective dose; white light neutron; and proton radiography.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/sap2017/talks/moch3_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/moch3.pdf,False,https://proceedings.jacow.org/sap2017/posters/moch3_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MOCH3,
sap2017,,MODH2,Transverse Emittance Measurement Control System in Heavy-ion LINAC,IMP/CAS; Lanzhou; People's Republic of China; The emittance describes the quality of a beam. In this paper; a whole transverse emittance measurement control system based on EPICS is presented. Using slit and wire; a slit-grid method is for the emittance measurement. The aim of this control system is focusing on the motion control and data acquisition during the synchronization process. The position of slit is fixed for one direction in one control period; the wire is scanned in the beam sized range and the slit position; the wire voltage and position are collected at the same time. Motor and acquisition board use a common trigger to make sure the system have a synchronization operation. A soft input output controller (IOC) is build. The process variable (PV) values which matched with the driving values and data are obtained. Processing the data in the soft IOC; the emittance could be calculated. Using operating interface software CSS; the online measurement emittance is shown.; ※ BibTeX; ※ LaTeX; ※ Text/Word; ※ RIS,,reference for this paper using,https://proceedings.jacow.org/sap2017/talks/modh2_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/modh2.pdf,False,https://proceedings.jacow.org/sap2017/posters/modh2_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MODH2,
sap2017,,MODH3,Analysis of Beam Optics for a High Power Ion Source,Y.H. Xie; C.D. Hu; ASIPP; Hefei; People's Republic of China; The high power ion source is the key parts of neutral beam injector. Generally speaking; the beam power should matching the extraction voltage for a given accelerator. In order to get higher beam power with lower beam extraction voltage; the beam optics of accelerator was analyzed based on the structure of EAST-NBI tetrode accelerator. The beam optics of a tetrode accelerator and a new designed three-electrode accelerator was analyzed with beam energy of 50 keV. The results shown that; the two types of accelerator can get high beam perveance (4.6μp) with lower beam divergence angle compare to the EAST-NBI accelerator (2.8μp ). And the tetrode accelerator can gets lower beam divergence angle compare to the three-electrode accelerator; but the electric field between two electrode is much higher than three-electrode accelerator. The results can help for the ion source design of high power ion source.,"Funding: Supported by the National Natural Science Foundation of China (NNSFC) (Contract No. 11405207, 11507215 & 11675215)",reference for this paper ※ https://doi.org/10.18429/JACoW-SAP2017-,https://proceedings.jacow.org/sap2017/talks/modh3_talk.pdf,False,https://proceedings.jacow.org/sap2017/papers/modh3.pdf,True,https://proceedings.jacow.org/sap2017/posters/modh3_poster.pdf,False,https://doi.org/10.18429/JACoW-SAP2017-MODH3,22
